tran_sequence_number,transaction_datetime_id
TXN20250325000155,DT_20250325_071638
TXN20250214000156,DT_20250214_195418
TXN20250312000157,DT_20250312_024724
TXN20250121000158,DT_20250121_100005
TXN20250120000159,DT_20250120_000347
TXN20250208000160,DT_20250208_024324
TXN20250111000161,DT_20250111_204711
TXN20250320000162,DT_20250320_065453
TXN20250304000163,DT_20250304_083434
TXN20250226000164,DT_20250226_192640
TXN20250122000165,DT_20250122_132410
TXN20250222000166,DT_20250222_062652
TXN20250118000167,DT_20250118_224854
TXN20250227000168,DT_20250227_172459
TXN20250117000169,DT_20250117_033516
TXN20250107000170,DT_20250107_014152
TXN20250129000171,DT_20250129_022849
TXN20250304000172,DT_20250304_184814
TXN20250323000173,DT_20250323_020717
TXN20250113000174,DT_20250113_011306
TXN20250212000175,DT_20250212_175554
TXN20250104000176,DT_20250104_052618
TXN20250221000177,DT_20250221_124647
TXN20250213000178,DT_20250213_093025
TXN20250204000179,DT_20250204_032028
TXN20250215000180,DT_20250215_220648
TXN20250106000181,DT_20250106_224951
TXN20250213000182,DT_20250213_183856
TXN20250228000183,DT_20250228_040302
TXN20250110000184,DT_20250110_172941
TXN20250212000185,DT_20250212_082026
TXN20250114000186,DT_20250114_071440
TXN20250311000187,DT_20250311_144157
TXN20250125000188,DT_20250125_144713
TXN20250206000189,DT_20250206_065517
TXN20250326000190,DT_20250326_052415
TXN20250213000191,DT_20250213_094045
TXN20250111000192,DT_20250111_111010
TXN20250315000193,DT_20250315_022046
TXN20250118000194,DT_20250118_022450
TXN20250225000195,DT_20250225_112450
TXN20250311000196,DT_20250311_090825
TXN20250310000197,DT_20250310_043629
TXN20250216000198,DT_20250216_114342
TXN20250209000199,DT_20250209_031604
TXN20250125000200,DT_20250125_154524
TXN20250317000201,DT_20250317_200001
TXN20250131000202,DT_20250131_214325
TXN20250214000203,DT_20250214_052137
TXN20250114000204,DT_20250114_110231
TXN20250130000205,DT_20250130_163430
TXN20250115000206,DT_20250115_223047
TXN20250219000207,DT_20250219_200931
TXN20250308000208,DT_20250308_190809
TXN20250129000209,DT_20250129_052307
TXN20250102000210,DT_20250102_040703
TXN20250314000211,DT_20250314_230405
TXN20250124000212,DT_20250124_130803
TXN20250103000213,DT_20250103_113847
TXN20250115000214,DT_20250115_222200
TXN20250316000215,DT_20250316_033748
TXN20250304000216,DT_20250304_195500
TXN20250213000217,DT_20250213_210716
TXN20250213000218,DT_20250213_235531
TXN20250127000219,DT_20250127_125224
TXN20250112000220,DT_20250112_115228
TXN20250221000221,DT_20250221_021228
TXN20250125000222,DT_20250125_162923
TXN20250302000223,DT_20250302_164158
TXN20250104000224,DT_20250104_142544
TXN20250302000225,DT_20250302_041653
TXN20250222000226,DT_20250222_134357
TXN20250324000227,DT_20250324_023113
TXN20250325000228,DT_20250325_183337
TXN20250311000229,DT_20250311_171407
TXN20250105000230,DT_20250105_090158
TXN20250226000231,DT_20250226_081600
TXN20250128000232,DT_20250128_223232
TXN20250305000233,DT_20250305_155239
TXN20250102000234,DT_20250102_102157
TXN20250215000235,DT_20250215_202642
TXN20250204000236,DT_20250204_170147
TXN20250228000237,DT_20250228_063125
TXN20250329000238,DT_20250329_101424
TXN20250223000239,DT_20250223_054258
TXN20250109000240,DT_20250109_021047
TXN20250306000241,DT_20250306_125713
TXN20250323000242,DT_20250323_233223
TXN20250304000243,DT_20250304_164357
TXN20250212000244,DT_20250212_072034
TXN20250204000245,DT_20250204_073031
TXN20250315000246,DT_20250315_040228
TXN20250129000247,DT_20250129_005145
TXN20250329000248,DT_20250329_134144
TXN20250116000249,DT_20250116_131911
TXN20250210000250,DT_20250210_151431
TXN20250206000251,DT_20250206_012448
TXN20250221000252,DT_20250221_042153
TXN20250303000253,DT_20250303_091909
TXN20250304000254,DT_20250304_100423
TXN20250312000255,DT_20250312_220616
TXN20250207000256,DT_20250207_121854
TXN20250106000257,DT_20250106_094559
TXN20250326000258,DT_20250326_112241
TXN20250121000259,DT_20250121_170525
TXN20250314000260,DT_20250314_104757
TXN20250206000261,DT_20250206_100736
TXN20250106000262,DT_20250106_155913
TXN20250331000263,DT_20250331_031600
TXN20250104000264,DT_20250104_115724
TXN20250115000265,DT_20250115_095635
TXN20250302000266,DT_20250302_192919
TXN20250101000267,DT_20250101_053516
TXN20250208000268,DT_20250208_214011
TXN20250209000269,DT_20250209_172351
TXN20250213000270,DT_20250213_071734
TXN20250301000271,DT_20250301_163410
TXN20250225000272,DT_20250225_174742
TXN20250211000273,DT_20250211_192655
TXN20250218000274,DT_20250218_182109
TXN20250111000275,DT_20250111_070051
TXN20250224000276,DT_20250224_161319
TXN20250303000277,DT_20250303_041923
TXN20250224000278,DT_20250224_122929
TXN20250223000279,DT_20250223_115009
TXN20250130000280,DT_20250130_073914
TXN20250129000281,DT_20250129_145500
TXN20250106000282,DT_20250106_143847
TXN20250217000283,DT_20250217_075213
TXN20250220000284,DT_20250220_092310
TXN20250326000285,DT_20250326_053933
TXN20250113000286,DT_20250113_095703
TXN20250121000287,DT_20250121_001137
TXN20250330000288,DT_20250330_000558
TXN20250218000289,DT_20250218_213738
TXN20250122000290,DT_20250122_063835
TXN20250211000291,DT_20250211_133211
TXN20250123000292,DT_20250123_105130
TXN20250203000293,DT_20250203_034854
TXN20250329000294,DT_20250329_223440
TXN20250316000295,DT_20250316_061234
TXN20250201000296,DT_20250201_021555
TXN20250221000297,DT_20250221_212934
TXN20250211000298,DT_20250211_220949
TXN20250215000299,DT_20250215_154825
TXN20250107000300,DT_20250107_042745
TXN20250205000301,DT_20250205_021104
TXN20250318000302,DT_20250318_231940
TXN20250220000303,DT_20250220_202420
TXN20250328000304,DT_20250328_014438
TXN20250124000305,DT_20250124_054634
TXN20250324000306,DT_20250324_090838
TXN20250202000307,DT_20250202_160033
TXN20250104000308,DT_20250104_205808
TXN20250226000309,DT_20250226_034832
TXN20250316000310,DT_20250316_041252
TXN20250331000311,DT_20250331_013746
TXN20250308000312,DT_20250308_165208
TXN20250211000313,DT_20250211_141559
TXN20250220000314,DT_20250220_094420
TXN20250317000315,DT_20250317_073041
TXN20250116000316,DT_20250116_204212
TXN20250306000317,DT_20250306_174319
TXN20250217000318,DT_20250217_121836
TXN20250127000319,DT_20250127_083236
TXN20250214000320,DT_20250214_094034
TXN20250122000321,DT_20250122_070239
TXN20250110000322,DT_20250110_113633
TXN20250116000323,DT_20250116_122535
TXN20250212000324,DT_20250212_183102
TXN20250123000325,DT_20250123_184433
TXN20250222000326,DT_20250222_134501
TXN20250116000327,DT_20250116_122603
TXN20250116000328,DT_20250116_010229
TXN20250320000329,DT_20250320_225129
TXN20250109000330,DT_20250109_025426
TXN20250327000331,DT_20250327_191001
TXN20250111000332,DT_20250111_211237
TXN20250221000333,DT_20250221_135357
TXN20250320000334,DT_20250320_155635
TXN20250102000335,DT_20250102_130135
TXN20250223000336,DT_20250223_093954
TXN20250204000337,DT_20250204_202422
TXN20250328000338,DT_20250328_054254
TXN20250111000339,DT_20250111_142013
TXN20250226000340,DT_20250226_100446
TXN20250105000341,DT_20250105_015102
TXN20250324000342,DT_20250324_065439
TXN20250320000343,DT_20250320_060720
TXN20250209000344,DT_20250209_114647
TXN20250222000345,DT_20250222_170032
TXN20250126000346,DT_20250126_125605
TXN20250112000347,DT_20250112_104326
TXN20250321000348,DT_20250321_112813
TXN20250322000349,DT_20250322_234053
TXN20250129000350,DT_20250129_004251
TXN20250210000351,DT_20250210_182359
TXN20250227000352,DT_20250227_042130
TXN20250320000353,DT_20250320_225021
TXN20250327000354,DT_20250327_002046
TXN20250226000355,DT_20250226_052613
TXN20250225000356,DT_20250225_151132
TXN20250324000357,DT_20250324_000829
TXN20250306000358,DT_20250306_160500
TXN20250113000359,DT_20250113_085407
TXN20250304000360,DT_20250304_090319
TXN20250129000361,DT_20250129_060851
TXN20250112000362,DT_20250112_102912
TXN20250102000363,DT_20250102_170021
TXN20250305000364,DT_20250305_012934
TXN20250119000365,DT_20250119_115654
TXN20250130000366,DT_20250130_102850
TXN20250213000367,DT_20250213_061645
TXN20250120000368,DT_20250120_220119
TXN20250111000369,DT_20250111_154857
TXN20250124000370,DT_20250124_033952
TXN20250212000371,DT_20250212_233546
TXN20250102000372,DT_20250102_060851
TXN20250312000373,DT_20250312_184229
TXN20250330000374,DT_20250330_232936
TXN20250315000375,DT_20250315_005901
TXN20250206000376,DT_20250206_154801
TXN20250211000377,DT_20250211_104747
TXN20250312000378,DT_20250312_070024
TXN20250303000379,DT_20250303_063823
TXN20250115000380,DT_20250115_192807
TXN20250330000381,DT_20250330_013405
TXN20250217000382,DT_20250217_143048
TXN20250111000383,DT_20250111_213323
TXN20250302000384,DT_20250302_235822
TXN20250330000385,DT_20250330_211002
TXN20250215000386,DT_20250215_032757
TXN20250109000387,DT_20250109_233505
TXN20250130000388,DT_20250130_152422
TXN20250317000389,DT_20250317_064629
TXN20250106000390,DT_20250106_194113
TXN20250107000391,DT_20250107_064550
TXN20250326000392,DT_20250326_013545
TXN20250331000393,DT_20250331_051216
TXN20250111000394,DT_20250111_173734
TXN20250117000395,DT_20250117_222152
TXN20250103000396,DT_20250103_111558
TXN20250126000397,DT_20250126_193215
TXN20250327000398,DT_20250327_081532
TXN20250105000399,DT_20250105_083328
TXN20250121000400,DT_20250121_015420
TXN20250319000401,DT_20250319_221404
TXN20250330000402,DT_20250330_011607
TXN20250126000403,DT_20250126_113914
TXN20250214000404,DT_20250214_225308
TXN20250311000405,DT_20250311_115156
TXN20250222000406,DT_20250222_083632
TXN20250220000407,DT_20250220_153615
TXN20250124000408,DT_20250124_064524
TXN20250213000409,DT_20250213_041230
TXN20250227000410,DT_20250227_132719
TXN20250319000411,DT_20250319_212453
TXN20250322000412,DT_20250322_190203
TXN20250329000413,DT_20250329_143404
TXN20250313000414,DT_20250313_084653
TXN20250324000415,DT_20250324_071607
TXN20250130000416,DT_20250130_093829
TXN20250202000417,DT_20250202_025621
TXN20250101000418,DT_20250101_121509
TXN20250303000419,DT_20250303_061227
TXN20250127000420,DT_20250127_145149
TXN20250216000421,DT_20250216_105548
TXN20250308000422,DT_20250308_152521
TXN20250302000423,DT_20250302_204140
TXN20250324000424,DT_20250324_183333
TXN20250111000425,DT_20250111_143917
TXN20250113000426,DT_20250113_204113
TXN20250113000427,DT_20250113_112326
TXN20250208000428,DT_20250208_054449
TXN20250103000429,DT_20250103_084752
TXN20250326000430,DT_20250326_235129
TXN20250308000431,DT_20250308_060425
TXN20250224000432,DT_20250224_014538
TXN20250116000433,DT_20250116_233510
TXN20250130000434,DT_20250130_072910
TXN20250220000435,DT_20250220_034916
TXN20250108000436,DT_20250108_052004
TXN20250331000437,DT_20250331_100420
TXN20250123000438,DT_20250123_212101
TXN20250204000439,DT_20250204_225030
TXN20250217000440,DT_20250217_122837
TXN20250302000441,DT_20250302_064757
TXN20250223000442,DT_20250223_073421
TXN20250209000443,DT_20250209_082302
TXN20250115000444,DT_20250115_192040
TXN20250101000445,DT_20250101_195338
TXN20250112000446,DT_20250112_091526
TXN20250225000447,DT_20250225_082528
TXN20250116000448,DT_20250116_131315
TXN20250308000449,DT_20250308_120140
TXN20250111000450,DT_20250111_170018
TXN20250111000451,DT_20250111_103143
TXN20250330000452,DT_20250330_073655
TXN20250324000453,DT_20250324_081211
TXN20250204000454,DT_20250204_042754
TXN20250130000455,DT_20250130_084247
TXN20250119000456,DT_20250119_073007
TXN20250108000457,DT_20250108_121852
TXN20250314000458,DT_20250314_032115
TXN20250128000459,DT_20250128_054001
TXN20250206000460,DT_20250206_042206
TXN20250127000461,DT_20250127_010329
TXN20250102000462,DT_20250102_060116
TXN20250325000463,DT_20250325_001110
TXN20250302000464,DT_20250302_030049
TXN20250128000465,DT_20250128_051445
TXN20250306000466,DT_20250306_062922
TXN20250301000467,DT_20250301_193659
TXN20250313000468,DT_20250313_104627
TXN20250204000469,DT_20250204_015210
TXN20250124000470,DT_20250124_085707
TXN20250330000471,DT_20250330_074301
TXN20250109000472,DT_20250109_143305
TXN20250324000473,DT_20250324_014404
TXN20250205000474,DT_20250205_124700
TXN20250312000475,DT_20250312_005606
TXN20250130000476,DT_20250130_124420
TXN20250103000477,DT_20250103_093459
TXN20250208000478,DT_20250208_043801
TXN20250119000479,DT_20250119_142751
TXN20250216000480,DT_20250216_064314
TXN20250331000481,DT_20250331_023554
TXN20250201000482,DT_20250201_194637
TXN20250129000483,DT_20250129_034112
TXN20250120000484,DT_20250120_202003
TXN20250321000485,DT_20250321_185302
TXN20250119000486,DT_20250119_183208
TXN20250207000487,DT_20250207_191921
TXN20250302000488,DT_20250302_161336
TXN20250111000489,DT_20250111_202820
TXN20250203000490,DT_20250203_045409
TXN20250117000491,DT_20250117_001115
TXN20250222000492,DT_20250222_025901
TXN20250218000493,DT_20250218_001056
TXN20250208000494,DT_20250208_101342
TXN20250314000495,DT_20250314_215700
TXN20250202000496,DT_20250202_202851
TXN20250330000497,DT_20250330_213232
TXN20250226000498,DT_20250226_222651
TXN20250313000499,DT_20250313_192846
TXN20250210000500,DT_20250210_212705
TXN20250312000501,DT_20250312_001727
TXN20250203000502,DT_20250203_030634
TXN20250305000503,DT_20250305_093842
TXN20250116000504,DT_20250116_103657
TXN20250220000505,DT_20250220_063421
TXN20250130000506,DT_20250130_201925
TXN20250125000507,DT_20250125_115906
TXN20250316000508,DT_20250316_140905
TXN20250310000509,DT_20250310_224605
TXN20250321000510,DT_20250321_082409
TXN20250304000511,DT_20250304_090050
TXN20250320000512,DT_20250320_121815
TXN20250323000513,DT_20250323_151006
TXN20250215000514,DT_20250215_082237
TXN20250214000515,DT_20250214_232236
TXN20250131000516,DT_20250131_140745
TXN20250105000517,DT_20250105_004738
TXN20250315000518,DT_20250315_085851
TXN20250123000519,DT_20250123_090029
TXN20250226000520,DT_20250226_122239
TXN20250311000521,DT_20250311_194854
TXN20250201000522,DT_20250201_031156
TXN20250127000523,DT_20250127_105524
TXN20250123000524,DT_20250123_115435
TXN20250201000525,DT_20250201_015423
TXN20250222000526,DT_20250222_235445
TXN20250303000527,DT_20250303_064721
TXN20250215000528,DT_20250215_074529
TXN20250105000529,DT_20250105_020157
TXN20250324000530,DT_20250324_042335
TXN20250114000531,DT_20250114_143959
TXN20250326000532,DT_20250326_040742
TXN20250316000533,DT_20250316_040645
TXN20250117000534,DT_20250117_224204
TXN20250219000535,DT_20250219_150027
TXN20250316000536,DT_20250316_194028
TXN20250126000537,DT_20250126_115611
TXN20250313000538,DT_20250313_081540
TXN20250209000539,DT_20250209_223851
TXN20250324000540,DT_20250324_164344
TXN20250225000541,DT_20250225_073107
TXN20250212000542,DT_20250212_084803
TXN20250330000543,DT_20250330_161028
TXN20250306000544,DT_20250306_015856
TXN20250330000545,DT_20250330_224329
TXN20250329000546,DT_20250329_185246
TXN20250213000547,DT_20250213_233539
TXN20250215000548,DT_20250215_144451
TXN20250213000549,DT_20250213_214649
TXN20250212000550,DT_20250212_024035
TXN20250107000551,DT_20250107_194035
TXN20250129000552,DT_20250129_092529
TXN20250207000553,DT_20250207_092413
TXN20250215000554,DT_20250215_020550
TXN20250225000555,DT_20250225_080304
TXN20250310000556,DT_20250310_033947
TXN20250314000557,DT_20250314_171752
TXN20250210000558,DT_20250210_094021
TXN20250207000559,DT_20250207_214712
TXN20250323000560,DT_20250323_051309
TXN20250102000561,DT_20250102_031120
TXN20250321000562,DT_20250321_122055
TXN20250210000563,DT_20250210_071413
TXN20250131000564,DT_20250131_091756
TXN20250123000565,DT_20250123_122750
TXN20250204000566,DT_20250204_111611
TXN20250223000567,DT_20250223_093954
TXN20250306000568,DT_20250306_155537
TXN20250118000569,DT_20250118_131525
TXN20250327000570,DT_20250327_185155
TXN20250209000571,DT_20250209_113944
TXN20250121000572,DT_20250121_212337
TXN20250227000573,DT_20250227_211139
TXN20250104000574,DT_20250104_182205
TXN20250115000575,DT_20250115_095500
TXN20250309000576,DT_20250309_080856
TXN20250110000577,DT_20250110_144357
TXN20250127000578,DT_20250127_125406
TXN20250124000579,DT_20250124_082909
TXN20250123000580,DT_20250123_225425
TXN20250109000581,DT_20250109_055122
TXN20250212000582,DT_20250212_190805
TXN20250109000583,DT_20250109_185230
TXN20250216000584,DT_20250216_173906
TXN20250210000585,DT_20250210_111851
TXN20250116000586,DT_20250116_075146
TXN20250309000587,DT_20250309_034352
TXN20250106000588,DT_20250106_001620
TXN20250226000589,DT_20250226_012604
TXN20250209000590,DT_20250209_231026
TXN20250202000591,DT_20250202_235209
TXN20250314000592,DT_20250314_112146
TXN20250107000593,DT_20250107_151515
TXN20250131000594,DT_20250131_215003
TXN20250201000595,DT_20250201_225438
TXN20250104000596,DT_20250104_121920
TXN20250131000597,DT_20250131_133126
TXN20250328000598,DT_20250328_224728
TXN20250114000599,DT_20250114_074522
TXN20250203000600,DT_20250203_141304
TXN20250311000601,DT_20250311_071553
TXN20250207000602,DT_20250207_100855
TXN20250316000603,DT_20250316_171952
TXN20250312000604,DT_20250312_203934
TXN20250215000605,DT_20250215_061552
TXN20250208000606,DT_20250208_031157
TXN20250125000607,DT_20250125_144311
TXN20250204000608,DT_20250204_081430
TXN20250210000609,DT_20250210_171940
TXN20250226000610,DT_20250226_021440
TXN20250209000611,DT_20250209_062746
TXN20250123000612,DT_20250123_142628
TXN20250308000613,DT_20250308_204808
TXN20250306000614,DT_20250306_195638
TXN20250312000615,DT_20250312_031350
TXN20250112000616,DT_20250112_063815
TXN20250203000617,DT_20250203_093450
TXN20250323000618,DT_20250323_005604
TXN20250117000619,DT_20250117_193916
TXN20250327000620,DT_20250327_154135
TXN20250314000621,DT_20250314_072101
TXN20250107000622,DT_20250107_013918
TXN20250313000623,DT_20250313_224945
TXN20250321000624,DT_20250321_125710
TXN20250315000625,DT_20250315_184019
TXN20250117000626,DT_20250117_204825
TXN20250216000627,DT_20250216_200851
TXN20250123000628,DT_20250123_172001
TXN20250108000629,DT_20250108_181756
TXN20250223000630,DT_20250223_065442
TXN20250320000631,DT_20250320_061616
TXN20250126000632,DT_20250126_195737
TXN20250327000633,DT_20250327_030218
TXN20250110000634,DT_20250110_132318
TXN20250124000635,DT_20250124_164000
TXN20250314000636,DT_20250314_191002
TXN20250210000637,DT_20250210_100414
TXN20250120000638,DT_20250120_133410
TXN20250205000639,DT_20250205_063714
TXN20250215000640,DT_20250215_234611
TXN20250127000641,DT_20250127_081711
TXN20250330000642,DT_20250330_220116
TXN20250113000643,DT_20250113_040729
TXN20250315000644,DT_20250315_165621
TXN20250312000645,DT_20250312_110355
TXN20250309000646,DT_20250309_221937
TXN20250311000647,DT_20250311_065346
TXN20250106000648,DT_20250106_062514
TXN20250130000649,DT_20250130_191639
TXN20250216000650,DT_20250216_084033
TXN20250317000651,DT_20250317_032157
TXN20250106000652,DT_20250106_090447
TXN20250213000653,DT_20250213_033705
TXN20250317000654,DT_20250317_105543
TXN20250212000655,DT_20250212_145641
TXN20250210000656,DT_20250210_085408
TXN20250119000657,DT_20250119_130806
TXN20250318000658,DT_20250318_020758
TXN20250131000659,DT_20250131_181124
TXN20250210000660,DT_20250210_021927
TXN20250207000661,DT_20250207_032914
TXN20250111000662,DT_20250111_205322
TXN20250220000663,DT_20250220_044957
TXN20250124000664,DT_20250124_075832
TXN20250331000665,DT_20250331_071008
TXN20250324000666,DT_20250324_235004
TXN20250119000667,DT_20250119_184656
TXN20250317000668,DT_20250317_234131
TXN20250331000669,DT_20250331_212753
TXN20250214000670,DT_20250214_054006
TXN20250306000671,DT_20250306_105832
TXN20250202000672,DT_20250202_071312
TXN20250203000673,DT_20250203_122440
TXN20250312000674,DT_20250312_115603
TXN20250107000675,DT_20250107_083919
TXN20250226000676,DT_20250226_081946
TXN20250116000677,DT_20250116_203023
TXN20250327000678,DT_20250327_174750
TXN20250326000679,DT_20250326_202742
TXN20250108000680,DT_20250108_085859
TXN20250228000681,DT_20250228_115404
TXN20250212000682,DT_20250212_022114
TXN20250127000683,DT_20250127_205753
TXN20250308000684,DT_20250308_080905
TXN20250320000685,DT_20250320_205222
TXN20250322000686,DT_20250322_024057
TXN20250126000687,DT_20250126_154548
TXN20250206000688,DT_20250206_003516
TXN20250327000689,DT_20250327_204819
TXN20250105000690,DT_20250105_003717
TXN20250102000691,DT_20250102_105555
TXN20250224000692,DT_20250224_150900
TXN20250101000693,DT_20250101_004841
TXN20250106000694,DT_20250106_131648
TXN20250320000695,DT_20250320_215516
TXN20250301000696,DT_20250301_101640
TXN20250114000697,DT_20250114_031103
TXN20250214000698,DT_20250214_231645
TXN20250220000699,DT_20250220_093549
TXN20250214000700,DT_20250214_082852
TXN20250126000701,DT_20250126_054706
TXN20250109000702,DT_20250109_164454
TXN20250102000703,DT_20250102_064055
TXN20250121000704,DT_20250121_145251
TXN20250321000705,DT_20250321_052902
TXN20250107000706,DT_20250107_155140
TXN20250309000707,DT_20250309_120155
TXN20250226000708,DT_20250226_103548
TXN20250228000709,DT_20250228_055701
TXN20250203000710,DT_20250203_024615
TXN20250323000711,DT_20250323_231326
TXN20250202000712,DT_20250202_063010
TXN20250105000713,DT_20250105_172732
TXN20250304000714,DT_20250304_021355
TXN20250205000715,DT_20250205_124118
TXN20250115000716,DT_20250115_134434
TXN20250109000717,DT_20250109_090848
TXN20250211000718,DT_20250211_130315
TXN20250215000719,DT_20250215_193035
TXN20250213000720,DT_20250213_031924
TXN20250226000721,DT_20250226_161214
TXN20250322000722,DT_20250322_013353
TXN20250220000723,DT_20250220_060210
TXN20250318000724,DT_20250318_050244
TXN20250124000725,DT_20250124_011541
TXN20250313000726,DT_20250313_123913
TXN20250216000727,DT_20250216_023509
TXN20250107000728,DT_20250107_060857
TXN20250108000729,DT_20250108_171457
TXN20250331000730,DT_20250331_130938
TXN20250228000731,DT_20250228_023946
TXN20250314000732,DT_20250314_044229
TXN20250329000733,DT_20250329_084339
TXN20250321000734,DT_20250321_131811
