tran_sequence_number,location_id
TXN20250304000172,LOC_US_SAN_FRANCISCO
TXN20250323000173,LOC_ES_MADRID
TXN20250113000174,LOC_NL_AMSTERDAM
TXN20250212000175,LOC_JP_TOKYO
TXN20250104000176,LOC_CA_TORONTO
TXN20250221000177,LOC_US_SAN_FRANCISCO
TXN20250213000178,LOC_AU_SYDNEY
TXN20250204000179,LOC_HK_HONG_KONG
TXN20250215000180,LOC_GB_MANCHESTER
TXN20250106000181,LOC_FR_PARIS
TXN20250213000182,LOC_US_SAN_FRANCISCO
TXN20250228000183,LOC_GB_LONDON
TXN20250110000184,LOC_AU_MELBOURNE
TXN20250212000185,LOC_US_SAN_FRANCISCO
TXN20250114000186,LOC_CA_VANCOUVER
TXN20250311000187,LOC_US_SAN_FRANCISCO
TXN20250125000188,LOC_AE_DUBAI
TXN20250206000189,LOC_AE_DUBAI
TXN20250326000190,LOC_US_CHICAGO
TXN20250213000191,LOC_AU_MELBOURNE
TXN20250111000192,LOC_IN_MUMBAI
TXN20250315000193,LOC_NL_AMSTERDAM
TXN20250118000194,LOC_NL_AMSTERDAM
TXN20250225000195,LOC_US_NEW_YORK
TXN20250311000196,LOC_FR_PARIS
TXN20250310000197,LOC_AE_DUBAI
TXN20250216000198,LOC_US_SAN_FRANCISCO
TXN20250209000199,LOC_NL_AMSTERDAM
TXN20250125000200,LOC_GB_LONDON
TXN20250317000201,LOC_IN_MUMBAI
TXN20250131000202,LOC_HK_HONG_KONG
TXN20250214000203,LOC_CA_TORONTO
TXN20250114000204,LOC_DE_BERLIN
TXN20250130000205,LOC_ES_MADRID
TXN20250115000206,LOC_IN_BENGALURU
TXN20250219000207,LOC_US_SAN_FRANCISCO
TXN20250308000208,LOC_DE_BERLIN
TXN20250129000209,LOC_JP_OSAKA
TXN20250102000210,LOC_GB_MANCHESTER
TXN20250314000211,LOC_ES_MADRID
TXN20250124000212,LOC_DE_BERLIN
TXN20250103000213,LOC_DE_BERLIN
TXN20250115000214,LOC_JP_TOKYO
TXN20250316000215,LOC_CA_VANCOUVER
TXN20250304000216,LOC_ES_MADRID
TXN20250213000217,LOC_AU_MELBOURNE
TXN20250213000218,LOC_IN_MUMBAI
TXN20250127000219,LOC_NL_AMSTERDAM
TXN20250112000220,LOC_DE_BERLIN
TXN20250221000221,LOC_JP_OSAKA
TXN20250125000222,LOC_US_SAN_FRANCISCO
TXN20250302000223,LOC_ES_MADRID
TXN20250104000224,LOC_JP_TOKYO
TXN20250302000225,LOC_CA_VANCOUVER
TXN20250222000226,LOC_HK_HONG_KONG
TXN20250324000227,LOC_GB_LONDON
TXN20250325000228,LOC_US_NEW_YORK
TXN20250311000229,LOC_IN_MUMBAI
TXN20250105000230,LOC_JP_TOKYO
TXN20250226000231,LOC_AE_DUBAI
TXN20250128000232,LOC_HK_HONG_KONG
TXN20250305000233,LOC_GB_MANCHESTER
TXN20250102000234,LOC_GB_MANCHESTER
TXN20250215000235,LOC_GB_LONDON
TXN20250204000236,LOC_AE_DUBAI
TXN20250228000237,LOC_IN_MUMBAI
TXN20250329000238,LOC_ES_MADRID
TXN20250223000239,LOC_SG_SINGAPORE
TXN20250109000240,LOC_HK_HONG_KONG
TXN20250306000241,LOC_NL_AMSTERDAM
TXN20250323000242,LOC_CA_VANCOUVER
TXN20250304000243,LOC_FR_PARIS
TXN20250212000244,LOC_IN_BENGALURU
TXN20250204000245,LOC_IN_BENGALURU
TXN20250315000246,LOC_AE_DUBAI
TXN20250129000247,LOC_NL_AMSTERDAM
TXN20250329000248,LOC_JP_OSAKA
TXN20250116000249,LOC_CA_VANCOUVER
TXN20250210000250,LOC_CA_TORONTO
TXN20250206000251,LOC_DE_BERLIN
TXN20250221000252,LOC_FR_PARIS
TXN20250303000253,LOC_HK_HONG_KONG
TXN20250304000254,LOC_DE_BERLIN
TXN20250312000255,LOC_AE_DUBAI
TXN20250207000256,LOC_IN_MUMBAI
TXN20250106000257,LOC_CA_VANCOUVER
TXN20250326000258,LOC_US_NEW_YORK
TXN20250121000259,LOC_IN_MUMBAI
TXN20250314000260,LOC_ES_MADRID
TXN20250206000261,LOC_HK_HONG_KONG
TXN20250106000262,LOC_CA_VANCOUVER
TXN20250331000263,LOC_GB_LONDON
TXN20250104000264,LOC_ES_MADRID
TXN20250115000265,LOC_CA_VANCOUVER
TXN20250302000266,LOC_JP_TOKYO
TXN20250101000267,LOC_FR_PARIS
TXN20250208000268,LOC_JP_TOKYO
TXN20250209000269,LOC_JP_OSAKA
TXN20250213000270,LOC_US_SAN_FRANCISCO
TXN20250301000271,LOC_US_CHICAGO
TXN20250225000272,LOC_CA_VANCOUVER
TXN20250211000273,LOC_AU_MELBOURNE
TXN20250218000274,LOC_DE_BERLIN
TXN20250111000275,LOC_US_CHICAGO
TXN20250224000276,LOC_DE_BERLIN
TXN20250303000277,LOC_IN_MUMBAI
TXN20250224000278,LOC_GB_MANCHESTER
TXN20250223000279,LOC_GB_MANCHESTER
TXN20250130000280,LOC_US_SAN_FRANCISCO
TXN20250129000281,LOC_IN_MUMBAI
TXN20250106000282,LOC_GB_MANCHESTER
TXN20250217000283,LOC_JP_OSAKA
TXN20250220000284,LOC_ES_MADRID
TXN20250326000285,LOC_FR_PARIS
TXN20250113000286,LOC_US_SAN_FRANCISCO
TXN20250121000287,LOC_US_NEW_YORK
TXN20250330000288,LOC_JP_OSAKA
TXN20250218000289,LOC_NL_AMSTERDAM
TXN20250122000290,LOC_US_CHICAGO
TXN20250211000291,LOC_IN_BENGALURU
TXN20250123000292,LOC_ES_MADRID
TXN20250203000293,LOC_DE_BERLIN
TXN20250329000294,LOC_HK_HONG_KONG
TXN20250316000295,LOC_US_SAN_FRANCISCO
TXN20250201000296,LOC_AE_DUBAI
TXN20250221000297,LOC_GB_MANCHESTER
TXN20250211000298,LOC_CA_VANCOUVER
TXN20250215000299,LOC_ES_MADRID
TXN20250107000300,LOC_CA_TORONTO
TXN20250205000301,LOC_GB_MANCHESTER
TXN20250318000302,LOC_JP_TOKYO
TXN20250220000303,LOC_JP_OSAKA
TXN20250328000304,LOC_AE_DUBAI
TXN20250124000305,LOC_JP_TOKYO
TXN20250324000306,LOC_SG_SINGAPORE
TXN20250202000307,LOC_AU_MELBOURNE
TXN20250104000308,LOC_NL_AMSTERDAM
TXN20250226000309,LOC_CA_VANCOUVER
TXN20250316000310,LOC_AU_MELBOURNE
TXN20250331000311,LOC_JP_OSAKA
TXN20250308000312,LOC_IN_BENGALURU
TXN20250211000313,LOC_NL_AMSTERDAM
TXN20250220000314,LOC_JP_TOKYO
TXN20250317000315,LOC_AE_DUBAI
TXN20250116000316,LOC_GB_LONDON
TXN20250306000317,LOC_CA_TORONTO
TXN20250217000318,LOC_US_CHICAGO
TXN20250127000319,LOC_US_CHICAGO
TXN20250214000320,LOC_ES_MADRID
TXN20250122000321,LOC_ES_MADRID
TXN20250110000322,LOC_JP_TOKYO
TXN20250116000323,LOC_NL_AMSTERDAM
TXN20250212000324,LOC_US_CHICAGO
TXN20250123000325,LOC_NL_AMSTERDAM
TXN20250222000326,LOC_US_CHICAGO
TXN20250116000327,LOC_AU_SYDNEY
TXN20250116000328,LOC_JP_OSAKA
TXN20250320000329,LOC_CA_TORONTO
TXN20250109000330,LOC_IN_BENGALURU
TXN20250327000331,LOC_NL_AMSTERDAM
TXN20250111000332,LOC_ES_MADRID
TXN20250221000333,LOC_IN_BENGALURU
TXN20250320000334,LOC_JP_TOKYO
TXN20250102000335,LOC_DE_BERLIN
TXN20250223000336,LOC_SG_SINGAPORE
TXN20250204000337,LOC_ES_MADRID
TXN20250328000338,LOC_DE_BERLIN
TXN20250111000339,LOC_AU_MELBOURNE
TXN20250226000340,LOC_US_CHICAGO
TXN20250105000341,LOC_JP_OSAKA
TXN20250324000342,LOC_JP_TOKYO
TXN20250320000343,LOC_AE_DUBAI
TXN20250209000344,LOC_US_CHICAGO
TXN20250222000345,LOC_NL_AMSTERDAM
TXN20250126000346,LOC_GB_MANCHESTER
TXN20250112000347,LOC_HK_HONG_KONG
TXN20250321000348,LOC_DE_BERLIN
TXN20250322000349,LOC_GB_LONDON
TXN20250129000350,LOC_IN_BENGALURU
TXN20250210000351,LOC_ES_MADRID
TXN20250227000352,LOC_IN_BENGALURU
TXN20250320000353,LOC_US_SAN_FRANCISCO
TXN20250327000354,LOC_ES_MADRID
TXN20250226000355,LOC_JP_OSAKA
TXN20250225000356,LOC_US_NEW_YORK
TXN20250324000357,LOC_GB_MANCHESTER
TXN20250306000358,LOC_JP_TOKYO
TXN20250113000359,LOC_IN_BENGALURU
TXN20250304000360,LOC_JP_TOKYO
TXN20250129000361,LOC_DE_BERLIN
TXN20250112000362,LOC_DE_BERLIN
TXN20250102000363,LOC_US_SAN_FRANCISCO
TXN20250305000364,LOC_NL_AMSTERDAM
TXN20250119000365,LOC_FR_PARIS
TXN20250130000366,LOC_FR_PARIS
TXN20250213000367,LOC_JP_TOKYO
TXN20250120000368,LOC_CA_TORONTO
TXN20250111000369,LOC_FR_PARIS
TXN20250124000370,LOC_IN_MUMBAI
TXN20250212000371,LOC_GB_LONDON
TXN20250102000372,LOC_FR_PARIS
TXN20250312000373,LOC_US_SAN_FRANCISCO
TXN20250330000374,LOC_US_CHICAGO
TXN20250315000375,LOC_GB_MANCHESTER
TXN20250206000376,LOC_ES_MADRID
TXN20250211000377,LOC_CA_VANCOUVER
TXN20250312000378,LOC_ES_MADRID
TXN20250303000379,LOC_GB_LONDON
TXN20250115000380,LOC_CA_TORONTO
TXN20250330000381,LOC_GB_MANCHESTER
TXN20250217000382,LOC_US_CHICAGO
TXN20250111000383,LOC_IN_MUMBAI
TXN20250302000384,LOC_CA_TORONTO
TXN20250330000385,LOC_US_CHICAGO
TXN20250215000386,LOC_IN_MUMBAI
TXN20250109000387,LOC_AU_SYDNEY
TXN20250130000388,LOC_US_NEW_YORK
TXN20250317000389,LOC_US_CHICAGO
TXN20250106000390,LOC_GB_MANCHESTER
TXN20250107000391,LOC_CA_VANCOUVER
TXN20250326000392,LOC_FR_PARIS
TXN20250331000393,LOC_US_SAN_FRANCISCO
TXN20250111000394,LOC_IN_BENGALURU
TXN20250117000395,LOC_JP_OSAKA
TXN20250103000396,LOC_GB_MANCHESTER
TXN20250126000397,LOC_JP_OSAKA
TXN20250327000398,LOC_GB_LONDON
TXN20250105000399,LOC_NL_AMSTERDAM
TXN20250121000400,LOC_ES_MADRID
TXN20250319000401,LOC_IN_MUMBAI
TXN20250330000402,LOC_US_SAN_FRANCISCO
TXN20250126000403,LOC_JP_OSAKA
TXN20250214000404,LOC_NL_AMSTERDAM
TXN20250311000405,LOC_FR_PARIS
TXN20250222000406,LOC_GB_MANCHESTER
TXN20250220000407,LOC_SG_SINGAPORE
TXN20250124000408,LOC_AU_SYDNEY
TXN20250213000409,LOC_AU_MELBOURNE
TXN20250227000410,LOC_US_CHICAGO
TXN20250319000411,LOC_ES_MADRID
TXN20250322000412,LOC_IN_MUMBAI
TXN20250329000413,LOC_GB_LONDON
TXN20250313000414,LOC_GB_LONDON
TXN20250324000415,LOC_US_CHICAGO
TXN20250130000416,LOC_GB_LONDON
TXN20250202000417,LOC_GB_MANCHESTER
TXN20250101000418,LOC_GB_MANCHESTER
TXN20250303000419,LOC_US_NEW_YORK
TXN20250127000420,LOC_JP_OSAKA
TXN20250216000421,LOC_JP_TOKYO
TXN20250308000422,LOC_CA_TORONTO
TXN20250302000423,LOC_IN_MUMBAI
TXN20250324000424,LOC_ES_MADRID
TXN20250111000425,LOC_CA_VANCOUVER
TXN20250113000426,LOC_US_NEW_YORK
TXN20250113000427,LOC_SG_SINGAPORE
TXN20250208000428,LOC_ES_MADRID
TXN20250103000429,LOC_CA_TORONTO
TXN20250326000430,LOC_CA_TORONTO
TXN20250308000431,LOC_US_NEW_YORK
TXN20250224000432,LOC_FR_PARIS
TXN20250116000433,LOC_DE_BERLIN
TXN20250130000434,LOC_AU_MELBOURNE
TXN20250220000435,LOC_GB_MANCHESTER
TXN20250108000436,LOC_AE_DUBAI
TXN20250331000437,LOC_US_SAN_FRANCISCO
TXN20250123000438,LOC_FR_PARIS
TXN20250204000439,LOC_NL_AMSTERDAM
TXN20250217000440,LOC_US_CHICAGO
TXN20250302000441,LOC_ES_MADRID
TXN20250223000442,LOC_JP_TOKYO
TXN20250209000443,LOC_GB_LONDON
TXN20250115000444,LOC_GB_MANCHESTER
TXN20250101000445,LOC_JP_OSAKA
TXN20250112000446,LOC_GB_MANCHESTER
TXN20250225000447,LOC_DE_BERLIN
TXN20250116000448,LOC_FR_PARIS
TXN20250308000449,LOC_ES_MADRID
TXN20250111000450,LOC_US_NEW_YORK
TXN20250111000451,LOC_JP_OSAKA
TXN20250330000452,LOC_DE_BERLIN
TXN20250324000453,LOC_ES_MADRID
TXN20250204000454,LOC_HK_HONG_KONG
TXN20250130000455,LOC_IN_MUMBAI
TXN20250119000456,LOC_IN_MUMBAI
TXN20250108000457,LOC_ES_MADRID
TXN20250314000458,LOC_JP_TOKYO
TXN20250128000459,LOC_AE_DUBAI
TXN20250206000460,LOC_GB_MANCHESTER
TXN20250127000461,LOC_CA_VANCOUVER
TXN20250102000462,LOC_GB_MANCHESTER
TXN20250325000463,LOC_IN_BENGALURU
TXN20250302000464,LOC_US_NEW_YORK
TXN20250128000465,LOC_DE_BERLIN
TXN20250306000466,LOC_GB_LONDON
TXN20250301000467,LOC_DE_BERLIN
TXN20250313000468,LOC_US_SAN_FRANCISCO
TXN20250204000469,LOC_AE_DUBAI
TXN20250124000470,LOC_NL_AMSTERDAM
TXN20250330000471,LOC_FR_PARIS
TXN20250109000472,LOC_NL_AMSTERDAM
TXN20250324000473,LOC_CA_TORONTO
TXN20250205000474,LOC_AU_MELBOURNE
TXN20250312000475,LOC_IN_BENGALURU
TXN20250130000476,LOC_JP_OSAKA
TXN20250103000477,LOC_ES_MADRID
TXN20250208000478,LOC_US_NEW_YORK
TXN20250119000479,LOC_JP_OSAKA
TXN20250216000480,LOC_CA_VANCOUVER
TXN20250331000481,LOC_SG_SINGAPORE
TXN20250201000482,LOC_GB_LONDON
TXN20250129000483,LOC_CA_VANCOUVER
TXN20250120000484,LOC_CA_VANCOUVER
TXN20250321000485,LOC_US_NEW_YORK
TXN20250119000486,LOC_JP_TOKYO
TXN20250207000487,LOC_GB_MANCHESTER
TXN20250302000488,LOC_US_SAN_FRANCISCO
TXN20250111000489,LOC_GB_LONDON
TXN20250203000490,LOC_AE_DUBAI
TXN20250117000491,LOC_IN_BENGALURU
TXN20250222000492,LOC_GB_LONDON
TXN20250218000493,LOC_GB_MANCHESTER
TXN20250208000494,LOC_US_CHICAGO
TXN20250314000495,LOC_CA_TORONTO
TXN20250202000496,LOC_ES_MADRID
TXN20250330000497,LOC_DE_BERLIN
TXN20250226000498,LOC_GB_LONDON
TXN20250313000499,LOC_NL_AMSTERDAM
TXN20250210000500,LOC_GB_MANCHESTER
TXN20250312000501,LOC_US_CHICAGO
TXN20250203000502,LOC_JP_OSAKA
TXN20250305000503,LOC_ES_MADRID
TXN20250116000504,LOC_ES_MADRID
TXN20250220000505,LOC_AE_DUBAI
TXN20250130000506,LOC_DE_BERLIN
TXN20250125000507,LOC_AU_SYDNEY
TXN20250316000508,LOC_GB_LONDON
TXN20250310000509,LOC_AU_MELBOURNE
TXN20250321000510,LOC_US_CHICAGO
TXN20250304000511,LOC_US_CHICAGO
TXN20250320000512,LOC_CA_VANCOUVER
TXN20250323000513,LOC_IN_BENGALURU
TXN20250215000514,LOC_JP_TOKYO
TXN20250214000515,LOC_GB_LONDON
TXN20250131000516,LOC_IN_BENGALURU
TXN20250105000517,LOC_IN_BENGALURU
TXN20250315000518,LOC_JP_TOKYO
TXN20250123000519,LOC_US_SAN_FRANCISCO
TXN20250226000520,LOC_NL_AMSTERDAM
TXN20250311000521,LOC_JP_TOKYO
TXN20250201000522,LOC_CA_VANCOUVER
TXN20250127000523,LOC_JP_TOKYO
TXN20250123000524,LOC_JP_TOKYO
TXN20250201000525,LOC_DE_BERLIN
TXN20250222000526,LOC_FR_PARIS
TXN20250303000527,LOC_NL_AMSTERDAM
TXN20250215000528,LOC_AU_MELBOURNE
TXN20250105000529,LOC_IN_BENGALURU
TXN20250324000530,LOC_GB_LONDON
TXN20250114000531,LOC_NL_AMSTERDAM
TXN20250326000532,LOC_NL_AMSTERDAM
TXN20250316000533,LOC_ES_MADRID
TXN20250117000534,LOC_ES_MADRID
TXN20250219000535,LOC_JP_TOKYO
TXN20250316000536,LOC_CA_VANCOUVER
TXN20250126000537,LOC_GB_LONDON
TXN20250313000538,LOC_JP_TOKYO
TXN20250209000539,LOC_DE_BERLIN
TXN20250324000540,LOC_DE_BERLIN
TXN20250225000541,LOC_AE_DUBAI
TXN20250212000542,LOC_DE_BERLIN
TXN20250330000543,LOC_US_SAN_FRANCISCO
TXN20250306000544,LOC_IN_BENGALURU
TXN20250330000545,LOC_ES_MADRID
TXN20250329000546,LOC_DE_BERLIN
TXN20250213000547,LOC_CA_VANCOUVER
TXN20250215000548,LOC_NL_AMSTERDAM
TXN20250213000549,LOC_DE_BERLIN
TXN20250212000550,LOC_FR_PARIS
TXN20250107000551,LOC_DE_BERLIN
TXN20250129000552,LOC_DE_BERLIN
TXN20250207000553,LOC_JP_OSAKA
TXN20250215000554,LOC_NL_AMSTERDAM
TXN20250225000555,LOC_US_SAN_FRANCISCO
TXN20250310000556,LOC_DE_BERLIN
TXN20250314000557,LOC_AE_DUBAI
TXN20250210000558,LOC_FR_PARIS
TXN20250207000559,LOC_JP_OSAKA
TXN20250323000560,LOC_FR_PARIS
TXN20250102000561,LOC_SG_SINGAPORE
TXN20250321000562,LOC_JP_TOKYO
TXN20250210000563,LOC_DE_BERLIN
TXN20250131000564,LOC_ES_MADRID
TXN20250123000565,LOC_IN_BENGALURU
TXN20250204000566,LOC_NL_AMSTERDAM
TXN20250223000567,LOC_CA_TORONTO
TXN20250306000568,LOC_FR_PARIS
TXN20250118000569,LOC_DE_BERLIN
TXN20250327000570,LOC_JP_OSAKA
TXN20250209000571,LOC_US_SAN_FRANCISCO
TXN20250121000572,LOC_AU_MELBOURNE
TXN20250227000573,LOC_US_SAN_FRANCISCO
TXN20250104000574,LOC_AU_MELBOURNE
TXN20250115000575,LOC_NL_AMSTERDAM
TXN20250309000576,LOC_AU_MELBOURNE
TXN20250110000577,LOC_GB_MANCHESTER
TXN20250127000578,LOC_GB_LONDON
TXN20250124000579,LOC_US_SAN_FRANCISCO
TXN20250123000580,LOC_DE_BERLIN
TXN20250109000581,LOC_SG_SINGAPORE
TXN20250212000582,LOC_FR_PARIS
TXN20250109000583,LOC_US_CHICAGO
TXN20250216000584,LOC_DE_BERLIN
TXN20250210000585,LOC_CA_VANCOUVER
TXN20250116000586,LOC_CA_TORONTO
TXN20250309000587,LOC_JP_OSAKA
TXN20250106000588,LOC_JP_OSAKA
TXN20250226000589,LOC_JP_TOKYO
TXN20250209000590,LOC_GB_LONDON
TXN20250202000591,LOC_GB_MANCHESTER
TXN20250314000592,LOC_JP_TOKYO
TXN20250107000593,LOC_JP_OSAKA
TXN20250131000594,LOC_FR_PARIS
TXN20250201000595,LOC_US_SAN_FRANCISCO
TXN20250104000596,LOC_JP_OSAKA
TXN20250131000597,LOC_US_SAN_FRANCISCO
TXN20250328000598,LOC_IN_BENGALURU
TXN20250114000599,LOC_IN_BENGALURU
TXN20250203000600,LOC_US_NEW_YORK
TXN20250311000601,LOC_US_CHICAGO
TXN20250207000602,LOC_ES_MADRID
TXN20250316000603,LOC_CA_VANCOUVER
TXN20250312000604,LOC_FR_PARIS
TXN20250215000605,LOC_GB_LONDON
TXN20250208000606,LOC_IN_BENGALURU
TXN20250125000607,LOC_GB_MANCHESTER
TXN20250204000608,LOC_FR_PARIS
TXN20250210000609,LOC_FR_PARIS
TXN20250226000610,LOC_NL_AMSTERDAM
