userid,tran_sequence_number
U000379,TXN20250213000182
U000498,TXN20250228000183
U000335,TXN20250110000184
U000082,TXN20250212000185
U000324,TXN20250114000186
U000036,TXN20250311000187
U000087,TXN20250125000188
U000377,TXN20250206000189
U000195,TXN20250326000190
U000587,TXN20250213000191
U000082,TXN20250111000192
U000268,TXN20250315000193
U000735,TXN20250118000194
U000719,TXN20250225000195
U000560,TXN20250311000196
U000305,TXN20250310000197
U000762,TXN20250216000198
U000449,TXN20250209000199
U000818,TXN20250125000200
U000341,TXN20250317000201
U000345,TXN20250131000202
U000726,TXN20250214000203
U000206,TXN20250114000204
U000747,TXN20250130000205
U000615,TXN20250115000206
U000712,TXN20250219000207
U000325,TXN20250308000208
U000304,TXN20250129000209
U000694,TXN20250102000210
U000400,TXN20250314000211
U000561,TXN20250124000212
U000258,TXN20250103000213
U000599,TXN20250115000214
U000239,TXN20250316000215
U000064,TXN20250304000216
U000071,TXN20250213000217
U000218,TXN20250213000218
U000361,TXN20250127000219
U000653,TXN20250112000220
U000511,TXN20250221000221
U000280,TXN20250125000222
U000381,TXN20250302000223
U000429,TXN20250104000224
U000022,TXN20250302000225
U000328,TXN20250222000226
U000027,TXN20250324000227
U000647,TXN20250325000228
U000207,TXN20250311000229
U000068,TXN20250105000230
U000371,TXN20250226000231
U000075,TXN20250128000232
U000020,TXN20250305000233
U000304,TXN20250102000234
U000815,TXN20250215000235
U000815,TXN20250204000236
U000500,TXN20250228000237
U000716,TXN20250329000238
U000286,TXN20250223000239
U000225,TXN20250109000240
U000053,TXN20250306000241
U000798,TXN20250323000242
U000303,TXN20250304000243
U000149,TXN20250212000244
U000557,TXN20250204000245
U000788,TXN20250315000246
U000060,TXN20250129000247
U000738,TXN20250329000248
U000420,TXN20250116000249
U000628,TXN20250210000250
U000012,TXN20250206000251
U000326,TXN20250221000252
U000074,TXN20250303000253
U000455,TXN20250304000254
U000197,TXN20250312000255
U000795,TXN20250207000256
U000821,TXN20250106000257
U000711,TXN20250326000258
U000189,TXN20250121000259
U000617,TXN20250314000260
U000099,TXN20250206000261
U000319,TXN20250106000262
U000490,TXN20250331000263
U000619,TXN20250104000264
U000673,TXN20250115000265
U000035,TXN20250302000266
U000059,TXN20250101000267
U000547,TXN20250208000268
U000002,TXN20250209000269
U000453,TXN20250213000270
U000183,TXN20250301000271
U000475,TXN20250225000272
U000427,TXN20250211000273
U000487,TXN20250218000274
U000275,TXN20250111000275
U000812,TXN20250224000276
U000564,TXN20250303000277
U000608,TXN20250224000278
U000296,TXN20250223000279
U000292,TXN20250130000280
U000387,TXN20250129000281
U000398,TXN20250106000282
U000077,TXN20250217000283
U000502,TXN20250220000284
U000717,TXN20250326000285
U000648,TXN20250113000286
U000509,TXN20250121000287
U000439,TXN20250330000288
U000396,TXN20250218000289
U000458,TXN20250122000290
U000234,TXN20250211000291
U000056,TXN20250123000292
U000297,TXN20250203000293
U000518,TXN20250329000294
U000423,TXN20250316000295
U000410,TXN20250201000296
U000215,TXN20250221000297
U000735,TXN20250211000298
U000406,TXN20250215000299
U000592,TXN20250107000300
U000799,TXN20250205000301
U000270,TXN20250318000302
U000119,TXN20250220000303
U000071,TXN20250328000304
U000637,TXN20250124000305
U000296,TXN20250324000306
U000156,TXN20250202000307
U000455,TXN20250104000308
U000119,TXN20250226000309
U000172,TXN20250316000310
U000175,TXN20250331000311
U000396,TXN20250308000312
U000481,TXN20250211000313
U000069,TXN20250220000314
U000310,TXN20250317000315
U000220,TXN20250116000316
U000406,TXN20250306000317
U000568,TXN20250217000318
U000595,TXN20250127000319
U000734,TXN20250214000320
U000784,TXN20250122000321
U000493,TXN20250110000322
U000196,TXN20250116000323
U000671,TXN20250212000324
U000634,TXN20250123000325
U000737,TXN20250222000326
U000589,TXN20250116000327
U000484,TXN20250116000328
U000341,TXN20250320000329
U000751,TXN20250109000330
U000035,TXN20250327000331
U000116,TXN20250111000332
U000553,TXN20250221000333
U000599,TXN20250320000334
U000070,TXN20250102000335
U000781,TXN20250223000336
U000468,TXN20250204000337
U000828,TXN20250328000338
U000016,TXN20250111000339
U000717,TXN20250226000340
U000773,TXN20250105000341
U000799,TXN20250324000342
U000145,TXN20250320000343
U000428,TXN20250209000344
U000819,TXN20250222000345
U000100,TXN20250126000346
U000747,TXN20250112000347
U000044,TXN20250321000348
U000566,TXN20250322000349
U000432,TXN20250129000350
U000802,TXN20250210000351
U000313,TXN20250227000352
U000598,TXN20250320000353
U000405,TXN20250327000354
U000222,TXN20250226000355
U000723,TXN20250225000356
U000237,TXN20250324000357
U000763,TXN20250306000358
U000557,TXN20250113000359
U000092,TXN20250304000360
U000545,TXN20250129000361
U000557,TXN20250112000362
U000719,TXN20250102000363
U000015,TXN20250305000364
U000630,TXN20250119000365
U000028,TXN20250130000366
U000282,TXN20250213000367
U000490,TXN20250120000368
U000407,TXN20250111000369
U000375,TXN20250124000370
U000489,TXN20250212000371
U000067,TXN20250102000372
U000728,TXN20250312000373
U000205,TXN20250330000374
U000786,TXN20250315000375
U000721,TXN20250206000376
U000630,TXN20250211000377
U000265,TXN20250312000378
U000063,TXN20250303000379
U000539,TXN20250115000380
U000620,TXN20250330000381
U000758,TXN20250217000382
U000515,TXN20250111000383
U000447,TXN20250302000384
U000409,TXN20250330000385
U000796,TXN20250215000386
U000777,TXN20250109000387
U000752,TXN20250130000388
U000135,TXN20250317000389
U000049,TXN20250106000390
U000372,TXN20250107000391
U000814,TXN20250326000392
U000473,TXN20250331000393
U000048,TXN20250111000394
U000830,TXN20250117000395
U000218,TXN20250103000396
U000061,TXN20250126000397
U000209,TXN20250327000398
U000663,TXN20250105000399
U000607,TXN20250121000400
U000745,TXN20250319000401
U000283,TXN20250330000402
U000785,TXN20250126000403
U000019,TXN20250214000404
U000363,TXN20250311000405
U000441,TXN20250222000406
U000496,TXN20250220000407
U000328,TXN20250124000408
U000534,TXN20250213000409
U000719,TXN20250227000410
U000525,TXN20250319000411
U000527,TXN20250322000412
U000555,TXN20250329000413
U000243,TXN20250313000414
U000598,TXN20250324000415
U000438,TXN20250130000416
U000650,TXN20250202000417
U000788,TXN20250101000418
U000749,TXN20250303000419
U000309,TXN20250127000420
U000179,TXN20250216000421
U000238,TXN20250308000422
U000592,TXN20250302000423
U000355,TXN20250324000424
U000577,TXN20250111000425
U000712,TXN20250113000426
U000765,TXN20250113000427
U000749,TXN20250208000428
U000756,TXN20250103000429
U000196,TXN20250326000430
U000612,TXN20250308000431
U000265,TXN20250224000432
U000705,TXN20250116000433
U000810,TXN20250130000434
U000398,TXN20250220000435
U000375,TXN20250108000436
U000195,TXN20250331000437
U000455,TXN20250123000438
U000785,TXN20250204000439
U000569,TXN20250217000440
U000763,TXN20250302000441
U000803,TXN20250223000442
U000692,TXN20250209000443
U000102,TXN20250115000444
U000300,TXN20250101000445
U000809,TXN20250112000446
U000204,TXN20250225000447
U000416,TXN20250116000448
U000309,TXN20250308000449
U000070,TXN20250111000450
U000475,TXN20250111000451
U000278,TXN20250330000452
U000270,TXN20250324000453
U000269,TXN20250204000454
U000580,TXN20250130000455
U000058,TXN20250119000456
U000418,TXN20250108000457
U000104,TXN20250314000458
U000042,TXN20250128000459
U000014,TXN20250206000460
U000372,TXN20250127000461
U000700,TXN20250102000462
U000435,TXN20250325000463
U000769,TXN20250302000464
U000253,TXN20250128000465
U000268,TXN20250306000466
U000398,TXN20250301000467
U000788,TXN20250313000468
U000417,TXN20250204000469
U000118,TXN20250124000470
U000034,TXN20250330000471
U000702,TXN20250109000472
U000365,TXN20250324000473
U000203,TXN20250205000474
U000483,TXN20250312000475
U000209,TXN20250130000476
U000476,TXN20250103000477
U000533,TXN20250208000478
U000576,TXN20250119000479
U000829,TXN20250216000480
U000350,TXN20250331000481
U000323,TXN20250201000482
U000642,TXN20250129000483
U000337,TXN20250120000484
U000281,TXN20250321000485
U000471,TXN20250119000486
U000493,TXN20250207000487
U000256,TXN20250302000488
U000020,TXN20250111000489
U000702,TXN20250203000490
U000271,TXN20250117000491
U000206,TXN20250222000492
U000603,TXN20250218000493
U000131,TXN20250208000494
U000125,TXN20250314000495
U000053,TXN20250202000496
U000132,TXN20250330000497
U000073,TXN20250226000498
U000663,TXN20250313000499
U000192,TXN20250210000500
U000727,TXN20250312000501
U000463,TXN20250203000502
U000683,TXN20250305000503
U000632,TXN20250116000504
U000549,TXN20250220000505
U000137,TXN20250130000506
U000285,TXN20250125000507
U000624,TXN20250316000508
U000242,TXN20250310000509
U000177,TXN20250321000510
U000078,TXN20250304000511
U000748,TXN20250320000512
U000484,TXN20250323000513
U000748,TXN20250215000514
U000036,TXN20250214000515
U000591,TXN20250131000516
U000192,TXN20250105000517
U000182,TXN20250315000518
U000639,TXN20250123000519
U000338,TXN20250226000520
U000547,TXN20250311000521
U000346,TXN20250201000522
U000216,TXN20250127000523
U000777,TXN20250123000524
U000466,TXN20250201000525
U000282,TXN20250222000526
U000587,TXN20250303000527
U000064,TXN20250215000528
U000070,TXN20250105000529
U000447,TXN20250324000530
U000570,TXN20250114000531
U000632,TXN20250326000532
U000790,TXN20250316000533
U000258,TXN20250117000534
U000260,TXN20250219000535
U000651,TXN20250316000536
U000523,TXN20250126000537
U000681,TXN20250313000538
U000390,TXN20250209000539
U000702,TXN20250324000540
U000686,TXN20250225000541
U000596,TXN20250212000542
U000320,TXN20250330000543
U000188,TXN20250306000544
U000728,TXN20250330000545
U000826,TXN20250329000546
U000316,TXN20250213000547
U000608,TXN20250215000548
U000032,TXN20250213000549
U000059,TXN20250212000550
U000404,TXN20250107000551
U000094,TXN20250129000552
U000708,TXN20250207000553
U000510,TXN20250215000554
U000276,TXN20250225000555
U000088,TXN20250310000556
U000760,TXN20250314000557
U000046,TXN20250210000558
U000554,TXN20250207000559
U000587,TXN20250323000560
U000140,TXN20250102000561
U000721,TXN20250321000562
U000232,TXN20250210000563
U000099,TXN20250131000564
U000380,TXN20250123000565
U000140,TXN20250204000566
U000583,TXN20250223000567
U000071,TXN20250306000568
U000649,TXN20250118000569
U000013,TXN20250327000570
U000255,TXN20250209000571
U000445,TXN20250121000572
U000096,TXN20250227000573
U000025,TXN20250104000574
U000684,TXN20250115000575
U000224,TXN20250309000576
U000332,TXN20250110000577
U000663,TXN20250127000578
U000442,TXN20250124000579
U000301,TXN20250123000580
U000001,TXN20250109000581
U000512,TXN20250212000582
U000778,TXN20250109000583
U000158,TXN20250216000584
U000506,TXN20250210000585
U000140,TXN20250116000586
U000372,TXN20250309000587
U000295,TXN20250106000588
U000082,TXN20250226000589
U000677,TXN20250209000590
U000645,TXN20250202000591
U000070,TXN20250314000592
U000275,TXN20250107000593
U000079,TXN20250131000594
U000588,TXN20250201000595
U000381,TXN20250104000596
U000345,TXN20250131000597
U000280,TXN20250328000598
U000079,TXN20250114000599
U000097,TXN20250203000600
U000447,TXN20250311000601
U000230,TXN20250207000602
U000345,TXN20250316000603
U000249,TXN20250312000604
U000202,TXN20250215000605
U000547,TXN20250208000606
U000340,TXN20250125000607
U000337,TXN20250204000608
U000272,TXN20250210000609
U000555,TXN20250226000610
U000476,TXN20250209000611
U000323,TXN20250123000612
U000033,TXN20250308000613
U000410,TXN20250306000614
U000035,TXN20250312000615
U000505,TXN20250112000616
U000841,TXN20250203000617
U000237,TXN20250323000618
U000171,TXN20250117000619
U000458,TXN20250327000620
U000581,TXN20250314000621
U000664,TXN20250107000622
U000294,TXN20250313000623
U000596,TXN20250321000624
U000333,TXN20250315000625
U000567,TXN20250117000626
U000250,TXN20250216000627
U000050,TXN20250123000628
U000429,TXN20250108000629
U000639,TXN20250223000630
U000761,TXN20250320000631
U000089,TXN20250126000632
U000330,TXN20250327000633
U000689,TXN20250110000634
U000380,TXN20250124000635
U000410,TXN20250314000636
U000419,TXN20250210000637
U000212,TXN20250120000638
U000352,TXN20250205000639
U000436,TXN20250215000640
U000622,TXN20250127000641
U000136,TXN20250330000642
U000111,TXN20250113000643
U000060,TXN20250315000644
U000603,TXN20250312000645
U000486,TXN20250309000646
U000275,TXN20250311000647
U000416,TXN20250106000648
U000813,TXN20250130000649
U000622,TXN20250216000650
U000783,TXN20250317000651
U000271,TXN20250106000652
U000433,TXN20250213000653
U000801,TXN20250317000654
U000531,TXN20250212000655
U000676,TXN20250210000656
U000262,TXN20250119000657
U000095,TXN20250318000658
U000245,TXN20250131000659
U000210,TXN20250210000660
U000207,TXN20250207000661
U000454,TXN20250111000662
U000424,TXN20250220000663
U000761,TXN20250124000664
U000092,TXN20250331000665
U000279,TXN20250324000666
U000122,TXN20250119000667
U000698,TXN20250317000668
U000399,TXN20250331000669
U000593,TXN20250214000670
U000507,TXN20250306000671
U000492,TXN20250202000672
U000010,TXN20250203000673
U000279,TXN20250312000674
U000400,TXN20250107000675
U000329,TXN20250226000676
U000516,TXN20250116000677
U000293,TXN20250327000678
U000298,TXN20250326000679
U000287,TXN20250108000680
U000554,TXN20250228000681
U000528,TXN20250212000682
U000013,TXN20250127000683
U000485,TXN20250308000684
U000754,TXN20250320000685
U000017,TXN20250322000686
U000439,TXN20250126000687
U000162,TXN20250206000688
U000707,TXN20250327000689
U000112,TXN20250105000690
U000285,TXN20250102000691
U000104,TXN20250224000692
U000432,TXN20250101000693
U000808,TXN20250106000694
U000596,TXN20250320000695
U000650,TXN20250301000696
U000062,TXN20250114000697
U000209,TXN20250214000698
U000462,TXN20250220000699
U000158,TXN20250214000700
U000091,TXN20250126000701
U000038,TXN20250109000702
U000384,TXN20250102000703
U000240,TXN20250121000704
U000133,TXN20250321000705
U000131,TXN20250107000706
U000266,TXN20250309000707
U000649,TXN20250226000708
U000004,TXN20250228000709
U000503,TXN20250203000710
U000048,TXN20250323000711
U000022,TXN20250202000712
U000261,TXN20250105000713
U000739,TXN20250304000714
U000283,TXN20250205000715
U000279,TXN20250115000716
U000641,TXN20250109000717
U000603,TXN20250211000718
U000620,TXN20250215000719
U000773,TXN20250213000720
U000024,TXN20250226000721
U000170,TXN20250322000722
U000205,TXN20250220000723
U000288,TXN20250318000724
U000385,TXN20250124000725
U000304,TXN20250313000726
U000386,TXN20250216000727
U000552,TXN20250107000728
U000821,TXN20250108000729
U000567,TXN20250331000730
U000500,TXN20250228000731
U000194,TXN20250314000732
U000847,TXN20250329000733
U000059,TXN20250321000734
U000693,TXN20250330000735
U000414,TXN20250106000736
U000127,TXN20250317000737
U000677,TXN20250225000738
U000841,TXN20250210000739
U000384,TXN20250111000740
U000838,TXN20250222000741
U000622,TXN20250318000742
U000839,TXN20250218000743
U000350,TXN20250226000744
U000523,TXN20250215000745
U000442,TXN20250110000746
U000345,TXN20250101000747
U000439,TXN20250325000748
U000727,TXN20250127000749
U000492,TXN20250308000750
U000687,TXN20250116000751
U000173,TXN20250325000752
U000594,TXN20250330000753
U000663,TXN20250221000754
U000023,TXN20250125000755
U000094,TXN20250301000756
U000644,TXN20250104000757
U000412,TXN20250316000758
U000624,TXN20250331000759
U000092,TXN20250325000760
U000174,TXN20250206000761
U000245,TXN20250124000762
U000533,TXN20250224000763
U000560,TXN20250314000764
U000612,TXN20250205000765
U000534,TXN20250211000766
U000483,TXN20250215000767
U000167,TXN20250130000768
U000062,TXN20250127000769
U000094,TXN20250126000770
U000451,TXN20250224000771
U000004,TXN20250131000772
U000081,TXN20250317000773
U000310,TXN20250116000774
U000687,TXN20250208000775
U000156,TXN20250306000776
U000018,TXN20250306000777
U000053,TXN20250312000778
U000765,TXN20250209000779
U000147,TXN20250106000780
U000581,TXN20250218000781
U000372,TXN20250124000782
U000052,TXN20250128000783
U000810,TXN20250214000784
U000798,TXN20250329000785
U000465,TXN20250116000786
U000516,TXN20250206000787
U000530,TXN20250131000788
U000738,TXN20250119000789
U000730,TXN20250228000790
U000400,TXN20250324000791
U000094,TXN20250225000792
U000337,TXN20250331000793
U000470,TXN20250102000794
U000317,TXN20250327000795
U000494,TXN20250215000796
U000055,TXN20250119000797
U000021,TXN20250104000798
U000177,TXN20250317000799
U000844,TXN20250314000800
U000285,TXN20250330000801
U000489,TXN20250216000802
U000704,TXN20250301000803
U000146,TXN20250302000804
U000489,TXN20250224000805
U000236,TXN20250119000806
U000226,TXN20250305000807
U000648,TXN20250118000808
U000583,TXN20250312000809
U000338,TXN20250211000810
U000060,TXN20250314000811
U000598,TXN20250109000812
U000605,TXN20250208000813
U000332,TXN20250320000814
U000630,TXN20250218000815
U000675,TXN20250102000816
U000447,TXN20250205000817
U000154,TXN20250130000818
U000439,TXN20250115000819
U000225,TXN20250127000820
U000729,TXN20250121000821
U000681,TXN20250223000822
U000149,TXN20250314000823
U000827,TXN20250218000824
U000109,TXN20250210000825
U000488,TXN20250217000826
U000205,TXN20250223000827
U000468,TXN20250309000828
U000448,TXN20250223000829
U000020,TXN20250203000830
U000001,TXN20250221000831
U000810,TXN20250217000832
U000162,TXN20250308000833
U000428,TXN20250330000834
U000557,TXN20250104000835
U000443,TXN20250130000836
U000817,TXN20250111000837
U000535,TXN20250315000838
U000755,TXN20250117000839
U000602,TXN20250112000840
U000683,TXN20250114000841
U000037,TXN20250324000842
U000124,TXN20250203000843
U000020,TXN20250128000844
U000720,TXN20250217000845
U000537,TXN20250216000846
U000286,TXN20250316000847
U000164,TXN20250123000848
U000030,TXN20250226000849
U000098,TXN20250307000850
U000849,TXN20250208000851
U000114,TXN20250106000852
U000363,TXN20250323000853
U000449,TXN20250124000854
U000717,TXN20250221000855
U000825,TXN20250221000856
U000783,TXN20250215000857
U000846,TXN20250219000858
U000736,TXN20250228000859
U000765,TXN20250303000860
U000498,TXN20250213000861
U000564,TXN20250320000862
U000371,TXN20250308000863
U000198,TXN20250315000864
U000312,TXN20250122000865
U000331,TXN20250130000866
U000747,TXN20250324000867
U000198,TXN20250112000868
U000465,TXN20250317000869
U000645,TXN20250327000870
U000162,TXN20250202000871
U000327,TXN20250316000872
U000122,TXN20250325000873
U000254,TXN20250309000874
U000382,TXN20250201000875
U000147,TXN20250121000876
U000097,TXN20250221000877
U000302,TXN20250211000878
U000828,TXN20250328000879
U000136,TXN20250222000880
U000568,TXN20250221000881
U000547,TXN20250131000882
U000019,TXN20250203000883
U000366,TXN20250126000884
U000160,TXN20250204000885
U000612,TXN20250106000886
U000362,TXN20250321000887
U000549,TXN20250305000888
U000744,TXN20250203000889
U000289,TXN20250111000890
U000170,TXN20250115000891
U000341,TXN20250320000892
U000517,TXN20250118000893
U000682,TXN20250323000894
U000342,TXN20250313000895
U000770,TXN20250304000896
U000700,TXN20250120000897
U000765,TXN20250129000898
U000132,TXN20250128000899
U000257,TXN20250204000900
U000459,TXN20250326000901
U000245,TXN20250123000902
U000658,TXN20250322000903
U000584,TXN20250217000904
U000137,TXN20250325000905
U000443,TXN20250102000906
U000563,TXN20250106000907
U000290,TXN20250224000908
U000181,TXN20250116000909
U000076,TXN20250227000910
U000806,TXN20250326000911
U000054,TXN20250128000912
U000443,TXN20250104000913
U000647,TXN20250109000914
U000050,TXN20250107000915
U000567,TXN20250324000916
U000174,TXN20250121000917
U000077,TXN20250110000918
U000499,TXN20250206000919
U000141,TXN20250323000920
U000526,TXN20250202000921
U000533,TXN20250202000922
U000633,TXN20250104000923
U000504,TXN20250120000924
U000650,TXN20250318000925
U000144,TXN20250116000926
U000155,TXN20250320000927
U000279,TXN20250122000928
U000338,TXN20250121000929
U000177,TXN20250305000930
U000181,TXN20250131000931
U000529,TXN20250101000932
U000662,TXN20250330000933
U000087,TXN20250128000934
U000173,TXN20250314000935
U000796,TXN20250328000936
U000413,TXN20250203000937
U000244,TXN20250114000938
U000703,TXN20250330000939
U000522,TXN20250318000940
U000179,TXN20250107000941
U000057,TXN20250322000942
U000196,TXN20250225000943
U000019,TXN20250315000944
U000618,TXN20250129000945
U000533,TXN20250103000946
U000195,TXN20250123000947
U000463,TXN20250120000948
U000342,TXN20250326000949
U000607,TXN20250128000950
U000215,TXN20250125000951
U000794,TXN20250327000952
U000018,TXN20250302000953
U000145,TXN20250313000954
U000727,TXN20250320000955
U000472,TXN20250125000956
U000553,TXN20250107000957
U000517,TXN20250301000958
U000830,TXN20250319000959
U000169,TXN20250114000960
U000461,TXN20250324000961
U000843,TXN20250108000962
U000496,TXN20250307000963
U000294,TXN20250120000964
U000329,TXN20250125000965
U000609,TXN20250113000966
U000344,TXN20250107000967
U000467,TXN20250119000968
U000078,TXN20250112000969
U000031,TXN20250206000970
U000050,TXN20250131000971
U000081,TXN20250120000972
U000088,TXN20250302000973
U000669,TXN20250312000974
U000191,TXN20250303000975
U000229,TXN20250328000976
U000186,TXN20250322000977
U000543,TXN20250316000978
U000008,TXN20250111000979
U000618,TXN20250309000980
U000617,TXN20250317000981
U000170,TXN20250323000982
U000655,TXN20250210000983
U000655,TXN20250122000984
U000342,TXN20250207000985
U000377,TXN20250309000986
U000608,TXN20250225000987
U000266,TXN20250307000988
U000333,TXN20250324000989
U000811,TXN20250216000990
U000783,TXN20250116000991
U000468,TXN20250318000992
U000073,TXN20250205000993
U000280,TXN20250302000994
U000500,TXN20250306000995
U000121,TXN20250216000996
U000278,TXN20250308000997
U000387,TXN20250207000998
U000818,TXN20250208000999
U000794,TXN20250303001000
U000542,TXN20250103001001
U000196,TXN20250201001002
U000187,TXN20250329001003
U000466,TXN20250310001004
U000381,TXN20250216001005
U000548,TXN20250304001006
U000584,TXN20250110001007
U000337,TXN20250321001008
U000607,TXN20250311001009
U000479,TXN20250101001010
U000491,TXN20250103001011
U000183,TXN20250329001012
U000145,TXN20250109001013
U000654,TXN20250223001014
U000126,TXN20250223001015
U000836,TXN20250123001016
U000652,TXN20250330001017
U000164,TXN20250311001018
U000684,TXN20250220001019
U000348,TXN20250225001020
U000202,TXN20250116001021
U000238,TXN20250121001022
U000232,TXN20250321001023
U000363,TXN20250322001024
U000457,TXN20250111001025
U000775,TXN20250220001026
U000525,TXN20250209001027
U000112,TXN20250207001028
U000628,TXN20250205001029
U000792,TXN20250311001030
U000413,TXN20250327001031
U000052,TXN20250120001032
U000056,TXN20250329001033
U000786,TXN20250115001034
U000789,TXN20250103001035
U000591,TXN20250131001036
U000589,TXN20250124001037
U000203,TXN20250125001038
U000496,TXN20250101001039
U000274,TXN20250127001040
U000327,TXN20250129001041
U000701,TXN20250327001042
U000602,TXN20250205001043
U000566,TXN20250218001044
U000798,TXN20250323001045
U000699,TXN20250326001046
U000258,TXN20250120001047
U000657,TXN20250110001048
U000468,TXN20250103001049
U000784,TXN20250319001050
U000522,TXN20250328001051
U000530,TXN20250118001052
U000750,TXN20250106001053
U000109,TXN20250123001054
U000651,TXN20250212001055
U000360,TXN20250201001056
U000691,TXN20250331001057
U000334,TXN20250331001058
U000365,TXN20250214001059
U000332,TXN20250104001060
U000311,TXN20250124001061
U000060,TXN20250208001062
U000209,TXN20250327001063
U000118,TXN20250314001064
U000387,TXN20250109001065
U000537,TXN20250120001066
U000001,TXN20250102001067
U000697,TXN20250121001068
U000150,TXN20250118001069
U000225,TXN20250209001070
U000609,TXN20250222001071
U000738,TXN20250219001072
U000059,TXN20250301001073
U000656,TXN20250111001074
U000827,TXN20250320001075
