tran_sequence_number,merchant_id
TXN20250312000114,MJP00032
TXN20250118000115,MIN00115
TXN20250322000116,MCA00200
TXN20250323000117,MFR00042
TXN20250226000118,MIN00187
TXN20250109000119,MSG00083
TXN20250311000120,MJP00204
TXN20250113000121,MIN00131
TXN20250329000122,MHK00159
TXN20250201000123,MES00041
TXN20250223000124,MGB00001
TXN20250212000125,MDE00181
TXN20250313000126,MIN00128
TXN20250218000127,MNL00169
TXN20250118000128,MSG00050
TXN20250326000129,MCA00156
TXN20250309000130,MUS00124
TXN20250202000131,MSG00189
TXN20250209000132,MSG00165
TXN20250111000133,MJP00004
TXN20250211000134,MES00175
TXN20250331000135,MES00066
TXN20250307000136,MDE00146
TXN20250301000137,MUS00055
TXN20250227000138,MIN00180
TXN20250323000139,MUS00057
TXN20250214000140,MHK00151
TXN20250306000141,MIN00003
TXN20250204000142,MGB00168
TXN20250112000143,MAE00170
TXN20250116000144,MES00107
TXN20250116000145,MCA00200
TXN20250119000146,MUS00086
TXN20250215000147,MDE00155
TXN20250315000148,MSG00173
TXN20250325000149,MFR00042
TXN20250227000150,MCA00156
TXN20250304000151,MAU00089
TXN20250112000152,MAU00186
TXN20250309000153,MJP00215
TXN20250330000154,MJP00121
TXN20250325000155,MSG00165
TXN20250214000156,MAU00105
TXN20250312000157,MUS00124
TXN20250121000158,MGB00027
TXN20250120000159,MJP00049
TXN20250208000160,MDE00071
TXN20250111000161,MIN00021
TXN20250320000162,MUS00040
TXN20250304000163,MGB00141
TXN20250226000164,MNL00161
TXN20250122000165,MJP00162
TXN20250222000166,MES00175
TXN20250118000167,MAU00075
TXN20250227000168,MAE00073
TXN20250117000169,MUS00031
TXN20250107000170,MUS00040
TXN20250129000171,MIN00113
TXN20250304000172,MUS00116
TXN20250323000173,MES00025
TXN20250113000174,MNL00078
TXN20250212000175,MJP00215
TXN20250104000176,MCA00014
TXN20250221000177,MUS00116
TXN20250213000178,MAU00220
TXN20250204000179,MHK00091
TXN20250215000180,MGB00069
TXN20250106000181,MFR00042
TXN20250213000182,MUS00047
TXN20250228000183,MGB00043
TXN20250110000184,MAU00149
TXN20250212000185,MUS00207
TXN20250114000186,MCA00156
TXN20250311000187,MUS00047
TXN20250125000188,MAE00073
TXN20250206000189,MAE00208
TXN20250326000190,MUS00135
TXN20250213000191,MAU00024
TXN20250111000192,MIN00211
TXN20250315000193,MNL00013
TXN20250118000194,MNL00167
TXN20250225000195,MUS00040
TXN20250311000196,MFR00042
TXN20250310000197,MAE00208
TXN20250216000198,MUS00031
TXN20250209000199,MNL00078
TXN20250125000200,MGB00219
TXN20250317000201,MIN00178
TXN20250131000202,MHK00010
TXN20250214000203,MCA00096
TXN20250114000204,MDE00048
TXN20250130000205,MES00066
TXN20250115000206,MIN00022
TXN20250219000207,MUS00139
TXN20250308000208,MDE00155
TXN20250129000209,MJP00158
TXN20250102000210,MGB00001
TXN20250314000211,MES00217
TXN20250124000212,MDE00052
TXN20250103000213,MDE00048
TXN20250115000214,MJP00026
TXN20250316000215,MCA00156
TXN20250304000216,MES00041
TXN20250213000217,MAU00005
TXN20250213000218,MIN00037
TXN20250127000219,MNL00109
TXN20250112000220,MDE00181
TXN20250221000221,MJP00162
TXN20250125000222,MUS00018
TXN20250302000223,MES00025
TXN20250104000224,MJP00097
TXN20250302000225,MCA00196
TXN20250222000226,MHK00091
TXN20250324000227,MGB00168
TXN20250325000228,MUS00164
TXN20250311000229,MIN00178
TXN20250105000230,MJP00002
TXN20250226000231,MAE00205
TXN20250128000232,MHK00010
TXN20250305000233,MGB00027
TXN20250102000234,MGB00160
TXN20250215000235,MGB00065
TXN20250204000236,MAE00035
TXN20250228000237,MIN00115
TXN20250329000238,MES00217
TXN20250223000239,MSG00070
TXN20250109000240,MHK00195
TXN20250306000241,MNL00030
TXN20250323000242,MCA00209
TXN20250304000243,MFR00148
TXN20250212000244,MIN00029
TXN20250204000245,MIN00029
TXN20250315000246,MAE00020
TXN20250129000247,MNL00013
TXN20250329000248,MJP00133
TXN20250116000249,MCA00068
TXN20250210000250,MCA00014
TXN20250206000251,MDE00111
TXN20250221000252,MFR00072
TXN20250303000253,MHK00159
TXN20250304000254,MDE00136
TXN20250312000255,MAE00126
TXN20250207000256,MIN00211
TXN20250106000257,MCA00209
TXN20250326000258,MUS00198
TXN20250121000259,MIN00184
TXN20250314000260,MES00092
TXN20250206000261,MHK00151
TXN20250106000262,MCA00143
TXN20250331000263,MGB00043
TXN20250104000264,MES00025
TXN20250115000265,MCA00143
TXN20250302000266,MJP00204
TXN20250101000267,MFR00177
TXN20250208000268,MJP00028
TXN20250209000269,MJP00049
TXN20250213000270,MUS00047
TXN20250301000271,MUS00135
TXN20250225000272,MCA00102
TXN20250211000273,MAU00060
TXN20250218000274,MDE00074
TXN20250111000275,MUS00153
TXN20250224000276,MDE00114
TXN20250303000277,MIN00211
TXN20250224000278,MGB00141
TXN20250223000279,MGB00106
TXN20250130000280,MUS00129
TXN20250129000281,MIN00113
TXN20250106000282,MGB00163
TXN20250217000283,MJP00123
TXN20250220000284,MES00100
TXN20250326000285,MFR00015
TXN20250113000286,MUS00130
TXN20250121000287,MUS00198
TXN20250330000288,MJP00123
TXN20250218000289,MNL00167
TXN20250122000290,MUS00135
TXN20250211000291,MIN00128
TXN20250123000292,MES00066
TXN20250203000293,MDE00181
TXN20250329000294,MHK00195
TXN20250316000295,MUS00055
TXN20250201000296,MAE00126
TXN20250221000297,MGB00069
TXN20250211000298,MCA00194
TXN20250215000299,MES00038
TXN20250107000300,MCA00147
TXN20250205000301,MGB00046
TXN20250318000302,MJP00088
TXN20250220000303,MJP00158
TXN20250328000304,MAE00127
TXN20250124000305,MJP00004
TXN20250324000306,MSG00189
TXN20250202000307,MAU00024
TXN20250104000308,MNL00030
TXN20250226000309,MCA00143
TXN20250316000310,MAU00056
TXN20250331000311,MJP00049
TXN20250308000312,MIN00180
TXN20250211000313,MNL00161
TXN20250220000314,MJP00157
TXN20250317000315,MAE00020
TXN20250116000316,MGB00188
TXN20250306000317,MCA00093
TXN20250217000318,MUS00135
TXN20250127000319,MUS00059
TXN20250214000320,MES00038
TXN20250122000321,MES00100
TXN20250110000322,MJP00121
TXN20250116000323,MNL00109
TXN20250212000324,MUS00213
TXN20250123000325,MNL00078
TXN20250222000326,MUS00171
TXN20250116000327,MAU00220
TXN20250116000328,MJP00133
TXN20250320000329,MCA00044
TXN20250109000330,MIN00021
TXN20250327000331,MNL00161
TXN20250111000332,MES00092
TXN20250221000333,MIN00131
TXN20250320000334,MJP00157
TXN20250102000335,MDE00071
TXN20250223000336,MSG00061
TXN20250204000337,MES00067
TXN20250328000338,MDE00185
TXN20250111000339,MAU00084
TXN20250226000340,MUS00117
TXN20250105000341,MJP00137
TXN20250324000342,MJP00154
TXN20250320000343,MAE00170
TXN20250209000344,MUS00059
TXN20250222000345,MNL00030
TXN20250126000346,MGB00064
TXN20250112000347,MHK00195
TXN20250321000348,MDE00146
TXN20250322000349,MGB00191
TXN20250129000350,MIN00029
TXN20250210000351,MES00217
TXN20250227000352,MIN00011
TXN20250320000353,MUS00150
TXN20250327000354,MES00087
TXN20250226000355,MJP00104
TXN20250225000356,MUS00034
TXN20250324000357,MGB00163
TXN20250306000358,MJP00108
TXN20250113000359,MIN00180
TXN20250304000360,MJP00108
TXN20250129000361,MDE00155
TXN20250112000362,MDE00052
TXN20250102000363,MUS00018
TXN20250305000364,MNL00167
TXN20250119000365,MFR00182
TXN20250130000366,MFR00182
TXN20250213000367,MJP00004
TXN20250120000368,MCA00096
TXN20250111000369,MFR00122
TXN20250124000370,MIN00138
TXN20250212000371,MGB00174
TXN20250102000372,MFR00042
TXN20250312000373,MUS00139
TXN20250330000374,MUS00124
TXN20250315000375,MGB00069
TXN20250206000376,MES00025
TXN20250211000377,MCA00200
TXN20250312000378,MES00067
TXN20250303000379,MGB00145
TXN20250115000380,MCA00063
TXN20250330000381,MGB00046
TXN20250217000382,MUS00213
TXN20250111000383,MIN00138
TXN20250302000384,MCA00093
TXN20250330000385,MUS00216
TXN20250215000386,MIN00037
TXN20250109000387,MAU00089
TXN20250130000388,MUS00057
TXN20250317000389,MUS00079
TXN20250106000390,MGB00094
TXN20250107000391,MCA00081
TXN20250326000392,MFR00122
TXN20250331000393,MUS00207
TXN20250111000394,MIN00131
TXN20250117000395,MJP00123
TXN20250103000396,MGB00163
TXN20250126000397,MJP00214
TXN20250327000398,MGB00191
TXN20250105000399,MNL00167
TXN20250121000400,MES00217
TXN20250319000401,MIN00211
TXN20250330000402,MUS00116
TXN20250126000403,MJP00036
TXN20250214000404,MNL00161
TXN20250311000405,MFR00201
TXN20250222000406,MGB00001
TXN20250220000407,MSG00165
TXN20250124000408,MAU00172
TXN20250213000409,MAU00085
TXN20250227000410,MUS00153
TXN20250319000411,MES00067
TXN20250322000412,MIN00118
TXN20250329000413,MGB00145
TXN20250313000414,MGB00043
TXN20250324000415,MUS00153
TXN20250130000416,MGB00191
TXN20250202000417,MGB00027
TXN20250101000418,MGB00106
TXN20250303000419,MUS00179
TXN20250127000420,MJP00214
TXN20250216000421,MJP00215
TXN20250308000422,MCA00093
TXN20250302000423,MIN00187
TXN20250324000424,MES00041
TXN20250111000425,MCA00102
TXN20250113000426,MUS00164
TXN20250113000427,MSG00140
TXN20250208000428,MES00107
TXN20250103000429,MCA00147
TXN20250326000430,MCA00014
TXN20250308000431,MUS00086
TXN20250224000432,MFR00015
TXN20250116000433,MDE00185
TXN20250130000434,MAU00085
TXN20250220000435,MGB00001
TXN20250108000436,MAE00208
TXN20250331000437,MUS00129
TXN20250123000438,MFR00072
TXN20250204000439,MNL00030
TXN20250217000440,MUS00124
TXN20250302000441,MES00038
TXN20250223000442,MJP00088
TXN20250209000443,MGB00219
TXN20250115000444,MGB00054
TXN20250101000445,MJP00214
TXN20250112000446,MGB00160
TXN20250225000447,MDE00111
TXN20250116000448,MFR00212
TXN20250308000449,MES00062
TXN20250111000450,MUS00164
TXN20250111000451,MJP00214
TXN20250330000452,MDE00155
TXN20250324000453,MES00100
TXN20250204000454,MHK00159
TXN20250130000455,MIN00138
TXN20250119000456,MIN00118
TXN20250108000457,MES00038
TXN20250314000458,MJP00088
TXN20250128000459,MAE00035
TXN20250206000460,MGB00183
TXN20250127000461,MCA00099
TXN20250102000462,MGB00183
TXN20250325000463,MIN00180
TXN20250302000464,MUS00164
TXN20250128000465,MDE00114
TXN20250306000466,MGB00188
TXN20250301000467,MDE00136
TXN20250313000468,MUS00055
TXN20250204000469,MAE00127
TXN20250124000470,MNL00039
TXN20250330000471,MFR00201
TXN20250109000472,MNL00161
TXN20250324000473,MCA00093
TXN20250205000474,MAU00084
TXN20250312000475,MIN00128
TXN20250130000476,MJP00214
TXN20250103000477,MES00107
TXN20250208000478,MUS00164
TXN20250119000479,MJP00123
TXN20250216000480,MCA00194
TXN20250331000481,MSG00165
TXN20250201000482,MGB00174
TXN20250129000483,MCA00016
TXN20250120000484,MCA00196
TXN20250321000485,MUS00040
TXN20250119000486,MJP00097
TXN20250207000487,MGB00069
TXN20250302000488,MUS00018
TXN20250111000489,MGB00191
TXN20250203000490,MAE00020
TXN20250117000491,MIN00029
TXN20250222000492,MGB00168
TXN20250218000493,MGB00160
TXN20250208000494,MUS00213
TXN20250314000495,MCA00147
TXN20250202000496,MES00062
TXN20250330000497,MDE00111
TXN20250226000498,MGB00191
TXN20250313000499,MNL00218
TXN20250210000500,MGB00094
TXN20250312000501,MUS00059
TXN20250203000502,MJP00049
TXN20250305000503,MES00175
TXN20250116000504,MES00025
TXN20250220000505,MAE00205
TXN20250130000506,MDE00134
TXN20250125000507,MAU00095
TXN20250316000508,MGB00188
TXN20250310000509,MAU00186
TXN20250321000510,MUS00059
TXN20250304000511,MUS00079
TXN20250320000512,MCA00156
TXN20250323000513,MIN00152
TXN20250215000514,MJP00032
TXN20250214000515,MGB00174
TXN20250131000516,MIN00011
TXN20250105000517,MIN00029
TXN20250315000518,MJP00121
TXN20250123000519,MUS00139
TXN20250226000520,MNL00161
TXN20250311000521,MJP00002
TXN20250201000522,MCA00194
TXN20250127000523,MJP00006
TXN20250123000524,MJP00006
TXN20250201000525,MDE00071
TXN20250222000526,MFR00008
TXN20250303000527,MNL00030
TXN20250215000528,MAU00105
TXN20250105000529,MIN00017
TXN20250324000530,MGB00065
TXN20250114000531,MNL00039
TXN20250326000532,MNL00161
TXN20250316000533,MES00092
TXN20250117000534,MES00107
TXN20250219000535,MJP00032
TXN20250316000536,MCA00196
TXN20250126000537,MGB00132
TXN20250313000538,MJP00032
TXN20250209000539,MDE00048
TXN20250324000540,MDE00134
TXN20250225000541,MAE00073
TXN20250212000542,MDE00074
TXN20250330000543,MUS00150
TXN20250306000544,MIN00022
TXN20250330000545,MES00107
TXN20250329000546,MDE00181
TXN20250213000547,MCA00209
TXN20250215000548,MNL00051
TXN20250213000549,MDE00185
TXN20250212000550,MFR00042
TXN20250107000551,MDE00136
TXN20250129000552,MDE00114
TXN20250207000553,MJP00036
TXN20250215000554,MNL00030
TXN20250225000555,MUS00018
TXN20250310000556,MDE00185
TXN20250314000557,MAE00208
TXN20250210000558,MFR00072
TXN20250207000559,MJP00123
TXN20250323000560,MFR00042
TXN20250102000561,MSG00173
TXN20250321000562,MJP00097
TXN20250210000563,MDE00071
TXN20250131000564,MES00041
TXN20250123000565,MIN00180
TXN20250204000566,MNL00030
TXN20250223000567,MCA00063
TXN20250306000568,MFR00201
TXN20250118000569,MDE00197
TXN20250327000570,MJP00133
TXN20250209000571,MUS00116
TXN20250121000572,MAU00085
TXN20250227000573,MUS00166
TXN20250104000574,MAU00186
TXN20250115000575,MNL00030
TXN20250309000576,MAU00105
TXN20250110000577,MGB00106
TXN20250127000578,MGB00065
TXN20250124000579,MUS00130
TXN20250123000580,MDE00071
TXN20250109000581,MSG00070
TXN20250212000582,MFR00201
TXN20250109000583,MUS00216
TXN20250216000584,MDE00181
TXN20250210000585,MCA00194
TXN20250116000586,MCA00063
TXN20250309000587,MJP00104
TXN20250106000588,MJP00133
TXN20250226000589,MJP00120
TXN20250209000590,MGB00145
TXN20250202000591,MGB00106
TXN20250314000592,MJP00157
TXN20250107000593,MJP00007
TXN20250131000594,MFR00201
TXN20250201000595,MUS00116
TXN20250104000596,MJP00049
TXN20250131000597,MUS00150
TXN20250328000598,MIN00131
TXN20250114000599,MIN00152
TXN20250203000600,MUS00190
TXN20250311000601,MUS00135
TXN20250207000602,MES00025
TXN20250316000603,MCA00194
TXN20250312000604,MFR00177
TXN20250215000605,MGB00145
TXN20250208000606,MIN00210
TXN20250125000607,MGB00183
TXN20250204000608,MFR00015
TXN20250210000609,MFR00042
TXN20250226000610,MNL00030
TXN20250209000611,MHK00091
TXN20250123000612,MNL00051
TXN20250308000613,MCA00016
TXN20250306000614,MSG00083
TXN20250312000615,MUS00166
TXN20250112000616,MJP00049
TXN20250203000617,MNL00169
TXN20250323000618,MJP00204
TXN20250117000619,MUS00077
TXN20250327000620,MIN00203
TXN20250314000621,MAU00024
TXN20250107000622,MJP00157
TXN20250313000623,MCA00096
TXN20250321000624,MFR00122
TXN20250315000625,MAE00073
TXN20250117000626,MHK00053
TXN20250216000627,MES00092
TXN20250123000628,MFR00015
TXN20250108000629,MDE00071
TXN20250223000630,MAU00075
TXN20250320000631,MES00058
TXN20250126000632,MCA00143
TXN20250327000633,MCA00200
TXN20250110000634,MES00175
TXN20250124000635,MCA00102
TXN20250314000636,MDE00114
TXN20250210000637,MJP00002
TXN20250120000638,MJP00088
TXN20250205000639,MCA00044
TXN20250215000640,MAE00073
TXN20250127000641,MAU00024
TXN20250330000642,MIN00193
TXN20250113000643,MGB00168
TXN20250315000644,MUS00213
TXN20250312000645,MDE00136
TXN20250309000646,MNL00051
TXN20250311000647,MDE00136
TXN20250106000648,MUS00153
TXN20250130000649,MIN00180
TXN20250216000650,MAU00056
TXN20250317000651,MHK00195
TXN20250106000652,MNL00013
TXN20250213000653,MUS00139
TXN20250317000654,MJP00120
TXN20250212000655,MAU00119
TXN20250210000656,MES00038
TXN20250119000657,MUS00129
TXN20250318000658,MDE00136
TXN20250131000659,MUS00059
TXN20250210000660,MGB00094
TXN20250207000661,MNL00109
TXN20250111000662,MUS00207
TXN20250220000663,MCA00099
TXN20250124000664,MJP00028
TXN20250331000665,MES00058
TXN20250324000666,MHK00053
TXN20250119000667,MUS00164
TXN20250317000668,MJP00214
TXN20250331000669,MUS00018
TXN20250214000670,MAU00119
TXN20250306000671,MIN00203
TXN20250202000672,MES00062
TXN20250203000673,MDE00155
TXN20250312000674,MDE00048
TXN20250107000675,MES00107
TXN20250226000676,MSG00189
TXN20250116000677,MJP00120
TXN20250327000678,MCA00016
TXN20250326000679,MUS00077
TXN20250108000680,MES00066
TXN20250228000681,MJP00112
TXN20250212000682,MCA00099
TXN20250127000683,MGB00054
TXN20250308000684,MAU00206
TXN20250320000685,MFR00201
TXN20250322000686,MNL00078
TXN20250126000687,MGB00163
TXN20250206000688,MJP00026
TXN20250327000689,MAE00076
TXN20250105000690,MCA00156
TXN20250102000691,MES00025
TXN20250224000692,MFR00182
TXN20250101000693,MNL00051
TXN20250106000694,MDE00136
TXN20250320000695,MGB00183
TXN20250301000696,MES00092
TXN20250114000697,MES00107
TXN20250214000698,MJP00144
TXN20250220000699,MGB00168
TXN20250214000700,MGB00094
TXN20250126000701,MJP00157
TXN20250109000702,MAU00186
TXN20250102000703,MDE00155
TXN20250121000704,MUS00012
TXN20250321000705,MAE00073
TXN20250107000706,MUS00179
TXN20250309000707,MGB00191
TXN20250226000708,MNL00030
TXN20250228000709,MFR00042
TXN20250203000710,MUS00059
TXN20250323000711,MIN00203
TXN20250202000712,MAE00020
TXN20250105000713,MES00092
TXN20250304000714,MUS00190
TXN20250205000715,MAU00075
TXN20250115000716,MUS00055
TXN20250109000717,MAU00095
TXN20250211000718,MCA00068
TXN20250215000719,MJP00120
TXN20250213000720,MUS00012
TXN20250226000721,MFR00042
TXN20250322000722,MJP00097
TXN20250220000723,MGB00188
TXN20250318000724,MIN00037
TXN20250124000725,MGB00191
TXN20250313000726,MJP00108
TXN20250216000727,MUS00031
TXN20250107000728,MDE00134
TXN20250108000729,MIN00178
TXN20250331000730,MUS00171
TXN20250228000731,MFR00212
TXN20250314000732,MCA00016
TXN20250329000733,MAU00024
TXN20250321000734,MGB00199
TXN20250330000735,MDE00074
TXN20250106000736,MCA00014
TXN20250317000737,MHK00010
TXN20250225000738,MUS00179
TXN20250210000739,MFR00122
TXN20250111000740,MAU00172
TXN20250222000741,MDE00197
TXN20250318000742,MGB00168
TXN20250218000743,MGB00219
TXN20250226000744,MGB00199
TXN20250215000745,MDE00155
TXN20250110000746,MUS00012
TXN20250101000747,MGB00160
TXN20250325000748,MIN00022
TXN20250127000749,MAU00186
TXN20250308000750,MGB00199
TXN20250116000751,MCA00209
TXN20250325000752,MDE00052
TXN20250330000753,MCA00019
TXN20250221000754,MIN00138
TXN20250125000755,MCA00101
TXN20250301000756,MES00058
TXN20250104000757,MIN00193
TXN20250316000758,MAE00020
TXN20250331000759,MFR00042
TXN20250325000760,MCA00102
TXN20250206000761,MIN00009
TXN20250124000762,MJP00112
TXN20250224000763,MGB00191
TXN20250314000764,MUS00034
TXN20250205000765,MIN00009
TXN20250211000766,MGB00183
TXN20250215000767,MUS00164
TXN20250130000768,MDE00074
TXN20250127000769,MAU00084
TXN20250126000770,MSG00176
TXN20250224000771,MUS00190
TXN20250131000772,MUS00116
TXN20250317000773,MAE00127
TXN20250116000774,MGB00064
TXN20250208000775,MIN00138
TXN20250306000776,MAE00073
TXN20250306000777,MSG00140
TXN20250312000778,MUS00057
TXN20250209000779,MCA00080
TXN20250106000780,MNL00039
TXN20250218000781,MDE00052
TXN20250124000782,MIN00017
TXN20250128000783,MGB00188
TXN20250214000784,MUS00079
TXN20250329000785,MFR00182
TXN20250116000786,MDE00197
TXN20250206000787,MDE00048
TXN20250131000788,MGB00027
TXN20250119000789,MCA00102
TXN20250228000790,MIN00184
TXN20250324000791,MIN00082
TXN20250225000792,MIN00211
TXN20250331000793,MJP00007
TXN20250102000794,MGB00163
TXN20250327000795,MAU00060
TXN20250215000796,MSG00083
TXN20250119000797,MSG00176
TXN20250104000798,MFR00148
TXN20250317000799,MUS00142
TXN20250314000800,MUS00213
TXN20250330000801,MAU00206
TXN20250216000802,MGB00094
TXN20250301000803,MES00062
TXN20250302000804,MCA00101
TXN20250224000805,MUS00059
TXN20250119000806,MCA00147
TXN20250305000807,MFR00015
TXN20250118000808,MDE00197
TXN20250312000809,MJP00215
TXN20250211000810,MJP00049
TXN20250314000811,MIN00115
TXN20250109000812,MSG00033
TXN20250208000813,MCA00147
TXN20250320000814,MGB00183
TXN20250218000815,MUS00079
TXN20250102000816,MGB00064
TXN20250205000817,MUS00034
TXN20250130000818,MNL00167
TXN20250115000819,MAU00206
TXN20250127000820,MUS00190
TXN20250121000821,MIN00021
TXN20250223000822,MUS00012
TXN20250314000823,MUS00171
TXN20250218000824,MIN00003
TXN20250210000825,MAU00206
TXN20250217000826,MCA00099
TXN20250223000827,MCA00099
TXN20250309000828,MGB00001
TXN20250223000829,MUS00124
TXN20250203000830,MCA00156
TXN20250221000831,MJP00088
TXN20250217000832,MUS00153
TXN20250308000833,MIN00128
TXN20250330000834,MAE00090
TXN20250104000835,MAE00126
TXN20250130000836,MGB00183
TXN20250111000837,MDE00052
TXN20250315000838,MGB00163
TXN20250117000839,MGB00046
TXN20250112000840,MUS00207
TXN20250114000841,MNL00078
TXN20250324000842,MIN00184
TXN20250203000843,MDE00111
TXN20250128000844,MJP00045
TXN20250217000845,MGB00174
TXN20250216000846,MAU00172
TXN20250316000847,MCA00209
TXN20250123000848,MIN00003
TXN20250226000849,MGB00168
TXN20250307000850,MIN00118
TXN20250208000851,MAU00186
TXN20250106000852,MAU00186
TXN20250323000853,MUS00117
TXN20250124000854,MIN00021
TXN20250221000855,MAE00126
TXN20250221000856,MCA00102
TXN20250215000857,MHK00010
TXN20250219000858,MGB00106
TXN20250228000859,MUS00135
TXN20250303000860,MDE00074
TXN20250213000861,MGB00163
TXN20250320000862,MJP00204
TXN20250308000863,MJP00137
TXN20250315000864,MCA00093
TXN20250122000865,MIN00103
TXN20250130000866,MAE00076
TXN20250324000867,MJP00002
TXN20250112000868,MGB00001
TXN20250317000869,MCA00093
TXN20250327000870,MES00087
TXN20250202000871,MFR00177
TXN20250316000872,MGB00043
TXN20250325000873,MNL00078
TXN20250309000874,MUS00139
TXN20250201000875,MGB00145
TXN20250121000876,MNL00078
TXN20250221000877,MCA00194
TXN20250211000878,MDE00048
TXN20250328000879,MGB00174
TXN20250222000880,MGB00094
TXN20250221000881,MGB00069
TXN20250131000882,MJP00045
TXN20250203000883,MUS00117
TXN20250126000884,MUS00179
TXN20250204000885,MUS00077
TXN20250106000886,MSG00083
TXN20250321000887,MIN00082
TXN20250305000888,MAE00020
TXN20250203000889,MJP00158
TXN20250111000890,MGB00160
TXN20250115000891,MCA00143
TXN20250320000892,MES00175
TXN20250118000893,MES00092
TXN20250323000894,MUS00213
TXN20250313000895,MGB00046
TXN20250304000896,MFR00042
TXN20250120000897,MHK00151
TXN20250129000898,MAE00035
TXN20250128000899,MJP00137
TXN20250204000900,MCA00156
TXN20250326000901,MUS00207
TXN20250123000902,MJP00049
TXN20250322000903,MGB00188
TXN20250217000904,MAU00056
TXN20250325000905,MUS00207
TXN20250102000906,MDE00134
TXN20250106000907,MDE00134
TXN20250224000908,MFR00201
TXN20250116000909,MUS00079
TXN20250227000910,MHK00091
TXN20250326000911,MSG00070
TXN20250128000912,MFR00212
TXN20250104000913,MSG00165
TXN20250109000914,MDE00134
TXN20250107000915,MUS00166
TXN20250324000916,MNL00030
TXN20250121000917,MES00041
TXN20250110000918,MCA00044
TXN20250206000919,MUS00130
TXN20250323000920,MIN00203
TXN20250202000921,MNL00013
TXN20250202000922,MGB00064
TXN20250104000923,MCA00196
TXN20250120000924,MDE00185
TXN20250318000925,MAU00098
TXN20250116000926,MJP00026
TXN20250320000927,MCA00096
TXN20250122000928,MGB00065
TXN20250121000929,MUS00171
TXN20250305000930,MFR00212
TXN20250131000931,MUS00040
TXN20250101000932,MCA00016
TXN20250330000933,MNL00167
TXN20250128000934,MGB00069
TXN20250314000935,MIN00011
