userid,transaction_count,total_spend,preferred_currency_code,dominant_region,dominant_card_type,favorite_category_text,dominant_time_of_day,dominant_day_type,spend_profile,top_risk_tags,user_text_summary
U000032,8,9842.43,EUR,EMEA,credit card,consumer electronics,late-night,weekday,high-value,"late-night activity, high-value, very high-value","User U000032 shows a high-value spending profile across 8 transactions totaling 9842.43 EUR. The user most often transacts in EMEA with credit card payments, favors consumer electronics, and is most active during late-night weekday periods. Common patterns include late-night activity, high-value, very high-value."
U000033,3,1291.13,CAD,NA,credit card,financial services,evening,weekday,mid-value,"everyday consumer spend, high-value, cash-like financial services","User U000033 shows a mid-value spending profile across 3 transactions totaling 1291.13 CAD. The user most often transacts in NA with credit card payments, favors financial services, and is most active during evening weekday periods. Common patterns include everyday consumer spend, high-value, cash-like financial services."
U000034,10,4053.79,EUR,EMEA,credit card,fashion retail,morning,weekday,mid-value,"weekend spend, high-value, late-night activity","User U000034 shows a mid-value spending profile across 10 transactions totaling 4053.79 EUR. The user most often transacts in EMEA with credit card payments, favors fashion retail, and is most active during morning weekday periods. Common patterns include weekend spend, high-value, late-night activity."
U000035,8,14005.98,GBP,EMEA,credit card,education services,morning,weekday,high-value,"weekend spend, very high-value, everyday consumer spend","User U000035 shows a high-value spending profile across 8 transactions totaling 14005.98 GBP. The user most often transacts in EMEA with credit card payments, favors education services, and is most active during morning weekday periods. Common patterns include weekend spend, very high-value, everyday consumer spend."
U000036,7,4505.86,USD,EMEA,credit card,restaurant dining,late-night,weekday,high-value,"high-value, everyday consumer spend, premium electronics","User U000036 shows a high-value spending profile across 7 transactions totaling 4505.86 USD. The user most often transacts in EMEA with credit card payments, favors restaurant dining, and is most active during late-night weekday periods. Common patterns include high-value, everyday consumer spend, premium electronics."
U000037,3,1518.95,INR,APAC,credit card,lodging and hospitality,evening,weekday,high-value,"travel-related, high-value, premium electronics","User U000037 shows a high-value spending profile across 3 transactions totaling 1518.95 INR. The user most often transacts in APAC with credit card payments, favors lodging and hospitality, and is most active during evening weekday periods. Common patterns include travel-related, high-value, premium electronics."
U000038,6,345.51,GBP,APAC,debit card,quick service dining,morning,weekday,small-ticket,"everyday consumer spend, weekend spend, late-night activity","User U000038 shows a small-ticket spending profile across 6 transactions totaling 345.51 GBP. The user most often transacts in APAC with debit card payments, favors quick service dining, and is most active during morning weekday periods. Common patterns include everyday consumer spend, weekend spend, late-night activity."
U000039,10,8976.28,EUR,EMEA,credit card,quick service dining,late-night,weekday,high-value,"weekend spend, late-night activity, everyday consumer spend","User U000039 shows a high-value spending profile across 10 transactions totaling 8976.28 EUR. The user most often transacts in EMEA with credit card payments, favors quick service dining, and is most active during late-night weekday periods. Common patterns include weekend spend, late-night activity, everyday consumer spend."
U000040,5,609.77,EUR,EMEA,debit card,ride-hailing and local transport,morning,weekday,mid-value,"weekend spend, everyday consumer spend, late-night activity","User U000040 shows a mid-value spending profile across 5 transactions totaling 609.77 EUR. The user most often transacts in EMEA with debit card payments, favors ride-hailing and local transport, and is most active during morning weekday periods. Common patterns include weekend spend, everyday consumer spend, late-night activity."
U000041,5,5556.33,EUR,APAC,credit card,education services,morning,weekend,high-value,"weekend spend, high-value, travel-related","User U000041 shows a high-value spending profile across 5 transactions totaling 5556.33 EUR. The user most often transacts in APAC with credit card payments, favors education services, and is most active during morning weekend periods. Common patterns include weekend spend, high-value, travel-related."
U000042,7,6404.53,GBP,EMEA,credit card,fashion retail,late-night,weekday,high-value,"high-value, late-night activity, weekend spend","User U000042 shows a high-value spending profile across 7 transactions totaling 6404.53 GBP. The user most often transacts in EMEA with credit card payments, favors fashion retail, and is most active during late-night weekday periods. Common patterns include high-value, late-night activity, weekend spend."
U000043,3,1922.85,CAD,NA,credit card,education services,evening,weekday,high-value,"everyday consumer spend, high-value","User U000043 shows a high-value spending profile across 3 transactions totaling 1922.85 CAD. The user most often transacts in NA with credit card payments, favors education services, and is most active during evening weekday periods. Common patterns include everyday consumer spend, high-value."
U000044,6,1570.59,EUR,APAC,debit card,digital subscription services,late-night,weekday,mid-value,"late-night activity, everyday consumer spend, weekend spend","User U000044 shows a mid-value spending profile across 6 transactions totaling 1570.59 EUR. The user most often transacts in APAC with debit card payments, favors digital subscription services, and is most active during late-night weekday periods. Common patterns include late-night activity, everyday consumer spend, weekend spend."
U000045,4,886.67,USD,NA,credit card,digital subscription services,afternoon,weekday,mid-value,"digital recurring, everyday consumer spend, high-value","User U000045 shows a mid-value spending profile across 4 transactions totaling 886.67 USD. The user most often transacts in NA with credit card payments, favors digital subscription services, and is most active during afternoon weekday periods. Common patterns include digital recurring, everyday consumer spend, high-value."
U000046,7,5924.11,EUR,APAC,credit card,quick service dining,morning,weekday,high-value,"everyday consumer spend, late-night activity, weekend spend","User U000046 shows a high-value spending profile across 7 transactions totaling 5924.11 EUR. The user most often transacts in APAC with credit card payments, favors quick service dining, and is most active during morning weekday periods. Common patterns include everyday consumer spend, late-night activity, weekend spend."
U000047,6,4555.11,GBP,EMEA,credit card,fashion retail,morning,weekday,high-value,"high-value, weekend spend, digital recurring","User U000047 shows a high-value spending profile across 6 transactions totaling 4555.11 GBP. The user most often transacts in EMEA with credit card payments, favors fashion retail, and is most active during morning weekday periods. Common patterns include high-value, weekend spend, digital recurring."
U000048,5,1201.3,INR,APAC,credit card,fuel and convenience,late-night,weekday,mid-value,"weekend spend, everyday consumer spend, high-value","User U000048 shows a mid-value spending profile across 5 transactions totaling 1201.3 INR. The user most often transacts in APAC with credit card payments, favors fuel and convenience, and is most active during late-night weekday periods. Common patterns include weekend spend, everyday consumer spend, high-value."
U000049,6,4719.19,GBP,APAC,credit card,fashion retail,evening,weekday,high-value,"everyday consumer spend, high-value, very high-value","User U000049 shows a high-value spending profile across 6 transactions totaling 4719.19 GBP. The user most often transacts in APAC with credit card payments, favors fashion retail, and is most active during evening weekday periods. Common patterns include everyday consumer spend, high-value, very high-value."
U000050,11,9584.72,EUR,EMEA,credit card,quick service dining,afternoon,weekday,high-value,"everyday consumer spend, high-value, premium electronics","User U000050 shows a high-value spending profile across 11 transactions totaling 9584.72 EUR. The user most often transacts in EMEA with credit card payments, favors quick service dining, and is most active during afternoon weekday periods. Common patterns include everyday consumer spend, high-value, premium electronics."
U000051,5,3258.85,INR,APAC,credit card,consumer electronics,afternoon,weekday,high-value,"high-value, everyday consumer spend, travel-related","User U000051 shows a high-value spending profile across 5 transactions totaling 3258.85 INR. The user most often transacts in APAC with credit card payments, favors consumer electronics, and is most active during afternoon weekday periods. Common patterns include high-value, everyday consumer spend, travel-related."
U000052,7,6539.43,EUR,EMEA,credit card,quick service dining,morning,weekday,high-value,"everyday consumer spend, very high-value, late-night activity","User U000052 shows a high-value spending profile across 7 transactions totaling 6539.43 EUR. The user most often transacts in EMEA with credit card payments, favors quick service dining, and is most active during morning weekday periods. Common patterns include everyday consumer spend, very high-value, late-night activity."
U000053,8,6971.16,GBP,EMEA,debit card,pharmacy and wellness,morning,weekend,high-value,"weekend spend, high-value, prepaid instrument","User U000053 shows a high-value spending profile across 8 transactions totaling 6971.16 GBP. The user most often transacts in EMEA with debit card payments, favors pharmacy and wellness, and is most active during morning weekend periods. Common patterns include weekend spend, high-value, prepaid instrument."
U000054,4,1803.78,CAD,NA,debit card,digital subscription services,evening,weekday,mid-value,"digital recurring, everyday consumer spend, high-value","User U000054 shows a mid-value spending profile across 4 transactions totaling 1803.78 CAD. The user most often transacts in NA with debit card payments, favors digital subscription services, and is most active during evening weekday periods. Common patterns include digital recurring, everyday consumer spend, high-value."
U000055,3,3031.35,AUD,APAC,credit card,ride-hailing and local transport,afternoon,weekend,high-value,"weekend spend, very high-value, cash-like financial services","User U000055 shows a high-value spending profile across 3 transactions totaling 3031.35 AUD. The user most often transacts in APAC with credit card payments, favors ride-hailing and local transport, and is most active during afternoon weekend periods. Common patterns include weekend spend, very high-value, cash-like financial services."
U000056,5,4875.47,EUR,EMEA,credit card,consumer electronics,morning,weekday,high-value,"high-value, premium electronics, weekend spend","User U000056 shows a high-value spending profile across 5 transactions totaling 4875.47 EUR. The user most often transacts in EMEA with credit card payments, favors consumer electronics, and is most active during morning weekday periods. Common patterns include high-value, premium electronics, weekend spend."
U000057,5,949.76,GBP,APAC,debit card,grocery retail,late-night,weekday,mid-value,"weekend spend, everyday consumer spend, late-night activity","User U000057 shows a mid-value spending profile across 5 transactions totaling 949.76 GBP. The user most often transacts in APAC with debit card payments, favors grocery retail, and is most active during late-night weekday periods. Common patterns include weekend spend, everyday consumer spend, late-night activity."
U000058,3,2551.6,AED,APAC,credit card,fashion retail,morning,weekend,high-value,"high-value, weekend spend, travel-related","User U000058 shows a high-value spending profile across 3 transactions totaling 2551.6 AED. The user most often transacts in APAC with credit card payments, favors fashion retail, and is most active during morning weekend periods. Common patterns include high-value, weekend spend, travel-related."
U000059,7,1876.07,JPY,EMEA,prepaid card,pharmacy and wellness,late-night,weekday,mid-value,"prepaid instrument, late-night activity, everyday consumer spend","User U000059 shows a mid-value spending profile across 7 transactions totaling 1876.07 JPY. The user most often transacts in EMEA with prepaid card payments, favors pharmacy and wellness, and is most active during late-night weekday periods. Common patterns include prepaid instrument, late-night activity, everyday consumer spend."
U000060,12,9892.33,EUR,EMEA,credit card,fuel and convenience,late-night,weekday,high-value,"weekend spend, late-night activity, high-value","User U000060 shows a high-value spending profile across 12 transactions totaling 9892.33 EUR. The user most often transacts in EMEA with credit card payments, favors fuel and convenience, and is most active during late-night weekday periods. Common patterns include weekend spend, late-night activity, high-value."
U000061,3,498.3,JPY,APAC,debit card,healthcare services,late-night,weekday,mid-value,"late-night activity, weekend spend","User U000061 shows a mid-value spending profile across 3 transactions totaling 498.3 JPY. The user most often transacts in APAC with debit card payments, favors healthcare services, and is most active during late-night weekday periods. Common patterns include late-night activity, weekend spend."
U000062,7,10491.6,EUR,APAC,credit card,education services,late-night,weekday,high-value,"late-night activity, very high-value, weekend spend","User U000062 shows a high-value spending profile across 7 transactions totaling 10491.6 EUR. The user most often transacts in APAC with credit card payments, favors education services, and is most active during late-night weekday periods. Common patterns include late-night activity, very high-value, weekend spend."
U000063,7,5410.58,EUR,EMEA,credit card,air travel,afternoon,weekday,high-value,"high-value, weekend spend, travel-related","User U000063 shows a high-value spending profile across 7 transactions totaling 5410.58 EUR. The user most often transacts in EMEA with credit card payments, favors air travel, and is most active during afternoon weekday periods. Common patterns include high-value, weekend spend, travel-related."
U000064,7,6715.23,EUR,EMEA,credit card,consumer electronics,late-night,weekday,high-value,"weekend spend, high-value, premium electronics","User U000064 shows a high-value spending profile across 7 transactions totaling 6715.23 EUR. The user most often transacts in EMEA with credit card payments, favors consumer electronics, and is most active during late-night weekday periods. Common patterns include weekend spend, high-value, premium electronics."
U000065,4,800.6,EUR,EMEA,debit card,fashion retail,evening,weekend,mid-value,"weekend spend, late-night activity, digital recurring","User U000065 shows a mid-value spending profile across 4 transactions totaling 800.6 EUR. The user most often transacts in EMEA with debit card payments, favors fashion retail, and is most active during evening weekend periods. Common patterns include weekend spend, late-night activity, digital recurring."
U000066,5,4823.13,GBP,EMEA,credit card,consumer electronics,morning,weekday,high-value,"everyday consumer spend, late-night activity, high-value","User U000066 shows a high-value spending profile across 5 transactions totaling 4823.13 GBP. The user most often transacts in EMEA with credit card payments, favors consumer electronics, and is most active during morning weekday periods. Common patterns include everyday consumer spend, late-night activity, high-value."
U000067,2,3562.9,EUR,EMEA,credit card,consumer electronics,morning,weekday,high-value,"high-value, premium electronics, cash-like financial services","User U000067 shows a high-value spending profile across 2 transactions totaling 3562.9 EUR. The user most often transacts in EMEA with credit card payments, favors consumer electronics, and is most active during morning weekday periods. Common patterns include high-value, premium electronics, cash-like financial services."
U000068,6,9399.61,USD,NA,debit card,ride-hailing and local transport,late-night,weekend,high-value,"weekend spend, late-night activity, high-value","User U000068 shows a high-value spending profile across 6 transactions totaling 9399.61 USD. The user most often transacts in NA with debit card payments, favors ride-hailing and local transport, and is most active during late-night weekend periods. Common patterns include weekend spend, late-night activity, high-value."
U000069,3,303.54,AUD,APAC,debit card,restaurant dining,morning,weekday,mid-value,"everyday consumer spend, late-night activity","User U000069 shows a mid-value spending profile across 3 transactions totaling 303.54 AUD. The user most often transacts in APAC with debit card payments, favors restaurant dining, and is most active during morning weekday periods. Common patterns include everyday consumer spend, late-night activity."
U000070,10,10045.77,INR,APAC,credit card,air travel,late-night,weekday,high-value,"high-value, late-night activity, prepaid instrument","User U000070 shows a high-value spending profile across 10 transactions totaling 10045.77 INR. The user most often transacts in APAC with credit card payments, favors air travel, and is most active during late-night weekday periods. Common patterns include high-value, late-night activity, prepaid instrument."
U000071,11,8780.96,JPY,APAC,credit card,ride-hailing and local transport,late-night,weekday,high-value,"late-night activity, prepaid instrument, high-value","User U000071 shows a high-value spending profile across 11 transactions totaling 8780.96 JPY. The user most often transacts in APAC with credit card payments, favors ride-hailing and local transport, and is most active during late-night weekday periods. Common patterns include late-night activity, prepaid instrument, high-value."
U000072,5,3803.12,USD,NA,credit card,financial services,late-night,weekday,high-value,"late-night activity, everyday consumer spend, very high-value","User U000072 shows a high-value spending profile across 5 transactions totaling 3803.12 USD. The user most often transacts in NA with credit card payments, favors financial services, and is most active during late-night weekday periods. Common patterns include late-night activity, everyday consumer spend, very high-value."
U000073,10,5424.11,GBP,EMEA,credit card,grocery retail,late-night,weekday,high-value,"late-night activity, everyday consumer spend, cash-like financial services","User U000073 shows a high-value spending profile across 10 transactions totaling 5424.11 GBP. The user most often transacts in EMEA with credit card payments, favors grocery retail, and is most active during late-night weekday periods. Common patterns include late-night activity, everyday consumer spend, cash-like financial services."
U000074,2,40.8,HKD,APAC,credit card,quick service dining,morning,weekday,small-ticket,everyday consumer spend,"User U000074 shows a small-ticket spending profile across 2 transactions totaling 40.8 HKD. The user most often transacts in APAC with credit card payments, favors quick service dining, and is most active during morning weekday periods. Common patterns include everyday consumer spend."
U000075,6,2741.63,GBP,EMEA,debit card,consumer electronics,late-night,weekday,mid-value,"everyday consumer spend, late-night activity, high-value","User U000075 shows a mid-value spending profile across 6 transactions totaling 2741.63 GBP. The user most often transacts in EMEA with debit card payments, favors consumer electronics, and is most active during late-night weekday periods. Common patterns include everyday consumer spend, late-night activity, high-value."
U000076,6,4735.9,EUR,EMEA,credit card,consumer electronics,late-night,weekend,high-value,"high-value, late-night activity, weekend spend","User U000076 shows a high-value spending profile across 6 transactions totaling 4735.9 EUR. The user most often transacts in EMEA with credit card payments, favors consumer electronics, and is most active during late-night weekend periods. Common patterns include high-value, late-night activity, weekend spend."
U000077,6,475.3,CAD,APAC,credit card,fuel and convenience,morning,weekday,small-ticket,"everyday consumer spend, prepaid instrument, weekend spend","User U000077 shows a small-ticket spending profile across 6 transactions totaling 475.3 CAD. The user most often transacts in APAC with credit card payments, favors fuel and convenience, and is most active during morning weekday periods. Common patterns include everyday consumer spend, prepaid instrument, weekend spend."
U000078,12,9123.18,USD,APAC,credit card,digital subscription services,late-night,weekday,high-value,"weekend spend, late-night activity, travel-related","User U000078 shows a high-value spending profile across 12 transactions totaling 9123.18 USD. The user most often transacts in APAC with credit card payments, favors digital subscription services, and is most active during late-night weekday periods. Common patterns include weekend spend, late-night activity, travel-related."
U000079,4,2998.49,EUR,APAC,credit card,fashion retail,morning,weekday,high-value,"high-value, everyday consumer spend, digital recurring","User U000079 shows a high-value spending profile across 4 transactions totaling 2998.49 EUR. The user most often transacts in APAC with credit card payments, favors fashion retail, and is most active during morning weekday periods. Common patterns include high-value, everyday consumer spend, digital recurring."
U000080,1,833.0,INR,APAC,credit card,lodging and hospitality,evening,weekend,high-value,"high-value, travel-related, weekend spend","User U000080 shows a high-value spending profile across 1 transactions totaling 833.0 INR. The user most often transacts in APAC with credit card payments, favors lodging and hospitality, and is most active during evening weekend periods. Common patterns include high-value, travel-related, weekend spend."
U000081,5,1633.32,AED,APAC,prepaid card,grocery retail,afternoon,weekday,mid-value,"prepaid instrument, everyday consumer spend, digital recurring","User U000081 shows a mid-value spending profile across 5 transactions totaling 1633.32 AED. The user most often transacts in APAC with prepaid card payments, favors grocery retail, and is most active during afternoon weekday periods. Common patterns include prepaid instrument, everyday consumer spend, digital recurring."
U000082,4,4431.48,USD,APAC,credit card,general retail,morning,weekday,high-value,"weekend spend, everyday consumer spend, digital recurring","User U000082 shows a high-value spending profile across 4 transactions totaling 4431.48 USD. The user most often transacts in APAC with credit card payments, favors general retail, and is most active during morning weekday periods. Common patterns include weekend spend, everyday consumer spend, digital recurring."
U000083,2,3216.78,INR,APAC,debit card,consumer electronics,late-night,weekday,high-value,"high-value, premium electronics, late-night activity","User U000083 shows a high-value spending profile across 2 transactions totaling 3216.78 INR. The user most often transacts in APAC with debit card payments, favors consumer electronics, and is most active during late-night weekday periods. Common patterns include high-value, premium electronics, late-night activity."
U000084,2,10205.84,CAD,NA,credit card,education services,afternoon,weekday,very high-value,"very high-value, cash-like financial services","User U000084 shows a very high-value spending profile across 2 transactions totaling 10205.84 CAD. The user most often transacts in NA with credit card payments, favors education services, and is most active during afternoon weekday periods. Common patterns include very high-value, cash-like financial services."
U000085,5,1137.45,EUR,EMEA,credit card,pharmacy and wellness,afternoon,weekday,mid-value,"everyday consumer spend, late-night activity, prepaid instrument","User U000085 shows a mid-value spending profile across 5 transactions totaling 1137.45 EUR. The user most often transacts in EMEA with credit card payments, favors pharmacy and wellness, and is most active during afternoon weekday periods. Common patterns include everyday consumer spend, late-night activity, prepaid instrument."
U000086,5,2445.3,AED,APAC,credit card,general retail,afternoon,weekday,mid-value,"everyday consumer spend, weekend spend, travel-related","User U000086 shows a mid-value spending profile across 5 transactions totaling 2445.3 AED. The user most often transacts in APAC with credit card payments, favors general retail, and is most active during afternoon weekday periods. Common patterns include everyday consumer spend, weekend spend, travel-related."
