tran_sequence_number,Transaction_Amount,userid,transaction_time,transaction_date,transaction_currency_code,merchant_name,merchant_city,merchant_id,card_type,latitude,longitude,merchant_category_code,merchant_country_code,merchant_country,merchant_region_code,ICA_code,issr_id,acquirer_id,transaction_narration
TXN20250106000022,592.11,U000705,12:56:33,2025-01-06,CAD,FinServe Online Vancouver 209,Vancouver,MCA00209,CREDIT,49.252348,-123.092856,6012,CA,Canada,NA,100209,ISSR_CA_110,ACQ_NA_403,Fund transfer / payment: FinServe Online Vancouver · Vancouver · CA$592.11 · 6 Jan 2025.
TXN20250117000023,339.45,U000086,11:26:17,2025-01-17,AED,MarketSquare Dubai 076,Dubai,MAE00076,CREDIT,25.185671,55.293946,5311,AE,United Arab Emirates,MEA,100076,ISSR_AE_266,ACQ_MEA_602,"Retail purchase at MarketSquare Dubai, Dubai — AED339.45 via tap-to-pay on 17 Jan 2025."
TXN20250316000024,1115.0,U000222,23:15:00,2025-03-16,INR,SkyJet Travel Bengaluru 017,Bengaluru,MIN00017,CREDIT,12.985035,77.619497,4511,IN,India,APAC,100017,ISSR_IN_302,ACQ_APAC_702,"Airline ticket: SkyJet Travel Bengaluru · INR1,115 · 16 Mar 2025 · Booking ref B94874."
TXN20250225000025,24.37,U000515,04:34:38,2025-02-25,EUR,QuickBite Paris 072,Paris,MFR00072,PREPAID,48.834722,2.365438,5814,FR,France,EMEA,100072,ISSR_FR_126,ACQ_EMEA_502,€24.37 food & beverage charge at QuickBite Paris (Paris) on 25 Feb 2025.
TXN20250120000026,204,U000023,02:26:49,2025-01-20,JPY,UrbanTable Tokyo 157,Tokyo,MJP00157,CREDIT,35.65778,139.629391,5812,JP,Japan,APAC,100157,ISSR_JP_174,ACQ_APAC_701,Restaurant bill: UrbanTable Tokyo · Tokyo · ¥204 · 20 Jan 2025.
TXN20250127000027,842.25,U000032,10:56:25,2025-01-27,AUD,CloudStay Melbourne 206,Melbourne,MAU00206,CREDIT,-37.840897,144.968975,7011,AU,Australia,APAC,100206,ISSR_AU_276,ACQ_APAC_701,Accommodation: CloudStay Melbourne · Melbourne · A$842.25 · 27 Jan 2025.
TXN20250225000028,15.94,U000354,13:44:19,2025-02-25,CAD,PharmaDirect Vancouver 143,Vancouver,MCA00143,CREDIT,49.294883,-123.102144,5912,CA,Canada,NA,100143,ISSR_CA_214,ACQ_NA_403,"Pharmacy purchase at PharmaDirect Vancouver, Vancouver — CA$15.94 on 25 Feb 2025."
TXN20250327000029,2199.0,U000421,03:42:27,2025-03-27,INR,SkyJet Travel Bengaluru 017,Bengaluru,MIN00017,CREDIT,12.953986,77.624963,4511,IN,India,APAC,100017,ISSR_IN_302,ACQ_APAC_702,"Flight booking at SkyJet Travel Bengaluru (Bengaluru) — INR2,199 charged on 27 Mar 2025. PNR: 8CGVYI."
TXN20250306000030,11.78,U000451,20:50:47,2025-03-06,EUR,QuickBite Berlin 111,Berlin,MDE00111,PREPAID,52.48865,13.397968,5814,DE,Germany,EMEA,100111,ISSR_DE_132,ACQ_EMEA_502,€11.78 food & beverage charge at QuickBite Berlin (Berlin) on 6 Mar 2025.
TXN20250303000031,66.0,U000012,11:29:13,2025-03-03,INR,MetroFuel Bengaluru 082,Bengaluru,MIN00082,CREDIT,12.997586,77.579999,5541,IN,India,APAC,100082,ISSR_IN_302,ACQ_APAC_701,INR66 Credit payment at MetroFuel Bengaluru (Bengaluru) fuel station.
TXN20250319000032,80.2,U000522,12:48:08,2025-03-19,GBP,FreshMart Manchester 163,Manchester,MGB00163,CREDIT,53.49085,-2.224453,5411,GB,United Kingdom,EMEA,100163,ISSR_GB_224,ACQ_EMEA_502,"Grocery purchase at FreshMart Manchester, Manchester — £80.20 via contactless on 19 Mar 2025."
TXN20250223000033,915.18,U000591,09:29:52,2025-02-23,USD,CloudStay San Francisco 130,San Francisco,MUS00130,CREDIT,37.764045,-122.418931,7011,US,United States,NA,100130,ISSR_US_101,ACQ_NA_401,"Hotel charge at CloudStay San Francisco, San Francisco — $915.18 on 23 Feb 2025. Confirmation: 5NF4ZW9."
TXN20250204000034,62.83,U000243,03:25:36,2025-02-04,EUR,MetroFuel Berlin 074,Berlin,MDE00074,CREDIT,52.497968,13.366788,5541,DE,Germany,EMEA,100074,ISSR_DE_238,ACQ_EMEA_502,"Fuel & convenience purchase at MetroFuel Berlin, Berlin — €62.83 on 4 Feb 2025. Ref: YT7D5J."
TXN20250112000035,124.0,U000441,16:50:39,2025-01-12,EUR,UrbanTable Paris 122,Paris,MFR00122,PREPAID,48.838262,2.318871,5812,FR,France,EMEA,100122,ISSR_FR_229,ACQ_EMEA_502,€124 food & beverage charge at UrbanTable Paris (Paris) on 12 Jan 2025.
TXN20250126000036,1649.68,U000051,16:00:21,2025-01-26,GBP,ElectroHub London 145,London,MGB00145,DEBIT,51.518682,-0.162078,5732,GB,United Kingdom,EMEA,100145,ISSR_GB_224,ACQ_EMEA_502,"£1,649.68 Debit payment at ElectroHub London electronics store, London."
TXN20250117000037,728.72,U000835,03:01:51,2025-01-17,EUR,Luxura Retail Madrid 087,Madrid,MES00087,DEBIT,40.388939,-3.686293,5651,ES,Spain,EMEA,100087,ISSR_ES_145,ACQ_EMEA_503,Retail clothing: Luxura Retail Madrid · Madrid · €728.72 · 17 Jan 2025. Ref: 0TPAC5.
TXN20250124000038,909.24,U000696,21:51:48,2025-01-24,GBP,Luxura Retail Manchester 094,Manchester,MGB00094,CREDIT,53.478848,-2.226099,5651,GB,United Kingdom,EMEA,100094,ISSR_GB_118,ACQ_EMEA_501,"Fashion & apparel purchase at Luxura Retail Manchester, Manchester — £909.24 via swipe on 24 Jan 2025."
TXN20250226000039,2670.0,U000232,02:07:57,2025-02-26,INR,FinServe Online Mumbai 115,Mumbai,MIN00115,CREDIT,19.077452,72.867746,6012,IN,India,APAC,100115,ISSR_IN_302,ACQ_APAC_702,"Fund transfer / payment: FinServe Online Mumbai · Mumbai · INR2,670 · 26 Feb 2025."
TXN20250330000040,5620.8,U000452,19:27:57,2025-03-30,EUR,EduPrime Paris 015,Paris,MFR00015,CREDIT,48.839699,2.321344,8220,FR,France,EMEA,100015,ISSR_FR_126,ACQ_EMEA_502,"Tuition/course fee: EduPrime Paris · Paris · €5,620.80 · 30 Mar 2025."
TXN20250304000041,2988.06,U000010,00:32:40,2025-03-04,EUR,FinServe Online Amsterdam 051,Amsterdam,MNL00051,DEBIT,52.340478,4.917676,6012,NL,Netherlands,EMEA,100051,ISSR_NL_149,ACQ_EMEA_502,"Fund transfer / payment: FinServe Online Amsterdam · Amsterdam · €2,988.06 · 4 Mar 2025."
TXN20250130000042,14.13,U000420,00:26:34,2025-01-30,HKD,QuickBite Hong Kong 053,Hong Kong,MHK00053,CREDIT,22.315282,114.162487,5814,HK,Hong Kong,APAC,100053,ISSR_HK_181,ACQ_APAC_703,"Food & drink purchase at QuickBite Hong Kong, Hong Kong — HKD14.13 — 30 Jan 2025. Ref: AGL58K."
TXN20250314000043,171.12,U000476,12:18:41,2025-03-14,GBP,FreshMart Manchester 163,Manchester,MGB00163,CREDIT,53.486299,-2.276402,5411,GB,United Kingdom,EMEA,100163,ISSR_GB_224,ACQ_EMEA_502,Supermarket spend: FreshMart Manchester · Manchester · £171.12 · 14 Mar 2025 · Swipe.
TXN20250202000044,91.3,U000452,01:25:40,2025-02-02,EUR,PharmaDirect Berlin 134,Berlin,MDE00134,CREDIT,52.548581,13.426223,5912,DE,Germany,EMEA,100134,ISSR_DE_132,ACQ_EMEA_502,"€91.30 Credit payment at PharmaDirect Berlin pharmacy, Berlin."
TXN20250212000045,10.37,U000162,07:11:06,2025-02-12,GBP,QuickBite Manchester 064,Manchester,MGB00064,CREDIT,53.492483,-2.220376,5814,GB,United Kingdom,EMEA,100064,ISSR_GB_224,ACQ_EMEA_501,"Dining at QuickBite Manchester, Manchester — £10.37 via tap-to-pay on 12 Feb 2025."
TXN20250223000046,1601.93,U000785,19:56:40,2025-02-23,USD,ElectroHub New York 086,New York,MUS00086,DEBIT,40.742144,-73.991684,5732,US,United States,NA,100086,ISSR_US_319,ACQ_NA_402,"$1,601.93 Debit payment at ElectroHub New York electronics store, New York."
TXN20250210000047,93.0,U000185,23:48:24,2025-02-10,INR,MetroFuel Bengaluru 082,Bengaluru,MIN00082,PREPAID,12.974231,77.630389,5541,IN,India,APAC,100082,ISSR_IN_302,ACQ_APAC_701,INR93 Prepaid payment at MetroFuel Bengaluru (Bengaluru) fuel station.
TXN20250320000048,24.05,U000392,01:57:00,2025-03-20,AUD,RideNow Melbourne 098,Melbourne,MAU00098,CREDIT,-37.809787,144.947993,4121,AU,Australia,APAC,100098,ISSR_AU_163,ACQ_APAC_702,"Taxi/ride-hailing charge from RideNow Melbourne, Melbourne — A$24.05 — 20 Mar 2025."
TXN20250218000049,60.67,U000774,08:35:41,2025-02-18,USD,RideNow San Francisco 012,San Francisco,MUS00012,DEBIT,37.739747,-122.439952,4121,US,United States,NA,100012,ISSR_US_319,ACQ_NA_402,"$60.67 transport payment via RideNow San Francisco, San Francisco, on 18 Feb 2025."
TXN20250221000050,995.1,U000205,08:27:24,2025-02-21,EUR,ElectroHub Madrid 062,Madrid,MES00062,DEBIT,40.393094,-3.666452,5732,ES,Spain,EMEA,100062,ISSR_ES_145,ACQ_EMEA_503,"€995.10 Debit payment at ElectroHub Madrid electronics store, Madrid."
TXN20250331000051,1098.1,U000840,22:10:53,2025-03-31,AUD,Luxura Retail Melbourne 060,Melbourne,MAU00060,CREDIT,-37.827667,144.98708,5651,AU,Australia,APAC,100060,ISSR_AU_276,ACQ_APAC_703,"Retail clothing: Luxura Retail Melbourne · Melbourne · A$1,098.10 · 31 Mar 2025. Ref: 31YIHA."
TXN20250214000052,550.16,U000058,09:20:42,2025-02-14,AED,Luxura Retail Dubai 035,Dubai,MAE00035,CREDIT,25.192029,55.297983,5651,AE,United Arab Emirates,MEA,100035,ISSR_AE_152,ACQ_MEA_602,"In-store fashion purchase at Luxura Retail Dubai, Dubai — AED550.16 on 14 Feb 2025."
TXN20250307000053,1576,U000723,06:24:48,2025-03-07,JPY,CloudStay Tokyo 088,Tokyo,MJP00088,CREDIT,35.667065,139.620046,7011,JP,Japan,APAC,100088,ISSR_JP_174,ACQ_APAC_703,"¥1,576 charged by CloudStay Tokyo hotel, Tokyo, for stay on 7 Mar 2025."
TXN20250115000054,1177.94,U000580,01:52:13,2025-01-15,USD,ElectroHub Chicago 077,Chicago,MUS00077,CREDIT,41.858128,-87.626258,5732,US,United States,NA,100077,ISSR_US_205,ACQ_NA_403,"$1,177.94 Credit payment at ElectroHub Chicago electronics store, Chicago."
TXN20250324000055,136.25,U000776,07:23:38,2025-03-24,EUR,MetroFuel Amsterdam 078,Amsterdam,MNL00078,DEBIT,52.379831,4.869536,5541,NL,Netherlands,EMEA,100078,ISSR_NL_255,ACQ_EMEA_502,"Forecourt transaction at MetroFuel Amsterdam, Amsterdam — €136.25 — 24 Mar 2025."
TXN20250312000056,105.53,U000721,11:47:10,2025-03-12,EUR,FreshMart Berlin 071,Berlin,MDE00071,DEBIT,52.535221,13.410303,5411,DE,Germany,EMEA,100071,ISSR_DE_132,ACQ_EMEA_503,Supermarket spend: FreshMart Berlin · Berlin · €105.53 · 12 Mar 2025 · Chip & pin.
TXN20250116000057,1337.2,U000785,00:20:10,2025-01-16,USD,SkyJet Travel New York 179,New York,MUS00179,CREDIT,40.700342,-73.982178,4511,US,United States,NA,100179,ISSR_US_319,ACQ_NA_402,"Airline ticket: SkyJet Travel New York · $1,337.20 · 16 Jan 2025 · Booking ref PZIM6C."
TXN20250322000058,9.03,U000574,22:12:09,2025-03-22,CAD,QuickBite Toronto 093,Toronto,MCA00093,CREDIT,43.622147,-79.420407,5814,CA,Canada,NA,100093,ISSR_CA_214,ACQ_NA_401,"Dining at QuickBite Toronto, Toronto — CA$9.03 via chip & PIN on 22 Mar 2025."
TXN20250316000059,172.07,U000531,06:29:05,2025-03-16,EUR,Luxura Retail Madrid 092,Madrid,MES00092,CREDIT,40.403128,-3.714906,5651,ES,Spain,EMEA,100092,ISSR_ES_241,ACQ_EMEA_501,"In-store fashion purchase at Luxura Retail Madrid, Madrid — €172.07 on 16 Mar 2025."
TXN20250214000060,110.56,U000412,05:58:08,2025-02-14,HKD,Luxura Retail Hong Kong 010,Hong Kong,MHK00010,CREDIT,22.341188,114.148184,5651,HK,Hong Kong,APAC,100010,ISSR_HK_294,ACQ_APAC_703,Retail clothing: Luxura Retail Hong Kong · Hong Kong · HKD110.56 · 14 Feb 2025. Ref: AM148P.
TXN20250318000061,24.45,U000634,14:30:56,2025-03-18,EUR,RideNow Berlin 146,Berlin,MDE00146,DEBIT,52.516622,13.397339,4121,DE,Germany,EMEA,100146,ISSR_DE_238,ACQ_EMEA_501,"Taxi/ride-hailing charge from RideNow Berlin, Berlin — €24.45 — 18 Mar 2025."
TXN20250321000062,819.05,U000131,16:35:37,2025-03-21,AED,CloudStay Dubai 090,Dubai,MAE00090,CREDIT,25.201087,55.258226,7011,AE,United Arab Emirates,MEA,100090,ISSR_AE_152,ACQ_MEA_601,"Hotel charge at CloudStay Dubai, Dubai — AED819.05 on 21 Mar 2025. Confirmation: 479T6VX."
TXN20250314000063,78.84,U000691,21:35:06,2025-03-14,HKD,RideNow Hong Kong 151,Hong Kong,MHK00151,CREDIT,22.295774,114.159074,4121,HK,Hong Kong,APAC,100151,ISSR_HK_294,ACQ_APAC_703,"HKD78.84 transport payment via RideNow Hong Kong, Hong Kong, on 14 Mar 2025."
TXN20250320000064,63.15,U000684,12:20:28,2025-03-20,CAD,PharmaDirect Vancouver 068,Vancouver,MCA00068,PREPAID,49.306915,-123.083734,5912,CA,Canada,NA,100068,ISSR_CA_110,ACQ_NA_401,"CA$63.15 Prepaid payment at PharmaDirect Vancouver pharmacy, Vancouver."
TXN20250324000065,226,U000322,07:32:23,2025-03-24,JPY,MediCare Plus Tokyo 026,Tokyo,MJP00026,CREDIT,35.67189,139.622832,8099,JP,Japan,APAC,100026,ISSR_JP_287,ACQ_APAC_703,"Medical services at MediCare Plus Tokyo, Tokyo — ¥226 on 24 Mar 2025."
TXN20250325000066,850.46,U000134,06:43:37,2025-03-25,AUD,Luxura Retail Melbourne 085,Melbourne,MAU00085,PREPAID,-37.782034,144.982117,5651,AU,Australia,APAC,100085,ISSR_AU_163,ACQ_APAC_701,"Fashion & apparel purchase at Luxura Retail Melbourne, Melbourne — A$850.46 via online on 25 Mar 2025."
TXN20250130000067,155.86,U000170,09:48:02,2025-01-30,CAD,PharmaDirect Vancouver 143,Vancouver,MCA00143,CREDIT,49.322564,-123.115444,5912,CA,Canada,NA,100143,ISSR_CA_214,ACQ_NA_403,Wellness & pharmacy: PharmaDirect Vancouver · Vancouver · CA$155.86 · 30 Jan 2025.
TXN20250101000068,407.98,U000571,23:41:46,2025-01-01,EUR,Luxura Retail Berlin 181,Berlin,MDE00181,CREDIT,52.556216,13.368031,5651,DE,Germany,EMEA,100181,ISSR_DE_132,ACQ_EMEA_503,Retail clothing: Luxura Retail Berlin · Berlin · €407.98 · 1 Jan 2025. Ref: EYUHZ1.
TXN20250218000069,38,U000205,17:22:25,2025-02-18,JPY,QuickBite Tokyo 121,Tokyo,MJP00121,CREDIT,35.654729,139.643801,5814,JP,Japan,APAC,100121,ISSR_JP_174,ACQ_APAC_703,"Dining at QuickBite Tokyo, Tokyo — ¥38 via swipe on 18 Feb 2025."
TXN20250204000070,1076.03,U000627,07:37:29,2025-02-04,USD,ElectroHub Chicago 077,Chicago,MUS00077,CREDIT,41.884504,-87.660297,5732,US,United States,NA,100077,ISSR_US_205,ACQ_NA_403,"$1,076.03 Credit payment at ElectroHub Chicago electronics store, Chicago."
TXN20250321000071,85.9,U000190,20:56:16,2025-03-21,GBP,FreshMart Manchester 069,Manchester,MGB00069,CREDIT,53.495997,-2.20651,5411,GB,United Kingdom,EMEA,100069,ISSR_GB_118,ACQ_EMEA_503,"Grocery purchase at FreshMart Manchester, Manchester — £85.90 via swipe on 21 Mar 2025."
TXN20250322000072,269.72,U000091,10:15:35,2025-03-22,CAD,FinServe Online Vancouver 196,Vancouver,MCA00196,CREDIT,49.297995,-123.117147,6012,CA,Canada,NA,100196,ISSR_CA_110,ACQ_NA_403,"CA$269.72 cash-equivalent transaction via FinServe Online Vancouver, Vancouver, on 22 Mar 2025. Ref: 43D8W3ZP08."
TXN20250110000073,297.73,U000107,11:40:21,2025-01-10,USD,CloudStay San Francisco 047,San Francisco,MUS00047,CREDIT,37.812543,-122.390834,7011,US,United States,NA,100047,ISSR_US_205,ACQ_NA_403,Accommodation: CloudStay San Francisco · San Francisco · $297.73 · 10 Jan 2025.
TXN20250126000074,34.32,U000362,17:47:22,2025-01-26,USD,FreshMart San Francisco 139,San Francisco,MUS00139,CREDIT,37.736402,-122.390227,5411,US,United States,NA,100139,ISSR_US_205,ACQ_NA_402,In-store grocery payment to FreshMart San Francisco in San Francisco for $34.32 on 26 Jan 2025.
TXN20250121000075,47.0,U000179,16:04:55,2025-01-21,INR,RideNow Mumbai 187,Mumbai,MIN00187,PREPAID,19.08544,72.883702,4121,IN,India,APAC,100187,ISSR_IN_302,ACQ_APAC_701,Ride & transport: RideNow Mumbai (Mumbai) — INR47 on 21 Jan 2025.
TXN20250107000076,85.0,U000658,00:59:47,2025-01-07,INR,MetroFuel Bengaluru 082,Bengaluru,MIN00082,DEBIT,12.95502,77.573311,5541,IN,India,APAC,100082,ISSR_IN_302,ACQ_APAC_701,"Forecourt transaction at MetroFuel Bengaluru, Bengaluru — INR85 — 7 Jan 2025."
TXN20250217000077,225.54,U000170,05:54:51,2025-02-17,GBP,MarketSquare London 199,London,MGB00199,CREDIT,51.479535,-0.092039,5311,GB,United Kingdom,EMEA,100199,ISSR_GB_118,ACQ_EMEA_502,"£225.54 Credit payment at MarketSquare London, London."
TXN20250319000078,358.66,U000763,17:23:09,2025-03-19,USD,ElectroHub New York 086,New York,MUS00086,CREDIT,40.675927,-74.007136,5732,US,United States,NA,100086,ISSR_US_319,ACQ_NA_402,Consumer electronics: ElectroHub New York · New York · $358.66 · 19 Mar 2025. Ref: TM9TMQLI.
TXN20250131000079,5506.01,U000014,03:22:50,2025-01-31,CAD,EduPrime Toronto 101,Toronto,MCA00101,PREPAID,43.675281,-79.343205,8220,CA,Canada,NA,100101,ISSR_CA_110,ACQ_NA_402,"CA$5,506.01 charged by EduPrime Toronto (Toronto) for educational services on 31 Jan 2025."
TXN20250217000080,18.11,U000305,21:58:54,2025-02-17,HKD,RideNow Hong Kong 151,Hong Kong,MHK00151,PREPAID,22.305458,114.192931,4121,HK,Hong Kong,APAC,100151,ISSR_HK_294,ACQ_APAC_703,"Taxi/ride-hailing charge from RideNow Hong Kong, Hong Kong — HKD18.11 — 17 Feb 2025."
TXN20250214000081,8.8,U000054,18:40:24,2025-02-14,CAD,StreamSphere Vancouver 081,Vancouver,MCA00081,DEBIT,49.318984,-123.108799,4899,CA,Canada,NA,100081,ISSR_CA_214,ACQ_NA_403,CA$8.80 deducted for StreamSphere Vancouver digital subscription on 14 Feb 2025.
TXN20250130000082,124.9,U000656,13:53:23,2025-01-30,AUD,Luxura Retail Melbourne 056,Melbourne,MAU00056,CREDIT,-37.829743,144.947669,5651,AU,Australia,APAC,100056,ISSR_AU_276,ACQ_APAC_701,"In-store fashion purchase at Luxura Retail Melbourne, Melbourne — A$124.90 on 30 Jan 2025."
TXN20250214000083,17.8,U000474,10:36:37,2025-02-14,USD,FreshMart San Francisco 139,San Francisco,MUS00139,DEBIT,37.765012,-122.435806,5411,US,United States,NA,100139,ISSR_US_205,ACQ_NA_402,$17.80 charged to your Debit card at FreshMart San Francisco (San Francisco) on 14 Feb 2025. Ref: 3OCWBFUK.
TXN20250227000084,24,U000739,08:55:54,2025-02-27,JPY,QuickBite Tokyo 121,Tokyo,MJP00121,DEBIT,35.650363,139.659207,5814,JP,Japan,APAC,100121,ISSR_JP_174,ACQ_APAC_703,"Food & drink purchase at QuickBite Tokyo, Tokyo — ¥24 — 27 Feb 2025. Ref: UOVW1N."
TXN20250305000085,31.84,U000218,19:13:57,2025-03-05,USD,FreshMart Chicago 117,Chicago,MUS00117,PREPAID,41.898509,-87.6635,5411,US,United States,NA,100117,ISSR_US_319,ACQ_NA_401,$31.84 charged to your Prepaid card at FreshMart Chicago (Chicago) on 5 Mar 2025. Ref: 49KWV08H.
TXN20250227000086,128.22,U000016,13:02:06,2025-02-27,EUR,FreshMart Berlin 071,Berlin,MDE00071,PREPAID,52.501752,13.411746,5411,DE,Germany,EMEA,100071,ISSR_DE_132,ACQ_EMEA_503,€128.22 charged to your Prepaid card at FreshMart Berlin (Berlin) on 27 Feb 2025. Ref: XFGCAQVK.
