merchant_id,merchant_name,merchant_category_text,merchant_city,merchant_country_code,merchant_region_code,transaction_count,average_amount,preferred_currency_code,dominant_card_type,amount_profile,top_risk_tags,merchant_text_summary
MCA00063,CloudStay Toronto 063,lodging and hospitality,Toronto,CA,NA,27,889.14,CAD,credit card,high-value,"travel-related, high-value, weekend spend","CloudStay Toronto 063 is a lodging and hospitality merchant in Toronto, CA, within the NA region. Across 27 transactions, it shows high-value spend with an average transaction value of 889.14 CAD. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, weekend spend."
MCA00068,PharmaDirect Vancouver 068,pharmacy and wellness,Vancouver,CA,NA,20,100.2,CAD,debit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","PharmaDirect Vancouver 068 is a pharmacy and wellness merchant in Vancouver, CA, within the NA region. Across 20 transactions, it shows mid-value spend with an average transaction value of 100.2 CAD. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MCA00080,MarketSquare Vancouver 080,general retail,Vancouver,CA,NA,21,213.04,CAD,credit card,mid-value,"everyday consumer spend, late-night activity, weekend spend","MarketSquare Vancouver 080 is a general retail merchant in Vancouver, CA, within the NA region. Across 21 transactions, it shows mid-value spend with an average transaction value of 213.04 CAD. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MCA00081,StreamSphere Vancouver 081,digital subscription services,Vancouver,CA,NA,30,13.27,CAD,credit card,micro-ticket,"digital recurring, weekend spend, late-night activity","StreamSphere Vancouver 081 is a digital subscription services merchant in Vancouver, CA, within the NA region. Across 30 transactions, it shows micro-ticket spend with an average transaction value of 13.27 CAD. The merchant most often sees credit card usage and is commonly associated with digital recurring, weekend spend, late-night activity."
MCA00093,QuickBite Toronto 093,quick service dining,Toronto,CA,NA,32,22.58,CAD,debit card,small-ticket,"weekend spend, late-night activity, everyday consumer spend","QuickBite Toronto 093 is a quick service dining merchant in Toronto, CA, within the NA region. Across 32 transactions, it shows small-ticket spend with an average transaction value of 22.58 CAD. The merchant most often sees debit card usage and is commonly associated with weekend spend, late-night activity, everyday consumer spend."
MCA00096,FreshMart Toronto 096,grocery retail,Toronto,CA,NA,27,83.65,CAD,debit card,small-ticket,"everyday consumer spend, late-night activity, prepaid instrument","FreshMart Toronto 096 is a grocery retail merchant in Toronto, CA, within the NA region. Across 27 transactions, it shows small-ticket spend with an average transaction value of 83.65 CAD. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, late-night activity, prepaid instrument."
MCA00099,Luxura Retail Vancouver 099,fashion retail,Vancouver,CA,NA,26,836.67,CAD,credit card,high-value,"high-value, weekend spend, late-night activity","Luxura Retail Vancouver 099 is a fashion retail merchant in Vancouver, CA, within the NA region. Across 26 transactions, it shows high-value spend with an average transaction value of 836.67 CAD. The merchant most often sees credit card usage and is commonly associated with high-value, weekend spend, late-night activity."
MCA00101,EduPrime Toronto 101,education services,Toronto,CA,NA,26,4166.6,CAD,credit card,very high-value,"very high-value, weekend spend, late-night activity","EduPrime Toronto 101 is a education services merchant in Toronto, CA, within the NA region. Across 26 transactions, it shows very high-value spend with an average transaction value of 4166.6 CAD. The merchant most often sees credit card usage and is commonly associated with very high-value, weekend spend, late-night activity."
MCA00102,SkyJet Travel Vancouver 102,air travel,Vancouver,CA,NA,24,1200.43,CAD,credit card,high-value,"travel-related, high-value, weekend spend","SkyJet Travel Vancouver 102 is a air travel merchant in Vancouver, CA, within the NA region. Across 24 transactions, it shows high-value spend with an average transaction value of 1200.43 CAD. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, weekend spend."
MCA00110,SkyJet Travel Toronto 110,air travel,Toronto,CA,NA,22,1175.49,CAD,credit card,high-value,"travel-related, high-value, weekend spend","SkyJet Travel Toronto 110 is a air travel merchant in Toronto, CA, within the NA region. Across 22 transactions, it shows high-value spend with an average transaction value of 1175.49 CAD. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, weekend spend."
MCA00143,PharmaDirect Vancouver 143,pharmacy and wellness,Vancouver,CA,NA,25,112.82,CAD,credit card,mid-value,"everyday consumer spend, prepaid instrument, weekend spend","PharmaDirect Vancouver 143 is a pharmacy and wellness merchant in Vancouver, CA, within the NA region. Across 25 transactions, it shows mid-value spend with an average transaction value of 112.82 CAD. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, prepaid instrument, weekend spend."
MCA00147,CloudStay Toronto 147,lodging and hospitality,Toronto,CA,NA,16,840.72,CAD,credit card,high-value,"travel-related, high-value, weekend spend","CloudStay Toronto 147 is a lodging and hospitality merchant in Toronto, CA, within the NA region. Across 16 transactions, it shows high-value spend with an average transaction value of 840.72 CAD. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, weekend spend."
MCA00156,QuickBite Vancouver 156,quick service dining,Vancouver,CA,NA,48,22.45,CAD,debit card,small-ticket,"everyday consumer spend, late-night activity, weekend spend","QuickBite Vancouver 156 is a quick service dining merchant in Vancouver, CA, within the NA region. Across 48 transactions, it shows small-ticket spend with an average transaction value of 22.45 CAD. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MCA00194,EduPrime Vancouver 194,education services,Vancouver,CA,NA,33,3985.93,CAD,credit card,very high-value,"very high-value, late-night activity, weekend spend","EduPrime Vancouver 194 is a education services merchant in Vancouver, CA, within the NA region. Across 33 transactions, it shows very high-value spend with an average transaction value of 3985.93 CAD. The merchant most often sees credit card usage and is commonly associated with very high-value, late-night activity, weekend spend."
MCA00196,FinServe Online Vancouver 196,financial services,Vancouver,CA,NA,30,2501.77,CAD,credit card,very high-value,"cash-like financial services, very high-value, weekend spend","FinServe Online Vancouver 196 is a financial services merchant in Vancouver, CA, within the NA region. Across 30 transactions, it shows very high-value spend with an average transaction value of 2501.77 CAD. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, weekend spend."
MCA00200,EduPrime Vancouver 200,education services,Vancouver,CA,NA,24,3401.42,CAD,credit card,very high-value,"very high-value, weekend spend, late-night activity","EduPrime Vancouver 200 is a education services merchant in Vancouver, CA, within the NA region. Across 24 transactions, it shows very high-value spend with an average transaction value of 3401.42 CAD. The merchant most often sees credit card usage and is commonly associated with very high-value, weekend spend, late-night activity."
MCA00209,FinServe Online Vancouver 209,financial services,Vancouver,CA,NA,21,2940.51,CAD,credit card,very high-value,"cash-like financial services, very high-value, weekend spend","FinServe Online Vancouver 209 is a financial services merchant in Vancouver, CA, within the NA region. Across 21 transactions, it shows very high-value spend with an average transaction value of 2940.51 CAD. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, weekend spend."
MDE00048,ElectroHub Berlin 048,consumer electronics,Berlin,DE,EMEA,26,1096.54,EUR,credit card,high-value,"premium electronics, high-value, weekend spend","ElectroHub Berlin 048 is a consumer electronics merchant in Berlin, DE, within the EMEA region. Across 26 transactions, it shows high-value spend with an average transaction value of 1096.54 EUR. The merchant most often sees credit card usage and is commonly associated with premium electronics, high-value, weekend spend."
MDE00052,StreamSphere Berlin 052,digital subscription services,Berlin,DE,EMEA,29,13.61,EUR,credit card,micro-ticket,"digital recurring, late-night activity, prepaid instrument","StreamSphere Berlin 052 is a digital subscription services merchant in Berlin, DE, within the EMEA region. Across 29 transactions, it shows micro-ticket spend with an average transaction value of 13.61 EUR. The merchant most often sees credit card usage and is commonly associated with digital recurring, late-night activity, prepaid instrument."
MDE00071,FreshMart Berlin 071,grocery retail,Berlin,DE,EMEA,33,94.5,EUR,debit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","FreshMart Berlin 071 is a grocery retail merchant in Berlin, DE, within the EMEA region. Across 33 transactions, it shows small-ticket spend with an average transaction value of 94.5 EUR. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MDE00074,MetroFuel Berlin 074,fuel and convenience,Berlin,DE,EMEA,30,99.28,EUR,credit card,small-ticket,"everyday consumer spend, late-night activity, weekend spend","MetroFuel Berlin 074 is a fuel and convenience merchant in Berlin, DE, within the EMEA region. Across 30 transactions, it shows small-ticket spend with an average transaction value of 99.28 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MDE00111,QuickBite Berlin 111,quick service dining,Berlin,DE,EMEA,27,22.64,EUR,debit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","QuickBite Berlin 111 is a quick service dining merchant in Berlin, DE, within the EMEA region. Across 27 transactions, it shows small-ticket spend with an average transaction value of 22.64 EUR. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MDE00114,MarketSquare Berlin 114,general retail,Berlin,DE,EMEA,28,209.47,EUR,credit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","MarketSquare Berlin 114 is a general retail merchant in Berlin, DE, within the EMEA region. Across 28 transactions, it shows mid-value spend with an average transaction value of 209.47 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MDE00134,PharmaDirect Berlin 134,pharmacy and wellness,Berlin,DE,EMEA,36,108.07,EUR,credit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","PharmaDirect Berlin 134 is a pharmacy and wellness merchant in Berlin, DE, within the EMEA region. Across 36 transactions, it shows mid-value spend with an average transaction value of 108.07 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MDE00136,Luxura Retail Berlin 136,fashion retail,Berlin,DE,EMEA,28,694.11,EUR,credit card,high-value,"high-value, weekend spend, late-night activity","Luxura Retail Berlin 136 is a fashion retail merchant in Berlin, DE, within the EMEA region. Across 28 transactions, it shows high-value spend with an average transaction value of 694.11 EUR. The merchant most often sees credit card usage and is commonly associated with high-value, weekend spend, late-night activity."
MDE00146,RideNow Berlin 146,ride-hailing and local transport,Berlin,DE,EMEA,20,44.75,EUR,prepaid card,small-ticket,"prepaid instrument, everyday consumer spend, late-night activity","RideNow Berlin 146 is a ride-hailing and local transport merchant in Berlin, DE, within the EMEA region. Across 20 transactions, it shows small-ticket spend with an average transaction value of 44.75 EUR. The merchant most often sees prepaid card usage and is commonly associated with prepaid instrument, everyday consumer spend, late-night activity."
MDE00155,MetroFuel Berlin 155,fuel and convenience,Berlin,DE,EMEA,25,92.53,EUR,credit card,small-ticket,"weekend spend, everyday consumer spend, late-night activity","MetroFuel Berlin 155 is a fuel and convenience merchant in Berlin, DE, within the EMEA region. Across 25 transactions, it shows small-ticket spend with an average transaction value of 92.53 EUR. The merchant most often sees credit card usage and is commonly associated with weekend spend, everyday consumer spend, late-night activity."
MDE00181,Luxura Retail Berlin 181,fashion retail,Berlin,DE,EMEA,31,740.23,EUR,credit card,high-value,"high-value, weekend spend, late-night activity","Luxura Retail Berlin 181 is a fashion retail merchant in Berlin, DE, within the EMEA region. Across 31 transactions, it shows high-value spend with an average transaction value of 740.23 EUR. The merchant most often sees credit card usage and is commonly associated with high-value, weekend spend, late-night activity."
MDE00185,FinServe Online Berlin 185,financial services,Berlin,DE,EMEA,39,2708.25,EUR,credit card,very high-value,"cash-like financial services, very high-value, late-night activity","FinServe Online Berlin 185 is a financial services merchant in Berlin, DE, within the EMEA region. Across 39 transactions, it shows very high-value spend with an average transaction value of 2708.25 EUR. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, late-night activity."
MDE00197,StreamSphere Berlin 197,digital subscription services,Berlin,DE,EMEA,37,14.07,EUR,credit card,micro-ticket,"digital recurring, weekend spend, late-night activity","StreamSphere Berlin 197 is a digital subscription services merchant in Berlin, DE, within the EMEA region. Across 37 transactions, it shows micro-ticket spend with an average transaction value of 14.07 EUR. The merchant most often sees credit card usage and is commonly associated with digital recurring, weekend spend, late-night activity."
MES00025,FinServe Online Madrid 025,financial services,Madrid,ES,EMEA,31,2407.91,EUR,credit card,very high-value,"cash-like financial services, very high-value, high-value","FinServe Online Madrid 025 is a financial services merchant in Madrid, ES, within the EMEA region. Across 31 transactions, it shows very high-value spend with an average transaction value of 2407.91 EUR. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, high-value."
MES00038,FreshMart Madrid 038,grocery retail,Madrid,ES,EMEA,23,81.63,EUR,debit card,small-ticket,"weekend spend, everyday consumer spend, late-night activity","FreshMart Madrid 038 is a grocery retail merchant in Madrid, ES, within the EMEA region. Across 23 transactions, it shows small-ticket spend with an average transaction value of 81.63 EUR. The merchant most often sees debit card usage and is commonly associated with weekend spend, everyday consumer spend, late-night activity."
MES00041,MarketSquare Madrid 041,general retail,Madrid,ES,EMEA,22,205.71,EUR,credit card,mid-value,"everyday consumer spend, weekend spend, prepaid instrument","MarketSquare Madrid 041 is a general retail merchant in Madrid, ES, within the EMEA region. Across 22 transactions, it shows mid-value spend with an average transaction value of 205.71 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, prepaid instrument."
MES00058,PharmaDirect Madrid 058,pharmacy and wellness,Madrid,ES,EMEA,24,84.53,EUR,credit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","PharmaDirect Madrid 058 is a pharmacy and wellness merchant in Madrid, ES, within the EMEA region. Across 24 transactions, it shows small-ticket spend with an average transaction value of 84.53 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MES00062,ElectroHub Madrid 062,consumer electronics,Madrid,ES,EMEA,31,1064.35,EUR,credit card,high-value,"premium electronics, high-value, weekend spend","ElectroHub Madrid 062 is a consumer electronics merchant in Madrid, ES, within the EMEA region. Across 31 transactions, it shows high-value spend with an average transaction value of 1064.35 EUR. The merchant most often sees credit card usage and is commonly associated with premium electronics, high-value, weekend spend."
MES00066,ElectroHub Madrid 066,consumer electronics,Madrid,ES,EMEA,32,1201.37,EUR,credit card,high-value,"premium electronics, high-value, weekend spend","ElectroHub Madrid 066 is a consumer electronics merchant in Madrid, ES, within the EMEA region. Across 32 transactions, it shows high-value spend with an average transaction value of 1201.37 EUR. The merchant most often sees credit card usage and is commonly associated with premium electronics, high-value, weekend spend."
MES00067,MetroFuel Madrid 067,fuel and convenience,Madrid,ES,EMEA,18,105.15,EUR,debit card,mid-value,"everyday consumer spend, late-night activity, prepaid instrument","MetroFuel Madrid 067 is a fuel and convenience merchant in Madrid, ES, within the EMEA region. Across 18 transactions, it shows mid-value spend with an average transaction value of 105.15 EUR. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, late-night activity, prepaid instrument."
MES00087,Luxura Retail Madrid 087,fashion retail,Madrid,ES,EMEA,25,729.8,EUR,credit card,high-value,"high-value, late-night activity, weekend spend","Luxura Retail Madrid 087 is a fashion retail merchant in Madrid, ES, within the EMEA region. Across 25 transactions, it shows high-value spend with an average transaction value of 729.8 EUR. The merchant most often sees credit card usage and is commonly associated with high-value, late-night activity, weekend spend."
MES00092,Luxura Retail Madrid 092,fashion retail,Madrid,ES,EMEA,32,510.03,EUR,credit card,high-value,"high-value, weekend spend, late-night activity","Luxura Retail Madrid 092 is a fashion retail merchant in Madrid, ES, within the EMEA region. Across 32 transactions, it shows high-value spend with an average transaction value of 510.03 EUR. The merchant most often sees credit card usage and is commonly associated with high-value, weekend spend, late-night activity."
MES00100,ElectroHub Madrid 100,consumer electronics,Madrid,ES,EMEA,19,1122.41,EUR,credit card,high-value,"premium electronics, high-value, weekend spend","ElectroHub Madrid 100 is a consumer electronics merchant in Madrid, ES, within the EMEA region. Across 19 transactions, it shows high-value spend with an average transaction value of 1122.41 EUR. The merchant most often sees credit card usage and is commonly associated with premium electronics, high-value, weekend spend."
