merchant_id,merchant_name,merchant_category_code,merchant_city,merchant_country_code,merchant_country,merchant_region_code,ICA_code,issr_id,acquirer_id
MIN00022,QuickBite Bengaluru 022,5814,Bengaluru,IN,India,APAC,100022,ISSR_IN_188,ACQ_APAC_702
MJP00158,EduPrime Osaka 158,8220,Osaka,JP,Japan,APAC,100158,ISSR_JP_287,ACQ_APAC_701
MES00217,QuickBite Madrid 217,5814,Madrid,ES,Spain,EMEA,100217,ISSR_ES_145,ACQ_EMEA_502
MDE00052,StreamSphere Berlin 052,4899,Berlin,DE,Germany,EMEA,100052,ISSR_DE_238,ACQ_EMEA_502
MAU00005,QuickBite Melbourne 005,5814,Melbourne,AU,Australia,APAC,100005,ISSR_AU_276,ACQ_APAC_701
MIN00037,SkyJet Travel Mumbai 037,4511,Mumbai,IN,India,APAC,100037,ISSR_IN_302,ACQ_APAC_701
MUS00018,RideNow San Francisco 018,4121,San Francisco,US,United States,NA,100018,ISSR_US_205,ACQ_NA_403
MJP00097,SkyJet Travel Tokyo 097,4511,Tokyo,JP,Japan,APAC,100097,ISSR_JP_287,ACQ_APAC_703
MUS00164,QuickBite New York 164,5814,New York,US,United States,NA,100164,ISSR_US_319,ACQ_NA_401
MJP00002,RideNow Tokyo 002,4121,Tokyo,JP,Japan,APAC,100002,ISSR_JP_174,ACQ_APAC_703
MAE00205,FinServe Online Dubai 205,6012,Dubai,AE,United Arab Emirates,MEA,100205,ISSR_AE_152,ACQ_MEA_602
MGB00160,RideNow Manchester 160,4121,Manchester,GB,United Kingdom,EMEA,100160,ISSR_GB_118,ACQ_EMEA_503
MGB00065,MetroFuel London 065,5541,London,GB,United Kingdom,EMEA,100065,ISSR_GB_118,ACQ_EMEA_503
MHK00195,MetroFuel Hong Kong 195,5541,Hong Kong,HK,Hong Kong,APAC,100195,ISSR_HK_181,ACQ_APAC_701
MNL00030,RideNow Amsterdam 030,4121,Amsterdam,NL,Netherlands,EMEA,100030,ISSR_NL_255,ACQ_EMEA_501
MFR00148,PharmaDirect Paris 148,5912,Paris,FR,France,EMEA,100148,ISSR_FR_126,ACQ_EMEA_502
MIN00029,MarketSquare Bengaluru 029,5311,Bengaluru,IN,India,APAC,100029,ISSR_IN_302,ACQ_APAC_703
MAE00020,EduPrime Dubai 020,8220,Dubai,AE,United Arab Emirates,MEA,100020,ISSR_AE_266,ACQ_MEA_601
MJP00133,QuickBite Osaka 133,5814,Osaka,JP,Japan,APAC,100133,ISSR_JP_287,ACQ_APAC_703
MDE00136,Luxura Retail Berlin 136,5651,Berlin,DE,Germany,EMEA,100136,ISSR_DE_132,ACQ_EMEA_503
MAE00126,QuickBite Dubai 126,5814,Dubai,AE,United Arab Emirates,MEA,100126,ISSR_AE_266,ACQ_MEA_602
MUS00198,Luxura Retail New York 198,5651,New York,US,United States,NA,100198,ISSR_US_205,ACQ_NA_403
MIN00184,CloudStay Mumbai 184,7011,Mumbai,IN,India,APAC,100184,ISSR_IN_302,ACQ_APAC_701
MFR00177,PharmaDirect Paris 177,5912,Paris,FR,France,EMEA,100177,ISSR_FR_229,ACQ_EMEA_502
MJP00028,FreshMart Tokyo 028,5411,Tokyo,JP,Japan,APAC,100028,ISSR_JP_287,ACQ_APAC_702
MCA00102,SkyJet Travel Vancouver 102,4511,Vancouver,CA,Canada,NA,100102,ISSR_CA_214,ACQ_NA_403
MUS00153,StreamSphere Chicago 153,4899,Chicago,US,United States,NA,100153,ISSR_US_101,ACQ_NA_402
MDE00114,MarketSquare Berlin 114,5311,Berlin,DE,Germany,EMEA,100114,ISSR_DE_238,ACQ_EMEA_502
MGB00106,ElectroHub Manchester 106,5732,Manchester,GB,United Kingdom,EMEA,100106,ISSR_GB_118,ACQ_EMEA_501
MUS00129,ElectroHub San Francisco 129,5732,San Francisco,US,United States,NA,100129,ISSR_US_319,ACQ_NA_401
MJP00123,FreshMart Osaka 123,5411,Osaka,JP,Japan,APAC,100123,ISSR_JP_174,ACQ_APAC_703
MES00038,FreshMart Madrid 038,5411,Madrid,ES,Spain,EMEA,100038,ISSR_ES_145,ACQ_EMEA_501
MCA00147,CloudStay Toronto 147,7011,Toronto,CA,Canada,NA,100147,ISSR_CA_214,ACQ_NA_403
MAE00127,FreshMart Dubai 127,5411,Dubai,AE,United Arab Emirates,MEA,100127,ISSR_AE_152,ACQ_MEA_602
MUS00213,StreamSphere Chicago 213,4899,Chicago,US,United States,NA,100213,ISSR_US_101,ACQ_NA_401
MUS00171,ElectroHub Chicago 171,5732,Chicago,US,United States,NA,100171,ISSR_US_101,ACQ_NA_403
MCA00044,MetroFuel Toronto 044,5541,Toronto,CA,Canada,NA,100044,ISSR_CA_110,ACQ_NA_403
MSG00061,PharmaDirect Singapore 061,5912,Singapore,SG,Singapore,APAC,100061,ISSR_SG_271,ACQ_APAC_703
MES00067,MetroFuel Madrid 067,5541,Madrid,ES,Spain,EMEA,100067,ISSR_ES_241,ACQ_EMEA_503
MDE00185,FinServe Online Berlin 185,6012,Berlin,DE,Germany,EMEA,100185,ISSR_DE_238,ACQ_EMEA_502
MAU00084,StreamSphere Melbourne 084,4899,Melbourne,AU,Australia,APAC,100084,ISSR_AU_163,ACQ_APAC_702
MJP00137,FreshMart Osaka 137,5411,Osaka,JP,Japan,APAC,100137,ISSR_JP_287,ACQ_APAC_701
MJP00154,ElectroHub Tokyo 154,5732,Tokyo,JP,Japan,APAC,100154,ISSR_JP_174,ACQ_APAC_701
MGB00191,FreshMart London 191,5411,London,GB,United Kingdom,EMEA,100191,ISSR_GB_224,ACQ_EMEA_502
MIN00011,FreshMart Bengaluru 011,5411,Bengaluru,IN,India,APAC,100011,ISSR_IN_188,ACQ_APAC_701
MUS00150,SkyJet Travel San Francisco 150,4511,San Francisco,US,United States,NA,100150,ISSR_US_101,ACQ_NA_401
MJP00104,SkyJet Travel Osaka 104,4511,Osaka,JP,Japan,APAC,100104,ISSR_JP_287,ACQ_APAC_702
MUS00034,SkyJet Travel New York 034,4511,New York,US,United States,NA,100034,ISSR_US_205,ACQ_NA_402
MJP00108,FinServe Online Tokyo 108,6012,Tokyo,JP,Japan,APAC,100108,ISSR_JP_174,ACQ_APAC_702
MFR00182,PharmaDirect Paris 182,5912,Paris,FR,France,EMEA,100182,ISSR_FR_229,ACQ_EMEA_501
MIN00138,MediCare Plus Mumbai 138,8099,Mumbai,IN,India,APAC,100138,ISSR_IN_302,ACQ_APAC_701
MGB00174,UrbanTable London 174,5812,London,GB,United Kingdom,EMEA,100174,ISSR_GB_118,ACQ_EMEA_503
MUS00216,MetroFuel Chicago 216,5541,Chicago,US,United States,NA,100216,ISSR_US_319,ACQ_NA_401
MJP00214,MediCare Plus Osaka 214,8099,Osaka,JP,Japan,APAC,100214,ISSR_JP_287,ACQ_APAC_702
MJP00036,EduPrime Osaka 036,8220,Osaka,JP,Japan,APAC,100036,ISSR_JP_174,ACQ_APAC_702
MFR00201,Luxura Retail Paris 201,5651,Paris,FR,France,EMEA,100201,ISSR_FR_229,ACQ_EMEA_503
MAU00172,MetroFuel Sydney 172,5541,Sydney,AU,Australia,APAC,100172,ISSR_AU_276,ACQ_APAC_701
MIN00118,SkyJet Travel Mumbai 118,4511,Mumbai,IN,India,APAC,100118,ISSR_IN_302,ACQ_APAC_702
MSG00140,QuickBite Singapore 140,5814,Singapore,SG,Singapore,APAC,100140,ISSR_SG_271,ACQ_APAC_701
MFR00212,MediCare Plus Paris 212,8099,Paris,FR,France,EMEA,100212,ISSR_FR_229,ACQ_EMEA_501
MGB00183,CloudStay Manchester 183,7011,Manchester,GB,United Kingdom,EMEA,100183,ISSR_GB_224,ACQ_EMEA_503
MNL00039,CloudStay Amsterdam 039,7011,Amsterdam,NL,Netherlands,EMEA,100039,ISSR_NL_149,ACQ_EMEA_501
MNL00218,FinServe Online Amsterdam 218,6012,Amsterdam,NL,Netherlands,EMEA,100218,ISSR_NL_149,ACQ_EMEA_502
MAU00095,UrbanTable Sydney 095,5812,Sydney,AU,Australia,APAC,100095,ISSR_AU_276,ACQ_APAC_703
MIN00152,MediCare Plus Bengaluru 152,8099,Bengaluru,IN,India,APAC,100152,ISSR_IN_302,ACQ_APAC_703
MJP00006,QuickBite Tokyo 006,5814,Tokyo,JP,Japan,APAC,100006,ISSR_JP_174,ACQ_APAC_703
MFR00008,MetroFuel Paris 008,5541,Paris,FR,France,EMEA,100008,ISSR_FR_229,ACQ_EMEA_502
MGB00132,PharmaDirect London 132,5912,London,GB,United Kingdom,EMEA,100132,ISSR_GB_224,ACQ_EMEA_502
MDE00197,StreamSphere Berlin 197,4899,Berlin,DE,Germany,EMEA,100197,ISSR_DE_132,ACQ_EMEA_501
MUS00166,MediCare Plus San Francisco 166,8099,San Francisco,US,United States,NA,100166,ISSR_US_319,ACQ_NA_403
MJP00120,StreamSphere Tokyo 120,4899,Tokyo,JP,Japan,APAC,100120,ISSR_JP_287,ACQ_APAC_702
MJP00007,QuickBite Osaka 007,5814,Osaka,JP,Japan,APAC,100007,ISSR_JP_287,ACQ_APAC_702
MUS00190,MetroFuel New York 190,5541,New York,US,United States,NA,100190,ISSR_US_205,ACQ_NA_401
MIN00210,QuickBite Bengaluru 210,5814,Bengaluru,IN,India,APAC,100210,ISSR_IN_188,ACQ_APAC_701
MIN00203,PharmaDirect Mumbai 203,5912,Mumbai,IN,India,APAC,100203,ISSR_IN_302,ACQ_APAC_701
MIN00193,Luxura Retail Mumbai 193,5651,Mumbai,IN,India,APAC,100193,ISSR_IN_188,ACQ_APAC_703
MAU00119,MarketSquare Sydney 119,5311,Sydney,AU,Australia,APAC,100119,ISSR_AU_276,ACQ_APAC_702
MJP00112,CloudStay Osaka 112,7011,Osaka,JP,Japan,APAC,100112,ISSR_JP_174,ACQ_APAC_701
MJP00144,QuickBite Tokyo 144,5814,Tokyo,JP,Japan,APAC,100144,ISSR_JP_174,ACQ_APAC_701
MCA00019,QuickBite Toronto 019,5814,Toronto,CA,Canada,NA,100019,ISSR_CA_110,ACQ_NA_403
MIN00009,SkyJet Travel Bengaluru 009,4511,Bengaluru,IN,India,APAC,100009,ISSR_IN_188,ACQ_APAC_702
MCA00080,MarketSquare Vancouver 080,5311,Vancouver,CA,Canada,NA,100080,ISSR_CA_214,ACQ_NA_401
MJP00045,RideNow Osaka 045,4121,Osaka,JP,Japan,APAC,100045,ISSR_JP_287,ACQ_APAC_703
MIN00103,Luxura Retail Bengaluru 103,5651,Bengaluru,IN,India,APAC,100103,ISSR_IN_302,ACQ_APAC_701
MCA00110,SkyJet Travel Toronto 110,4511,Toronto,CA,Canada,NA,100110,ISSR_CA_110,ACQ_NA_403
MHK00202,FreshMart Hong Kong 202,5411,Hong Kong,HK,Hong Kong,APAC,100202,ISSR_HK_294,ACQ_APAC_701
