tran_sequence_number,Transaction_Amount,transaction_currency_code,card_type,ICA_code,issr_id,acquirer_id,transaction_date,transaction_time,transaction_narration
TXN20250131000013,5999.48,CAD,CREDIT,100101,ISSR_CA_110,ACQ_NA_402,2025-01-31,08:50:47,"This transaction was a very high-value credit card payment of 5999.48 CAD at EduPrime Toronto 101, a education services merchant in Toronto, CA, within the NA region. It took place on 2025-01-31 during morning weekday hours and can be described as very high-value."
TXN20250228000014,609.1,EUR,PREPAID,100025,ISSR_ES_241,ACQ_EMEA_502,2025-02-28,11:26:20,"This transaction was a high-value prepaid card payment of 609.1 EUR at FinServe Online Madrid 025, a financial services merchant in Madrid, ES, within the EMEA region. It took place on 2025-02-28 during morning weekday hours and can be described as high-value, cash-like financial services, prepaid instrument."
TXN20250106000015,114.0,INR,DEBIT,100021,ISSR_IN_188,ACQ_APAC_703,2025-01-06,18:30:34,"This transaction was a mid-value debit card payment of 114.0 INR at FreshMart Bengaluru 021, a grocery retail merchant in Bengaluru, IN, within the APAC region. It took place on 2025-01-06 during evening weekday hours and can be described as everyday consumer spend."
TXN20250217000016,1297.14,USD,CREDIT,100142,ISSR_US_205,ACQ_NA_402,2025-02-17,07:16:20,"This transaction was a high-value credit card payment of 1297.14 USD at SkyJet Travel New York 142, a air travel merchant in New York, US, within the NA region. It took place on 2025-02-17 during morning weekday hours and can be described as high-value, travel-related."
TXN20250222000017,116.28,EUR,DEBIT,100155,ISSR_DE_238,ACQ_EMEA_502,2025-02-22,09:40:02,"This transaction was a mid-value debit card payment of 116.28 EUR at MetroFuel Berlin 155, a fuel and convenience merchant in Berlin, DE, within the EMEA region. It took place on 2025-02-22 during morning weekend hours and can be described as weekend spend."
TXN20250313000018,9.61,CAD,CREDIT,100081,ISSR_CA_214,ACQ_NA_403,2025-03-13,07:09:22,"This transaction was a micro credit card payment of 9.61 CAD at StreamSphere Vancouver 081, a digital subscription services merchant in Vancouver, CA, within the NA region. It took place on 2025-03-13 during morning weekday hours and can be described as digital recurring."
TXN20250328000019,58.31,SGD,CREDIT,100033,ISSR_SG_158,ACQ_APAC_703,2025-03-28,15:21:28,"This transaction was a small-ticket credit card payment of 58.31 SGD at UrbanTable Singapore 033, a restaurant dining merchant in Singapore, SG, within the APAC region. It took place on 2025-03-28 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250215000020,28.03,GBP,CREDIT,100188,ISSR_GB_118,ACQ_EMEA_501,2025-02-15,08:37:39,"This transaction was a small-ticket credit card payment of 28.03 GBP at QuickBite London 188, a quick service dining merchant in London, GB, within the EMEA region. It took place on 2025-02-15 during morning weekend hours and can be described as weekend spend."
TXN20250222000021,13.23,HKD,PREPAID,100053,ISSR_HK_181,ACQ_APAC_703,2025-02-22,02:37:27,"This transaction was a micro prepaid card payment of 13.23 HKD at QuickBite Hong Kong 053, a quick service dining merchant in Hong Kong, HK, within the APAC region. It took place on 2025-02-22 during late-night weekend hours and can be described as prepaid instrument, late-night activity, weekend spend."
TXN20250106000022,592.11,CAD,CREDIT,100209,ISSR_CA_110,ACQ_NA_403,2025-01-06,12:56:33,"This transaction was a high-value credit card payment of 592.11 CAD at FinServe Online Vancouver 209, a financial services merchant in Vancouver, CA, within the NA region. It took place on 2025-01-06 during afternoon weekday hours and can be described as high-value, cash-like financial services."
TXN20250117000023,339.45,AED,CREDIT,100076,ISSR_AE_266,ACQ_MEA_602,2025-01-17,11:26:17,"This transaction was a mid-value credit card payment of 339.45 AED at MarketSquare Dubai 076, a general retail merchant in Dubai, AE, within the MEA region. It took place on 2025-01-17 during morning weekday hours and can be described as everyday consumer spend."
TXN20250316000024,1115.0,INR,CREDIT,100017,ISSR_IN_302,ACQ_APAC_702,2025-03-16,23:15:00,"This transaction was a high-value credit card payment of 1115.0 INR at SkyJet Travel Bengaluru 017, a air travel merchant in Bengaluru, IN, within the APAC region. It took place on 2025-03-16 during late-night weekend hours and can be described as high-value, travel-related, weekend spend."
TXN20250225000025,24.37,EUR,PREPAID,100072,ISSR_FR_126,ACQ_EMEA_502,2025-02-25,04:34:38,"This transaction was a small-ticket prepaid card payment of 24.37 EUR at QuickBite Paris 072, a quick service dining merchant in Paris, FR, within the EMEA region. It took place on 2025-02-25 during late-night weekday hours and can be described as prepaid instrument, late-night activity."
TXN20250120000026,204,JPY,CREDIT,100157,ISSR_JP_174,ACQ_APAC_701,2025-01-20,02:26:49,"This transaction was a mid-value credit card payment of 204 JPY at UrbanTable Tokyo 157, a restaurant dining merchant in Tokyo, JP, within the APAC region. It took place on 2025-01-20 during late-night weekday hours and can be described as late-night activity."
TXN20250127000027,842.25,AUD,CREDIT,100206,ISSR_AU_276,ACQ_APAC_701,2025-01-27,10:56:25,"This transaction was a high-value credit card payment of 842.25 AUD at CloudStay Melbourne 206, a lodging and hospitality merchant in Melbourne, AU, within the APAC region. It took place on 2025-01-27 during morning weekday hours and can be described as high-value, travel-related."
TXN20250225000028,15.94,CAD,CREDIT,100143,ISSR_CA_214,ACQ_NA_403,2025-02-25,13:44:19,"This transaction was a micro credit card payment of 15.94 CAD at PharmaDirect Vancouver 143, a pharmacy and wellness merchant in Vancouver, CA, within the NA region. It took place on 2025-02-25 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250327000029,2199.0,INR,CREDIT,100017,ISSR_IN_302,ACQ_APAC_702,2025-03-27,03:42:27,"This transaction was a very high-value credit card payment of 2199.0 INR at SkyJet Travel Bengaluru 017, a air travel merchant in Bengaluru, IN, within the APAC region. It took place on 2025-03-27 during late-night weekday hours and can be described as very high-value, travel-related, late-night activity."
TXN20250306000030,11.78,EUR,PREPAID,100111,ISSR_DE_132,ACQ_EMEA_502,2025-03-06,20:50:47,"This transaction was a micro prepaid card payment of 11.78 EUR at QuickBite Berlin 111, a quick service dining merchant in Berlin, DE, within the EMEA region. It took place on 2025-03-06 during evening weekday hours and can be described as prepaid instrument."
TXN20250303000031,66.0,INR,CREDIT,100082,ISSR_IN_302,ACQ_APAC_701,2025-03-03,11:29:13,"This transaction was a small-ticket credit card payment of 66.0 INR at MetroFuel Bengaluru 082, a fuel and convenience merchant in Bengaluru, IN, within the APAC region. It took place on 2025-03-03 during morning weekday hours and can be described as everyday consumer spend."
TXN20250319000032,80.2,GBP,CREDIT,100163,ISSR_GB_224,ACQ_EMEA_502,2025-03-19,12:48:08,"This transaction was a small-ticket credit card payment of 80.2 GBP at FreshMart Manchester 163, a grocery retail merchant in Manchester, GB, within the EMEA region. It took place on 2025-03-19 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250223000033,915.18,USD,CREDIT,100130,ISSR_US_101,ACQ_NA_401,2025-02-23,09:29:52,"This transaction was a high-value credit card payment of 915.18 USD at CloudStay San Francisco 130, a lodging and hospitality merchant in San Francisco, US, within the NA region. It took place on 2025-02-23 during morning weekend hours and can be described as high-value, travel-related, weekend spend."
TXN20250204000034,62.83,EUR,CREDIT,100074,ISSR_DE_238,ACQ_EMEA_502,2025-02-04,03:25:36,"This transaction was a small-ticket credit card payment of 62.83 EUR at MetroFuel Berlin 074, a fuel and convenience merchant in Berlin, DE, within the EMEA region. It took place on 2025-02-04 during late-night weekday hours and can be described as late-night activity."
TXN20250112000035,124.0,EUR,PREPAID,100122,ISSR_FR_229,ACQ_EMEA_502,2025-01-12,16:50:39,"This transaction was a mid-value prepaid card payment of 124.0 EUR at UrbanTable Paris 122, a restaurant dining merchant in Paris, FR, within the EMEA region. It took place on 2025-01-12 during afternoon weekend hours and can be described as prepaid instrument, weekend spend."
TXN20250126000036,1649.68,GBP,DEBIT,100145,ISSR_GB_224,ACQ_EMEA_502,2025-01-26,16:00:21,"This transaction was a high-value debit card payment of 1649.68 GBP at ElectroHub London 145, a consumer electronics merchant in London, GB, within the EMEA region. It took place on 2025-01-26 during afternoon weekend hours and can be described as high-value, premium electronics, weekend spend."
TXN20250117000037,728.72,EUR,DEBIT,100087,ISSR_ES_145,ACQ_EMEA_503,2025-01-17,03:01:51,"This transaction was a high-value debit card payment of 728.72 EUR at Luxura Retail Madrid 087, a fashion retail merchant in Madrid, ES, within the EMEA region. It took place on 2025-01-17 during late-night weekday hours and can be described as high-value, late-night activity."
TXN20250124000038,909.24,GBP,CREDIT,100094,ISSR_GB_118,ACQ_EMEA_501,2025-01-24,21:51:48,"This transaction was a high-value credit card payment of 909.24 GBP at Luxura Retail Manchester 094, a fashion retail merchant in Manchester, GB, within the EMEA region. It took place on 2025-01-24 during evening weekday hours and can be described as high-value."
TXN20250226000039,2670.0,INR,CREDIT,100115,ISSR_IN_302,ACQ_APAC_702,2025-02-26,02:07:57,"This transaction was a very high-value credit card payment of 2670.0 INR at FinServe Online Mumbai 115, a financial services merchant in Mumbai, IN, within the APAC region. It took place on 2025-02-26 during late-night weekday hours and can be described as very high-value, cash-like financial services, late-night activity."
TXN20250330000040,5620.8,EUR,CREDIT,100015,ISSR_FR_126,ACQ_EMEA_502,2025-03-30,19:27:57,"This transaction was a very high-value credit card payment of 5620.8 EUR at EduPrime Paris 015, a education services merchant in Paris, FR, within the EMEA region. It took place on 2025-03-30 during evening weekend hours and can be described as very high-value, weekend spend."
TXN20250304000041,2988.06,EUR,DEBIT,100051,ISSR_NL_149,ACQ_EMEA_502,2025-03-04,00:32:40,"This transaction was a very high-value debit card payment of 2988.06 EUR at FinServe Online Amsterdam 051, a financial services merchant in Amsterdam, NL, within the EMEA region. It took place on 2025-03-04 during late-night weekday hours and can be described as very high-value, cash-like financial services, late-night activity."
TXN20250130000042,14.13,HKD,CREDIT,100053,ISSR_HK_181,ACQ_APAC_703,2025-01-30,00:26:34,"This transaction was a micro credit card payment of 14.13 HKD at QuickBite Hong Kong 053, a quick service dining merchant in Hong Kong, HK, within the APAC region. It took place on 2025-01-30 during late-night weekday hours and can be described as late-night activity."
TXN20250314000043,171.12,GBP,CREDIT,100163,ISSR_GB_224,ACQ_EMEA_502,2025-03-14,12:18:41,"This transaction was a mid-value credit card payment of 171.12 GBP at FreshMart Manchester 163, a grocery retail merchant in Manchester, GB, within the EMEA region. It took place on 2025-03-14 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250202000044,91.3,EUR,CREDIT,100134,ISSR_DE_132,ACQ_EMEA_502,2025-02-02,01:25:40,"This transaction was a small-ticket credit card payment of 91.3 EUR at PharmaDirect Berlin 134, a pharmacy and wellness merchant in Berlin, DE, within the EMEA region. It took place on 2025-02-02 during late-night weekend hours and can be described as late-night activity, weekend spend."
TXN20250212000045,10.37,GBP,CREDIT,100064,ISSR_GB_224,ACQ_EMEA_501,2025-02-12,07:11:06,"This transaction was a micro credit card payment of 10.37 GBP at QuickBite Manchester 064, a quick service dining merchant in Manchester, GB, within the EMEA region. It took place on 2025-02-12 during morning weekday hours and can be described as everyday consumer spend."
TXN20250223000046,1601.93,USD,DEBIT,100086,ISSR_US_319,ACQ_NA_402,2025-02-23,19:56:40,"This transaction was a high-value debit card payment of 1601.93 USD at ElectroHub New York 086, a consumer electronics merchant in New York, US, within the NA region. It took place on 2025-02-23 during evening weekend hours and can be described as high-value, premium electronics, weekend spend."
TXN20250210000047,93.0,INR,PREPAID,100082,ISSR_IN_302,ACQ_APAC_701,2025-02-10,23:48:24,"This transaction was a small-ticket prepaid card payment of 93.0 INR at MetroFuel Bengaluru 082, a fuel and convenience merchant in Bengaluru, IN, within the APAC region. It took place on 2025-02-10 during late-night weekday hours and can be described as prepaid instrument."
TXN20250320000048,24.05,AUD,CREDIT,100098,ISSR_AU_163,ACQ_APAC_702,2025-03-20,01:57:00,"This transaction was a small-ticket credit card payment of 24.05 AUD at RideNow Melbourne 098, a ride-hailing and local transport merchant in Melbourne, AU, within the APAC region. It took place on 2025-03-20 during late-night weekday hours and can be described as late-night activity."
TXN20250218000049,60.67,USD,DEBIT,100012,ISSR_US_319,ACQ_NA_402,2025-02-18,08:35:41,"This transaction was a small-ticket debit card payment of 60.67 USD at RideNow San Francisco 012, a ride-hailing and local transport merchant in San Francisco, US, within the NA region. It took place on 2025-02-18 during morning weekday hours and can be described as everyday consumer spend."
TXN20250221000050,995.1,EUR,DEBIT,100062,ISSR_ES_145,ACQ_EMEA_503,2025-02-21,08:27:24,"This transaction was a high-value debit card payment of 995.1 EUR at ElectroHub Madrid 062, a consumer electronics merchant in Madrid, ES, within the EMEA region. It took place on 2025-02-21 during morning weekday hours and can be described as high-value, premium electronics."
TXN20250331000051,1098.1,AUD,CREDIT,100060,ISSR_AU_276,ACQ_APAC_703,2025-03-31,22:10:53,"This transaction was a high-value credit card payment of 1098.1 AUD at Luxura Retail Melbourne 060, a fashion retail merchant in Melbourne, AU, within the APAC region. It took place on 2025-03-31 during late-night weekday hours and can be described as high-value."
TXN20250214000052,550.16,AED,CREDIT,100035,ISSR_AE_152,ACQ_MEA_602,2025-02-14,09:20:42,"This transaction was a high-value credit card payment of 550.16 AED at Luxura Retail Dubai 035, a fashion retail merchant in Dubai, AE, within the MEA region. It took place on 2025-02-14 during morning weekday hours and can be described as high-value."
TXN20250307000053,1576,JPY,CREDIT,100088,ISSR_JP_174,ACQ_APAC_703,2025-03-07,06:24:48,"This transaction was a high-value credit card payment of 1576 JPY at CloudStay Tokyo 088, a lodging and hospitality merchant in Tokyo, JP, within the APAC region. It took place on 2025-03-07 during morning weekday hours and can be described as high-value, travel-related."
TXN20250115000054,1177.94,USD,CREDIT,100077,ISSR_US_205,ACQ_NA_403,2025-01-15,01:52:13,"This transaction was a high-value credit card payment of 1177.94 USD at ElectroHub Chicago 077, a consumer electronics merchant in Chicago, US, within the NA region. It took place on 2025-01-15 during late-night weekday hours and can be described as high-value, premium electronics, late-night activity."
TXN20250324000055,136.25,EUR,DEBIT,100078,ISSR_NL_255,ACQ_EMEA_502,2025-03-24,07:23:38,"This transaction was a mid-value debit card payment of 136.25 EUR at MetroFuel Amsterdam 078, a fuel and convenience merchant in Amsterdam, NL, within the EMEA region. It took place on 2025-03-24 during morning weekday hours and can be described as everyday consumer spend."
TXN20250312000056,105.53,EUR,DEBIT,100071,ISSR_DE_132,ACQ_EMEA_503,2025-03-12,11:47:10,"This transaction was a mid-value debit card payment of 105.53 EUR at FreshMart Berlin 071, a grocery retail merchant in Berlin, DE, within the EMEA region. It took place on 2025-03-12 during morning weekday hours and can be described as everyday consumer spend."
TXN20250116000057,1337.2,USD,CREDIT,100179,ISSR_US_319,ACQ_NA_402,2025-01-16,00:20:10,"This transaction was a high-value credit card payment of 1337.2 USD at SkyJet Travel New York 179, a air travel merchant in New York, US, within the NA region. It took place on 2025-01-16 during late-night weekday hours and can be described as high-value, travel-related, late-night activity."
TXN20250322000058,9.03,CAD,CREDIT,100093,ISSR_CA_214,ACQ_NA_401,2025-03-22,22:12:09,"This transaction was a micro credit card payment of 9.03 CAD at QuickBite Toronto 093, a quick service dining merchant in Toronto, CA, within the NA region. It took place on 2025-03-22 during late-night weekend hours and can be described as weekend spend."
TXN20250316000059,172.07,EUR,CREDIT,100092,ISSR_ES_241,ACQ_EMEA_501,2025-03-16,06:29:05,"This transaction was a mid-value credit card payment of 172.07 EUR at Luxura Retail Madrid 092, a fashion retail merchant in Madrid, ES, within the EMEA region. It took place on 2025-03-16 during morning weekend hours and can be described as weekend spend."
TXN20250214000060,110.56,HKD,CREDIT,100010,ISSR_HK_294,ACQ_APAC_703,2025-02-14,05:58:08,"This transaction was a mid-value credit card payment of 110.56 HKD at Luxura Retail Hong Kong 010, a fashion retail merchant in Hong Kong, HK, within the APAC region. It took place on 2025-02-14 during late-night weekday hours and can be described as late-night activity."
TXN20250318000061,24.45,EUR,DEBIT,100146,ISSR_DE_238,ACQ_EMEA_501,2025-03-18,14:30:56,"This transaction was a small-ticket debit card payment of 24.45 EUR at RideNow Berlin 146, a ride-hailing and local transport merchant in Berlin, DE, within the EMEA region. It took place on 2025-03-18 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250321000062,819.05,AED,CREDIT,100090,ISSR_AE_152,ACQ_MEA_601,2025-03-21,16:35:37,"This transaction was a high-value credit card payment of 819.05 AED at CloudStay Dubai 090, a lodging and hospitality merchant in Dubai, AE, within the MEA region. It took place on 2025-03-21 during afternoon weekday hours and can be described as high-value, travel-related."
TXN20250314000063,78.84,HKD,CREDIT,100151,ISSR_HK_294,ACQ_APAC_703,2025-03-14,21:35:06,"This transaction was a small-ticket credit card payment of 78.84 HKD at RideNow Hong Kong 151, a ride-hailing and local transport merchant in Hong Kong, HK, within the APAC region. It took place on 2025-03-14 during evening weekday hours and can be described as everyday consumer spend."
TXN20250320000064,63.15,CAD,PREPAID,100068,ISSR_CA_110,ACQ_NA_401,2025-03-20,12:20:28,"This transaction was a small-ticket prepaid card payment of 63.15 CAD at PharmaDirect Vancouver 068, a pharmacy and wellness merchant in Vancouver, CA, within the NA region. It took place on 2025-03-20 during afternoon weekday hours and can be described as prepaid instrument."
TXN20250324000065,226,JPY,CREDIT,100026,ISSR_JP_287,ACQ_APAC_703,2025-03-24,07:32:23,"This transaction was a mid-value credit card payment of 226 JPY at MediCare Plus Tokyo 026, a healthcare services merchant in Tokyo, JP, within the APAC region. It took place on 2025-03-24 during morning weekday hours and can be described as everyday consumer spend."
TXN20250325000066,850.46,AUD,PREPAID,100085,ISSR_AU_163,ACQ_APAC_701,2025-03-25,06:43:37,"This transaction was a high-value prepaid card payment of 850.46 AUD at Luxura Retail Melbourne 085, a fashion retail merchant in Melbourne, AU, within the APAC region. It took place on 2025-03-25 during morning weekday hours and can be described as high-value, prepaid instrument."
TXN20250130000067,155.86,CAD,CREDIT,100143,ISSR_CA_214,ACQ_NA_403,2025-01-30,09:48:02,"This transaction was a mid-value credit card payment of 155.86 CAD at PharmaDirect Vancouver 143, a pharmacy and wellness merchant in Vancouver, CA, within the NA region. It took place on 2025-01-30 during morning weekday hours and can be described as everyday consumer spend."
TXN20250101000068,407.98,EUR,CREDIT,100181,ISSR_DE_132,ACQ_EMEA_503,2025-01-01,23:41:46,"This transaction was a mid-value credit card payment of 407.98 EUR at Luxura Retail Berlin 181, a fashion retail merchant in Berlin, DE, within the EMEA region. It took place on 2025-01-01 during late-night weekday hours and can be described as everyday consumer spend."
TXN20250218000069,38,JPY,CREDIT,100121,ISSR_JP_174,ACQ_APAC_703,2025-02-18,17:22:25,"This transaction was a small-ticket credit card payment of 38 JPY at QuickBite Tokyo 121, a quick service dining merchant in Tokyo, JP, within the APAC region. It took place on 2025-02-18 during evening weekday hours and can be described as everyday consumer spend."
TXN20250204000070,1076.03,USD,CREDIT,100077,ISSR_US_205,ACQ_NA_403,2025-02-04,07:37:29,"This transaction was a high-value credit card payment of 1076.03 USD at ElectroHub Chicago 077, a consumer electronics merchant in Chicago, US, within the NA region. It took place on 2025-02-04 during morning weekday hours and can be described as high-value, premium electronics."
TXN20250321000071,85.9,GBP,CREDIT,100069,ISSR_GB_118,ACQ_EMEA_503,2025-03-21,20:56:16,"This transaction was a small-ticket credit card payment of 85.9 GBP at FreshMart Manchester 069, a grocery retail merchant in Manchester, GB, within the EMEA region. It took place on 2025-03-21 during evening weekday hours and can be described as everyday consumer spend."
TXN20250322000072,269.72,CAD,CREDIT,100196,ISSR_CA_110,ACQ_NA_403,2025-03-22,10:15:35,"This transaction was a mid-value credit card payment of 269.72 CAD at FinServe Online Vancouver 196, a financial services merchant in Vancouver, CA, within the NA region. It took place on 2025-03-22 during morning weekend hours and can be described as cash-like financial services, weekend spend."
TXN20250110000073,297.73,USD,CREDIT,100047,ISSR_US_205,ACQ_NA_403,2025-01-10,11:40:21,"This transaction was a mid-value credit card payment of 297.73 USD at CloudStay San Francisco 047, a lodging and hospitality merchant in San Francisco, US, within the NA region. It took place on 2025-01-10 during morning weekday hours and can be described as travel-related."
TXN20250126000074,34.32,USD,CREDIT,100139,ISSR_US_205,ACQ_NA_402,2025-01-26,17:47:22,"This transaction was a small-ticket credit card payment of 34.32 USD at FreshMart San Francisco 139, a grocery retail merchant in San Francisco, US, within the NA region. It took place on 2025-01-26 during evening weekend hours and can be described as weekend spend."
TXN20250121000075,47.0,INR,PREPAID,100187,ISSR_IN_302,ACQ_APAC_701,2025-01-21,16:04:55,"This transaction was a small-ticket prepaid card payment of 47.0 INR at RideNow Mumbai 187, a ride-hailing and local transport merchant in Mumbai, IN, within the APAC region. It took place on 2025-01-21 during afternoon weekday hours and can be described as prepaid instrument."
TXN20250107000076,85.0,INR,DEBIT,100082,ISSR_IN_302,ACQ_APAC_701,2025-01-07,00:59:47,"This transaction was a small-ticket debit card payment of 85.0 INR at MetroFuel Bengaluru 082, a fuel and convenience merchant in Bengaluru, IN, within the APAC region. It took place on 2025-01-07 during late-night weekday hours and can be described as late-night activity."
TXN20250217000077,225.54,GBP,CREDIT,100199,ISSR_GB_118,ACQ_EMEA_502,2025-02-17,05:54:51,"This transaction was a mid-value credit card payment of 225.54 GBP at MarketSquare London 199, a general retail merchant in London, GB, within the EMEA region. It took place on 2025-02-17 during late-night weekday hours and can be described as late-night activity."
TXN20250319000078,358.66,USD,CREDIT,100086,ISSR_US_319,ACQ_NA_402,2025-03-19,17:23:09,"This transaction was a mid-value credit card payment of 358.66 USD at ElectroHub New York 086, a consumer electronics merchant in New York, US, within the NA region. It took place on 2025-03-19 during evening weekday hours and can be described as premium electronics."
TXN20250131000079,5506.01,CAD,PREPAID,100101,ISSR_CA_110,ACQ_NA_402,2025-01-31,03:22:50,"This transaction was a very high-value prepaid card payment of 5506.01 CAD at EduPrime Toronto 101, a education services merchant in Toronto, CA, within the NA region. It took place on 2025-01-31 during late-night weekday hours and can be described as very high-value, prepaid instrument, late-night activity."
TXN20250217000080,18.11,HKD,PREPAID,100151,ISSR_HK_294,ACQ_APAC_703,2025-02-17,21:58:54,"This transaction was a micro prepaid card payment of 18.11 HKD at RideNow Hong Kong 151, a ride-hailing and local transport merchant in Hong Kong, HK, within the APAC region. It took place on 2025-02-17 during evening weekday hours and can be described as prepaid instrument."
TXN20250214000081,8.8,CAD,DEBIT,100081,ISSR_CA_214,ACQ_NA_403,2025-02-14,18:40:24,"This transaction was a micro debit card payment of 8.8 CAD at StreamSphere Vancouver 081, a digital subscription services merchant in Vancouver, CA, within the NA region. It took place on 2025-02-14 during evening weekday hours and can be described as digital recurring."
TXN20250130000082,124.9,AUD,CREDIT,100056,ISSR_AU_276,ACQ_APAC_701,2025-01-30,13:53:23,"This transaction was a mid-value credit card payment of 124.9 AUD at Luxura Retail Melbourne 056, a fashion retail merchant in Melbourne, AU, within the APAC region. It took place on 2025-01-30 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250214000083,17.8,USD,DEBIT,100139,ISSR_US_205,ACQ_NA_402,2025-02-14,10:36:37,"This transaction was a micro debit card payment of 17.8 USD at FreshMart San Francisco 139, a grocery retail merchant in San Francisco, US, within the NA region. It took place on 2025-02-14 during morning weekday hours and can be described as everyday consumer spend."
TXN20250227000084,24,JPY,DEBIT,100121,ISSR_JP_174,ACQ_APAC_703,2025-02-27,08:55:54,"This transaction was a small-ticket debit card payment of 24 JPY at QuickBite Tokyo 121, a quick service dining merchant in Tokyo, JP, within the APAC region. It took place on 2025-02-27 during morning weekday hours and can be described as everyday consumer spend."
TXN20250305000085,31.84,USD,PREPAID,100117,ISSR_US_319,ACQ_NA_401,2025-03-05,19:13:57,"This transaction was a small-ticket prepaid card payment of 31.84 USD at FreshMart Chicago 117, a grocery retail merchant in Chicago, US, within the NA region. It took place on 2025-03-05 during evening weekday hours and can be described as prepaid instrument."
TXN20250227000086,128.22,EUR,PREPAID,100071,ISSR_DE_132,ACQ_EMEA_503,2025-02-27,13:02:06,"This transaction was a mid-value prepaid card payment of 128.22 EUR at FreshMart Berlin 071, a grocery retail merchant in Berlin, DE, within the EMEA region. It took place on 2025-02-27 during afternoon weekday hours and can be described as prepaid instrument."
