transaction_datetime_id,transaction_date,transaction_time,day_of_week,month,hour_of_day,is_weekend
DT_20250102_022638,2025-01-02,02:26:38,Thursday,2025-01,02,false
DT_20250102_031120,2025-01-02,03:11:20,Thursday,2025-01,03,false
DT_20250102_032251,2025-01-02,03:22:51,Thursday,2025-01,03,false
DT_20250102_033104,2025-01-02,03:31:04,Thursday,2025-01,03,false
DT_20250102_034027,2025-01-02,03:40:27,Thursday,2025-01,03,false
DT_20250102_040703,2025-01-02,04:07:03,Thursday,2025-01,04,false
DT_20250102_042218,2025-01-02,04:22:18,Thursday,2025-01,04,false
DT_20250102_044232,2025-01-02,04:42:32,Thursday,2025-01,04,false
DT_20250102_044759,2025-01-02,04:47:59,Thursday,2025-01,04,false
DT_20250102_044950,2025-01-02,04:49:50,Thursday,2025-01,04,false
DT_20250102_052150,2025-01-02,05:21:50,Thursday,2025-01,05,false
DT_20250102_052926,2025-01-02,05:29:26,Thursday,2025-01,05,false
DT_20250102_053358,2025-01-02,05:33:58,Thursday,2025-01,05,false
DT_20250102_054549,2025-01-02,05:45:49,Thursday,2025-01,05,false
DT_20250102_055135,2025-01-02,05:51:35,Thursday,2025-01,05,false
DT_20250102_060116,2025-01-02,06:01:16,Thursday,2025-01,06,false
DT_20250102_060851,2025-01-02,06:08:51,Thursday,2025-01,06,false
DT_20250102_062400,2025-01-02,06:24:00,Thursday,2025-01,06,false
DT_20250102_063425,2025-01-02,06:34:25,Thursday,2025-01,06,false
DT_20250102_064055,2025-01-02,06:40:55,Thursday,2025-01,06,false
DT_20250102_073648,2025-01-02,07:36:48,Thursday,2025-01,07,false
DT_20250102_074107,2025-01-02,07:41:07,Thursday,2025-01,07,false
DT_20250102_075640,2025-01-02,07:56:40,Thursday,2025-01,07,false
DT_20250102_080954,2025-01-02,08:09:54,Thursday,2025-01,08,false
DT_20250102_094147,2025-01-02,09:41:47,Thursday,2025-01,09,false
DT_20250102_094707,2025-01-02,09:47:07,Thursday,2025-01,09,false
DT_20250102_102157,2025-01-02,10:21:57,Thursday,2025-01,10,false
DT_20250102_105555,2025-01-02,10:55:55,Thursday,2025-01,10,false
DT_20250102_105852,2025-01-02,10:58:52,Thursday,2025-01,10,false
DT_20250102_113137,2025-01-02,11:31:37,Thursday,2025-01,11,false
DT_20250102_113707,2025-01-02,11:37:07,Thursday,2025-01,11,false
DT_20250102_114743,2025-01-02,11:47:43,Thursday,2025-01,11,false
DT_20250102_120216,2025-01-02,12:02:16,Thursday,2025-01,12,false
DT_20250102_121813,2025-01-02,12:18:13,Thursday,2025-01,12,false
DT_20250102_130135,2025-01-02,13:01:35,Thursday,2025-01,13,false
DT_20250102_133702,2025-01-02,13:37:02,Thursday,2025-01,13,false
DT_20250102_133840,2025-01-02,13:38:40,Thursday,2025-01,13,false
DT_20250102_140634,2025-01-02,14:06:34,Thursday,2025-01,14,false
DT_20250102_151332,2025-01-02,15:13:32,Thursday,2025-01,15,false
DT_20250102_163207,2025-01-02,16:32:07,Thursday,2025-01,16,false
DT_20250102_170021,2025-01-02,17:00:21,Thursday,2025-01,17,false
DT_20250102_170528,2025-01-02,17:05:28,Thursday,2025-01,17,false
DT_20250102_172730,2025-01-02,17:27:30,Thursday,2025-01,17,false
DT_20250102_180022,2025-01-02,18:00:22,Thursday,2025-01,18,false
DT_20250102_181159,2025-01-02,18:11:59,Thursday,2025-01,18,false
DT_20250102_183004,2025-01-02,18:30:04,Thursday,2025-01,18,false
DT_20250102_185749,2025-01-02,18:57:49,Thursday,2025-01,18,false
DT_20250102_191801,2025-01-02,19:18:01,Thursday,2025-01,19,false
DT_20250102_192828,2025-01-02,19:28:28,Thursday,2025-01,19,false
DT_20250102_194817,2025-01-02,19:48:17,Thursday,2025-01,19,false
DT_20250102_200826,2025-01-02,20:08:26,Thursday,2025-01,20,false
DT_20250102_203654,2025-01-02,20:36:54,Thursday,2025-01,20,false
DT_20250102_220814,2025-01-02,22:08:14,Thursday,2025-01,22,false
DT_20250102_223404,2025-01-02,22:34:04,Thursday,2025-01,22,false
DT_20250102_223838,2025-01-02,22:38:38,Thursday,2025-01,22,false
DT_20250102_224039,2025-01-02,22:40:39,Thursday,2025-01,22,false
DT_20250102_232258,2025-01-02,23:22:58,Thursday,2025-01,23,false
DT_20250103_000725,2025-01-03,00:07:25,Friday,2025-01,00,false
DT_20250103_013425,2025-01-03,01:34:25,Friday,2025-01,01,false
DT_20250103_020645,2025-01-03,02:06:45,Friday,2025-01,02,false
DT_20250103_024747,2025-01-03,02:47:47,Friday,2025-01,02,false
DT_20250103_024855,2025-01-03,02:48:55,Friday,2025-01,02,false
DT_20250103_025259,2025-01-03,02:52:59,Friday,2025-01,02,false
DT_20250103_032043,2025-01-03,03:20:43,Friday,2025-01,03,false
DT_20250103_033455,2025-01-03,03:34:55,Friday,2025-01,03,false
DT_20250103_035223,2025-01-03,03:52:23,Friday,2025-01,03,false
DT_20250103_042342,2025-01-03,04:23:42,Friday,2025-01,04,false
DT_20250103_050550,2025-01-03,05:05:50,Friday,2025-01,05,false
DT_20250103_050840,2025-01-03,05:08:40,Friday,2025-01,05,false
DT_20250103_055021,2025-01-03,05:50:21,Friday,2025-01,05,false
DT_20250103_055047,2025-01-03,05:50:47,Friday,2025-01,05,false
DT_20250103_062954,2025-01-03,06:29:54,Friday,2025-01,06,false
DT_20250103_080309,2025-01-03,08:03:09,Friday,2025-01,08,false
DT_20250103_081826,2025-01-03,08:18:26,Friday,2025-01,08,false
DT_20250103_082503,2025-01-03,08:25:03,Friday,2025-01,08,false
DT_20250103_083902,2025-01-03,08:39:02,Friday,2025-01,08,false
DT_20250103_084741,2025-01-03,08:47:41,Friday,2025-01,08,false
DT_20250103_084752,2025-01-03,08:47:52,Friday,2025-01,08,false
DT_20250103_090044,2025-01-03,09:00:44,Friday,2025-01,09,false
DT_20250103_093459,2025-01-03,09:34:59,Friday,2025-01,09,false
DT_20250103_094502,2025-01-03,09:45:02,Friday,2025-01,09,false
DT_20250103_100044,2025-01-03,10:00:44,Friday,2025-01,10,false
DT_20250103_101050,2025-01-03,10:10:50,Friday,2025-01,10,false
DT_20250103_105618,2025-01-03,10:56:18,Friday,2025-01,10,false
DT_20250103_111558,2025-01-03,11:15:58,Friday,2025-01,11,false
DT_20250103_112823,2025-01-03,11:28:23,Friday,2025-01,11,false
DT_20250103_113847,2025-01-03,11:38:47,Friday,2025-01,11,false
DT_20250103_115549,2025-01-03,11:55:49,Friday,2025-01,11,false
DT_20250103_123754,2025-01-03,12:37:54,Friday,2025-01,12,false
DT_20250103_133010,2025-01-03,13:30:10,Friday,2025-01,13,false
DT_20250103_134634,2025-01-03,13:46:34,Friday,2025-01,13,false
DT_20250103_142351,2025-01-03,14:23:51,Friday,2025-01,14,false
DT_20250103_143341,2025-01-03,14:33:41,Friday,2025-01,14,false
DT_20250103_161014,2025-01-03,16:10:14,Friday,2025-01,16,false
DT_20250103_162339,2025-01-03,16:23:39,Friday,2025-01,16,false
DT_20250103_165304,2025-01-03,16:53:04,Friday,2025-01,16,false
DT_20250103_165510,2025-01-03,16:55:10,Friday,2025-01,16,false
DT_20250103_185357,2025-01-03,18:53:57,Friday,2025-01,18,false
DT_20250103_192621,2025-01-03,19:26:21,Friday,2025-01,19,false
DT_20250103_193634,2025-01-03,19:36:34,Friday,2025-01,19,false
DT_20250103_220357,2025-01-03,22:03:57,Friday,2025-01,22,false
DT_20250103_221249,2025-01-03,22:12:49,Friday,2025-01,22,false
DT_20250103_223540,2025-01-03,22:35:40,Friday,2025-01,22,false
DT_20250103_230021,2025-01-03,23:00:21,Friday,2025-01,23,false
DT_20250104_002049,2025-01-04,00:20:49,Saturday,2025-01,00,true
DT_20250104_003914,2025-01-04,00:39:14,Saturday,2025-01,00,true
DT_20250104_005006,2025-01-04,00:50:06,Saturday,2025-01,00,true
DT_20250104_020820,2025-01-04,02:08:20,Saturday,2025-01,02,true
DT_20250104_020954,2025-01-04,02:09:54,Saturday,2025-01,02,true
DT_20250104_035945,2025-01-04,03:59:45,Saturday,2025-01,03,true
DT_20250104_042827,2025-01-04,04:28:27,Saturday,2025-01,04,true
DT_20250104_042838,2025-01-04,04:28:38,Saturday,2025-01,04,true
DT_20250104_043357,2025-01-04,04:33:57,Saturday,2025-01,04,true
DT_20250104_044121,2025-01-04,04:41:21,Saturday,2025-01,04,true
DT_20250104_050303,2025-01-04,05:03:03,Saturday,2025-01,05,true
DT_20250104_051533,2025-01-04,05:15:33,Saturday,2025-01,05,true
DT_20250104_052618,2025-01-04,05:26:18,Saturday,2025-01,05,true
DT_20250104_061836,2025-01-04,06:18:36,Saturday,2025-01,06,true
DT_20250104_062333,2025-01-04,06:23:33,Saturday,2025-01,06,true
DT_20250104_070640,2025-01-04,07:06:40,Saturday,2025-01,07,true
DT_20250104_080911,2025-01-04,08:09:11,Saturday,2025-01,08,true
DT_20250104_082104,2025-01-04,08:21:04,Saturday,2025-01,08,true
DT_20250104_082202,2025-01-04,08:22:02,Saturday,2025-01,08,true
DT_20250104_084237,2025-01-04,08:42:37,Saturday,2025-01,08,true
DT_20250104_091755,2025-01-04,09:17:55,Saturday,2025-01,09,true
DT_20250104_100919,2025-01-04,10:09:19,Saturday,2025-01,10,true
DT_20250104_115724,2025-01-04,11:57:24,Saturday,2025-01,11,true
DT_20250104_121601,2025-01-04,12:16:01,Saturday,2025-01,12,true
DT_20250104_121920,2025-01-04,12:19:20,Saturday,2025-01,12,true
DT_20250104_124959,2025-01-04,12:49:59,Saturday,2025-01,12,true
DT_20250104_142009,2025-01-04,14:20:09,Saturday,2025-01,14,true
DT_20250104_142245,2025-01-04,14:22:45,Saturday,2025-01,14,true
DT_20250104_142544,2025-01-04,14:25:44,Saturday,2025-01,14,true
DT_20250104_152325,2025-01-04,15:23:25,Saturday,2025-01,15,true
DT_20250104_153400,2025-01-04,15:34:00,Saturday,2025-01,15,true
DT_20250104_160623,2025-01-04,16:06:23,Saturday,2025-01,16,true
DT_20250104_160723,2025-01-04,16:07:23,Saturday,2025-01,16,true
DT_20250104_171731,2025-01-04,17:17:31,Saturday,2025-01,17,true
DT_20250104_173507,2025-01-04,17:35:07,Saturday,2025-01,17,true
DT_20250104_174641,2025-01-04,17:46:41,Saturday,2025-01,17,true
DT_20250104_175251,2025-01-04,17:52:51,Saturday,2025-01,17,true
DT_20250104_182205,2025-01-04,18:22:05,Saturday,2025-01,18,true
DT_20250104_192845,2025-01-04,19:28:45,Saturday,2025-01,19,true
DT_20250104_195350,2025-01-04,19:53:50,Saturday,2025-01,19,true
DT_20250104_200539,2025-01-04,20:05:39,Saturday,2025-01,20,true
DT_20250104_201612,2025-01-04,20:16:12,Saturday,2025-01,20,true
DT_20250104_205808,2025-01-04,20:58:08,Saturday,2025-01,20,true
DT_20250104_210059,2025-01-04,21:00:59,Saturday,2025-01,21,true
DT_20250104_212607,2025-01-04,21:26:07,Saturday,2025-01,21,true
DT_20250104_214354,2025-01-04,21:43:54,Saturday,2025-01,21,true
DT_20250104_214439,2025-01-04,21:44:39,Saturday,2025-01,21,true
DT_20250104_220420,2025-01-04,22:04:20,Saturday,2025-01,22,true
DT_20250104_223708,2025-01-04,22:37:08,Saturday,2025-01,22,true
DT_20250104_225325,2025-01-04,22:53:25,Saturday,2025-01,22,true
DT_20250104_230810,2025-01-04,23:08:10,Saturday,2025-01,23,true
DT_20250104_231554,2025-01-04,23:15:54,Saturday,2025-01,23,true
DT_20250105_001256,2025-01-05,00:12:56,Sunday,2025-01,00,true
DT_20250105_003717,2025-01-05,00:37:17,Sunday,2025-01,00,true
DT_20250105_004738,2025-01-05,00:47:38,Sunday,2025-01,00,true
DT_20250105_010122,2025-01-05,01:01:22,Sunday,2025-01,01,true
DT_20250105_015102,2025-01-05,01:51:02,Sunday,2025-01,01,true
DT_20250105_020157,2025-01-05,02:01:57,Sunday,2025-01,02,true
DT_20250105_025759,2025-01-05,02:57:59,Sunday,2025-01,02,true
DT_20250105_030216,2025-01-05,03:02:16,Sunday,2025-01,03,true
DT_20250105_030936,2025-01-05,03:09:36,Sunday,2025-01,03,true
DT_20250105_035816,2025-01-05,03:58:16,Sunday,2025-01,03,true
DT_20250105_042428,2025-01-05,04:24:28,Sunday,2025-01,04,true
DT_20250105_052124,2025-01-05,05:21:24,Sunday,2025-01,05,true
DT_20250105_055016,2025-01-05,05:50:16,Sunday,2025-01,05,true
DT_20250105_062936,2025-01-05,06:29:36,Sunday,2025-01,06,true
DT_20250105_063831,2025-01-05,06:38:31,Sunday,2025-01,06,true
DT_20250105_074342,2025-01-05,07:43:42,Sunday,2025-01,07,true
DT_20250105_083304,2025-01-05,08:33:04,Sunday,2025-01,08,true
DT_20250105_083328,2025-01-05,08:33:28,Sunday,2025-01,08,true
DT_20250105_085100,2025-01-05,08:51:00,Sunday,2025-01,08,true
DT_20250105_090158,2025-01-05,09:01:58,Sunday,2025-01,09,true
DT_20250105_091323,2025-01-05,09:13:23,Sunday,2025-01,09,true
DT_20250105_102725,2025-01-05,10:27:25,Sunday,2025-01,10,true
DT_20250105_105751,2025-01-05,10:57:51,Sunday,2025-01,10,true
DT_20250105_110240,2025-01-05,11:02:40,Sunday,2025-01,11,true
DT_20250105_112426,2025-01-05,11:24:26,Sunday,2025-01,11,true
DT_20250105_123020,2025-01-05,12:30:20,Sunday,2025-01,12,true
DT_20250105_123305,2025-01-05,12:33:05,Sunday,2025-01,12,true
DT_20250105_124817,2025-01-05,12:48:17,Sunday,2025-01,12,true
DT_20250105_130731,2025-01-05,13:07:31,Sunday,2025-01,13,true
DT_20250105_135506,2025-01-05,13:55:06,Sunday,2025-01,13,true
DT_20250105_145605,2025-01-05,14:56:05,Sunday,2025-01,14,true
DT_20250105_151139,2025-01-05,15:11:39,Sunday,2025-01,15,true
DT_20250105_152247,2025-01-05,15:22:47,Sunday,2025-01,15,true
DT_20250105_152644,2025-01-05,15:26:44,Sunday,2025-01,15,true
DT_20250105_155259,2025-01-05,15:52:59,Sunday,2025-01,15,true
DT_20250105_160029,2025-01-05,16:00:29,Sunday,2025-01,16,true
DT_20250105_160732,2025-01-05,16:07:32,Sunday,2025-01,16,true
DT_20250105_160939,2025-01-05,16:09:39,Sunday,2025-01,16,true
DT_20250105_161301,2025-01-05,16:13:01,Sunday,2025-01,16,true
DT_20250105_164338,2025-01-05,16:43:38,Sunday,2025-01,16,true
DT_20250105_172732,2025-01-05,17:27:32,Sunday,2025-01,17,true
DT_20250105_203618,2025-01-05,20:36:18,Sunday,2025-01,20,true
DT_20250105_220118,2025-01-05,22:01:18,Sunday,2025-01,22,true
DT_20250105_220124,2025-01-05,22:01:24,Sunday,2025-01,22,true
DT_20250105_230600,2025-01-05,23:06:00,Sunday,2025-01,23,true
DT_20250105_235947,2025-01-05,23:59:47,Sunday,2025-01,23,true
DT_20250106_001620,2025-01-06,00:16:20,Monday,2025-01,00,false
DT_20250106_002204,2025-01-06,00:22:04,Monday,2025-01,00,false
DT_20250106_003537,2025-01-06,00:35:37,Monday,2025-01,00,false
DT_20250106_004020,2025-01-06,00:40:20,Monday,2025-01,00,false
DT_20250106_005834,2025-01-06,00:58:34,Monday,2025-01,00,false
DT_20250106_020347,2025-01-06,02:03:47,Monday,2025-01,02,false
DT_20250106_023710,2025-01-06,02:37:10,Monday,2025-01,02,false
DT_20250106_025947,2025-01-06,02:59:47,Monday,2025-01,02,false
DT_20250106_030133,2025-01-06,03:01:33,Monday,2025-01,03,false
DT_20250106_032044,2025-01-06,03:20:44,Monday,2025-01,03,false
DT_20250106_035152,2025-01-06,03:51:52,Monday,2025-01,03,false
DT_20250106_040318,2025-01-06,04:03:18,Monday,2025-01,04,false
DT_20250106_041806,2025-01-06,04:18:06,Monday,2025-01,04,false
DT_20250106_045401,2025-01-06,04:54:01,Monday,2025-01,04,false
DT_20250106_051603,2025-01-06,05:16:03,Monday,2025-01,05,false
DT_20250106_054757,2025-01-06,05:47:57,Monday,2025-01,05,false
DT_20250106_055441,2025-01-06,05:54:41,Monday,2025-01,05,false
DT_20250106_055535,2025-01-06,05:55:35,Monday,2025-01,05,false
DT_20250106_062514,2025-01-06,06:25:14,Monday,2025-01,06,false
DT_20250106_064607,2025-01-06,06:46:07,Monday,2025-01,06,false
DT_20250106_072252,2025-01-06,07:22:52,Monday,2025-01,07,false
DT_20250106_073200,2025-01-06,07:32:00,Monday,2025-01,07,false
DT_20250106_075613,2025-01-06,07:56:13,Monday,2025-01,07,false
DT_20250106_075641,2025-01-06,07:56:41,Monday,2025-01,07,false
DT_20250106_084259,2025-01-06,08:42:59,Monday,2025-01,08,false
DT_20250106_090447,2025-01-06,09:04:47,Monday,2025-01,09,false
DT_20250106_091221,2025-01-06,09:12:21,Monday,2025-01,09,false
DT_20250106_094559,2025-01-06,09:45:59,Monday,2025-01,09,false
DT_20250106_095626,2025-01-06,09:56:26,Monday,2025-01,09,false
DT_20250106_100205,2025-01-06,10:02:05,Monday,2025-01,10,false
DT_20250106_101340,2025-01-06,10:13:40,Monday,2025-01,10,false
DT_20250106_103842,2025-01-06,10:38:42,Monday,2025-01,10,false
DT_20250106_110738,2025-01-06,11:07:38,Monday,2025-01,11,false
DT_20250106_111147,2025-01-06,11:11:47,Monday,2025-01,11,false
DT_20250106_120106,2025-01-06,12:01:06,Monday,2025-01,12,false
DT_20250106_123657,2025-01-06,12:36:57,Monday,2025-01,12,false
DT_20250106_124236,2025-01-06,12:42:36,Monday,2025-01,12,false
DT_20250106_125633,2025-01-06,12:56:33,Monday,2025-01,12,false
DT_20250106_131648,2025-01-06,13:16:48,Monday,2025-01,13,false
DT_20250106_135437,2025-01-06,13:54:37,Monday,2025-01,13,false
DT_20250106_135744,2025-01-06,13:57:44,Monday,2025-01,13,false
DT_20250106_143042,2025-01-06,14:30:42,Monday,2025-01,14,false
DT_20250106_143156,2025-01-06,14:31:56,Monday,2025-01,14,false
DT_20250106_143847,2025-01-06,14:38:47,Monday,2025-01,14,false
DT_20250106_154254,2025-01-06,15:42:54,Monday,2025-01,15,false
DT_20250106_155844,2025-01-06,15:58:44,Monday,2025-01,15,false
DT_20250106_155913,2025-01-06,15:59:13,Monday,2025-01,15,false
DT_20250106_160405,2025-01-06,16:04:05,Monday,2025-01,16,false
DT_20250106_174428,2025-01-06,17:44:28,Monday,2025-01,17,false
DT_20250106_175742,2025-01-06,17:57:42,Monday,2025-01,17,false
DT_20250106_181838,2025-01-06,18:18:38,Monday,2025-01,18,false
DT_20250106_183034,2025-01-06,18:30:34,Monday,2025-01,18,false
DT_20250106_185651,2025-01-06,18:56:51,Monday,2025-01,18,false
DT_20250106_194113,2025-01-06,19:41:13,Monday,2025-01,19,false
DT_20250106_201922,2025-01-06,20:19:22,Monday,2025-01,20,false
DT_20250106_214251,2025-01-06,21:42:51,Monday,2025-01,21,false
DT_20250106_214424,2025-01-06,21:44:24,Monday,2025-01,21,false
DT_20250106_215023,2025-01-06,21:50:23,Monday,2025-01,21,false
DT_20250106_215950,2025-01-06,21:59:50,Monday,2025-01,21,false
DT_20250106_220830,2025-01-06,22:08:30,Monday,2025-01,22,false
DT_20250106_221103,2025-01-06,22:11:03,Monday,2025-01,22,false
DT_20250106_221706,2025-01-06,22:17:06,Monday,2025-01,22,false
DT_20250106_222621,2025-01-06,22:26:21,Monday,2025-01,22,false
DT_20250106_224951,2025-01-06,22:49:51,Monday,2025-01,22,false
DT_20250106_233044,2025-01-06,23:30:44,Monday,2025-01,23,false
DT_20250106_235255,2025-01-06,23:52:55,Monday,2025-01,23,false
DT_20250107_002118,2025-01-07,00:21:18,Tuesday,2025-01,00,false
DT_20250107_002434,2025-01-07,00:24:34,Tuesday,2025-01,00,false
DT_20250107_002617,2025-01-07,00:26:17,Tuesday,2025-01,00,false
DT_20250107_004743,2025-01-07,00:47:43,Tuesday,2025-01,00,false
DT_20250107_005947,2025-01-07,00:59:47,Tuesday,2025-01,00,false
DT_20250107_013918,2025-01-07,01:39:18,Tuesday,2025-01,01,false
DT_20250107_014152,2025-01-07,01:41:52,Tuesday,2025-01,01,false
DT_20250107_022725,2025-01-07,02:27:25,Tuesday,2025-01,02,false
DT_20250107_023038,2025-01-07,02:30:38,Tuesday,2025-01,02,false
DT_20250107_023113,2025-01-07,02:31:13,Tuesday,2025-01,02,false
DT_20250107_024614,2025-01-07,02:46:14,Tuesday,2025-01,02,false
DT_20250107_030204,2025-01-07,03:02:04,Tuesday,2025-01,03,false
DT_20250107_042256,2025-01-07,04:22:56,Tuesday,2025-01,04,false
DT_20250107_042745,2025-01-07,04:27:45,Tuesday,2025-01,04,false
DT_20250107_060857,2025-01-07,06:08:57,Tuesday,2025-01,06,false
DT_20250107_061207,2025-01-07,06:12:07,Tuesday,2025-01,06,false
DT_20250107_062101,2025-01-07,06:21:01,Tuesday,2025-01,06,false
DT_20250107_064550,2025-01-07,06:45:50,Tuesday,2025-01,06,false
DT_20250107_065949,2025-01-07,06:59:49,Tuesday,2025-01,06,false
DT_20250107_072123,2025-01-07,07:21:23,Tuesday,2025-01,07,false
DT_20250107_074957,2025-01-07,07:49:57,Tuesday,2025-01,07,false
DT_20250107_075438,2025-01-07,07:54:38,Tuesday,2025-01,07,false
DT_20250107_075755,2025-01-07,07:57:55,Tuesday,2025-01,07,false
DT_20250107_080348,2025-01-07,08:03:48,Tuesday,2025-01,08,false
DT_20250107_083919,2025-01-07,08:39:19,Tuesday,2025-01,08,false
DT_20250107_085710,2025-01-07,08:57:10,Tuesday,2025-01,08,false
DT_20250107_091036,2025-01-07,09:10:36,Tuesday,2025-01,09,false
DT_20250107_091629,2025-01-07,09:16:29,Tuesday,2025-01,09,false
DT_20250107_095420,2025-01-07,09:54:20,Tuesday,2025-01,09,false
DT_20250107_100738,2025-01-07,10:07:38,Tuesday,2025-01,10,false
DT_20250107_102424,2025-01-07,10:24:24,Tuesday,2025-01,10,false
DT_20250107_103049,2025-01-07,10:30:49,Tuesday,2025-01,10,false
DT_20250107_103636,2025-01-07,10:36:36,Tuesday,2025-01,10,false
DT_20250107_104432,2025-01-07,10:44:32,Tuesday,2025-01,10,false
DT_20250107_112028,2025-01-07,11:20:28,Tuesday,2025-01,11,false
DT_20250107_114042,2025-01-07,11:40:42,Tuesday,2025-01,11,false
DT_20250107_114220,2025-01-07,11:42:20,Tuesday,2025-01,11,false
DT_20250107_121534,2025-01-07,12:15:34,Tuesday,2025-01,12,false
DT_20250107_123649,2025-01-07,12:36:49,Tuesday,2025-01,12,false
DT_20250107_124042,2025-01-07,12:40:42,Tuesday,2025-01,12,false
DT_20250107_140746,2025-01-07,14:07:46,Tuesday,2025-01,14,false
DT_20250107_141517,2025-01-07,14:15:17,Tuesday,2025-01,14,false
DT_20250107_144850,2025-01-07,14:48:50,Tuesday,2025-01,14,false
DT_20250107_151515,2025-01-07,15:15:15,Tuesday,2025-01,15,false
DT_20250107_151518,2025-01-07,15:15:18,Tuesday,2025-01,15,false
DT_20250107_155140,2025-01-07,15:51:40,Tuesday,2025-01,15,false
DT_20250107_164115,2025-01-07,16:41:15,Tuesday,2025-01,16,false
DT_20250107_165407,2025-01-07,16:54:07,Tuesday,2025-01,16,false
DT_20250107_165608,2025-01-07,16:56:08,Tuesday,2025-01,16,false
DT_20250107_172939,2025-01-07,17:29:39,Tuesday,2025-01,17,false
